,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,全員,開幕ロースターが決定した翌日で、今日は全員マイナーの選手が出場。打線は全員マイナーではありましたが、ブレーブスの主軸であるジャイア・ジャージェンス投手を含むメジャーの投手陣,"['開幕', 'ロースター', 'が', '決定', 'した', '翌日', 'で', '、', '今日', 'は', '全員', 'マイナー', 'の', '選手', 'が', '出場', '。', '打線', 'は', '全員', 'マイナー', 'で', 'は', 'あり', 'ました', 'が', '、', 'ブレーブス', 'の', '主軸', 'である', 'ジャイア', '・', 'ジャージェンス', '投手', 'を', '含む', 'メジャー', 'の', '投手', '陣']",['全員'],NO,全員,NO,NO
1,全員,開幕ロースターが決定した翌日で、今日は全員マイナーの選手が出場。打線は全員マイナーではありましたが、ブレーブスの主軸であるジャイア・ジャージェンス投手を含むメジャーの投手陣,"['開幕', 'ロースター', 'が', '決定', 'した', '翌日', 'で', '、', '今日', 'は', '全員', 'マイナー', 'の', '選手', 'が', '出場', '。', '打線', 'は', '全員', 'マイナー', 'で', 'は', 'あり', 'ました', 'が', '、', 'ブレーブス', 'の', '主軸', 'である', 'ジャイア', '・', 'ジャージェンス', '投手', 'を', '含む', 'メジャー', 'の', '投手', '陣']",['全員'],NO,全員,NO,NO
2,全員,ている。自宅にも一本ハンガリーの羊飼いの縦笛があり、飼っている十二匹の猫の全員を部屋から閉め出したり、追い込んだりする際に「循環呼吸」の練習を兼ねて吹いている,"['て', 'いる', '。', '自宅', 'に', 'も', '一', '本', 'ハンガリー', 'の', '羊飼い', 'の', '縦笛', 'が', 'あり', '、', '飼って', 'いる', '十二', '匹', 'の', '猫', 'の', '全員', 'を', '部屋', 'から', '閉め出したり', '、', '追い', '込んだり', 'する', '際', 'に', '「', '循環', '呼吸', '」', 'の', '練習', 'を', '兼ねて', '吹いて', 'いる']",['全員'],NO,全員,NO,NO
3,全員,。近隣のハダズフィールドにおける強圧法抗議集会に参加したのは、地元のトーリ系新聞によれば、ほぼ全員が「工員」だった。ハリファクスの集会では、いずれも将来チャーティズムの指導者と,"['。', '近隣', 'の', 'ハダズフィールド', 'に', 'おける', '強圧', '法', '抗議', '集会', 'に', '参加', 'した', 'の', 'は', '、', '地元', 'の', 'トーリ', '系', '新聞', 'に', 'よれば', '、', 'ほぼ', '全員', 'が', '「', '工員', '」', 'だった', '。', 'ハリファクス', 'の', '集会', 'で', 'は', '、', 'いずれ', 'も', '将来', 'チャーティズム', 'の', '指導', '者', 'と']",['全員'],NO,全員,NO,NO
4,全員,対する新しい教育課題となった男女平等問題に関する啓発事業を，どのように展開すればよいのであろうか。全員に対する質問票による調査への回答結果と，若干名の事例研究から実情を把握し，今後への,"['対する', '新しい', '教育', '課題', 'と', 'なった', '男女', '平等', '問題', 'に', '関する', '啓発', '事業', 'を', '，', 'どのように', '展開', 'すれば', 'よい', 'のであろう', 'か', '。', '全員', 'に', '対する', '質問', '票', 'に', 'よる', '調査', 'へ', 'の', '回答', '結果', 'と', '，', '若干', '名', 'の', '事例', '研究', 'から', '実情', 'を', '把握', 'し', '，', '今後', 'へ', 'の']",['全員'],NO,全員,NO,NO
5,全員,確定申告は受付できることになっています。後期高齢者（長寿）医療保険料については、納付済額通知を全員に送付しませんが、必要な方には個別にお送りします。保険年金課納付係（☎七百二十四．二一二五,"['確定', '申告', 'は', '受付', 'できる', 'こと', 'に', 'なって', 'い', 'ます', '。', '後期', '高齢', '者', '（', '長寿', '）', '医療', '保険', '料', 'に', 'ついて', 'は', '、', '納付', '済', '額', '通知', 'を', '全員', 'に', '送付', 'し', 'ませ', 'ん', 'が', '、', '必要な', '方', 'に', 'は', '個別', 'に', 'お', '送り', 'し', 'ます', '。', '保険', '年金', '課', '納付', '係', '（', '☎', '七百二十四', '．', '二一二五']",['全員'],NO,全員,NO,NO
6,全員,」というマンションである。右側は正栄堂という家具製造販売会社である。正栄堂は午後七時閉店し、守衛以外は全員退社していた。アナスタシア・ハウスは十六戸、全室入居している。管理人や守衛はいない。外部,"['」', 'と', 'いう', 'マンション', 'である', '。', '右', '側', 'は', '正', '栄', '堂', 'と', 'いう', '家具', '製造', '販売', '会社', 'である', '。', '正', '栄', '堂', 'は', '午後', '七', '時', '閉店', 'し', '、', '守衛', '以外', 'は', '全員', '退社', 'して', 'いた', '。', 'アナスタシア', '・', 'ハウス', 'は', '十六', '戸', '、', '全', '室', '入居', 'して', 'いる', '。', '管理人', 'や', '守衛', 'は', 'い', 'ない', '。', '外部']",['全員'],NO,全員,NO,NO
7,全員,とする。囲い場を本拠地として、フランクリン山の探索にあたればよいのだ。この案は全員一致で認められた。まったくのところ、島を完全にとりもどすのが待ちどおしかった！,"['と', 'する', '。', '囲い', '場', 'を', '本拠', '地', 'と', 'して', '、', 'フランクリン', '山', 'の', '探索', 'に', 'あたれば', 'よい', 'のだ', '。', 'この', '案', 'は', '全員', '一致', 'で', '認め', 'られた', '。', 'まったく', 'の', 'ところ', '、', '島', 'を', '完全に', 'とりもどす', 'の', 'が', '待ちどおしかった', '！']",['全員'],NO,全員,NO,NO
8,全員,たよ。仕事がないのに「秘書代わりの女」をやっとた馬鹿社長。以後、全員「社長」と呼ばず、名前で呼ぶようになり、最後はだれも指示を,"['た', 'よ', '。', '仕事', 'が', 'ない', 'のに', '「', '秘書', '代わり', 'の', '女', '」', 'を', 'やっと', 'た', '馬鹿', '社長', '。', '以後', '、', '全員', '「', '社長', '」', 'と', '呼ば', 'ず', '、', '名前', 'で', '呼ぶ', 'ように', 'なり', '、', '最後', 'は', 'だれ', 'も', '指示', 'を']",['全員'],NO,全員,NO,NO
9,全員,〜〜〜〜、スプレーの臭いで気持ち悪くなりながら。変身（笑）完了後、全員で撮影へＧＯ−ＯＮ！！！！！キャラ上、銀の子と話を,"['〜〜〜〜、', 'スプレー', 'の', '臭い', 'で', '気持ち', '悪く', 'なり', 'ながら', '。', '変身', '（', '笑', '）', '完了', '後', '、', '全員', 'で', '撮影', 'へ', 'ＧＯ', '−', 'ＯＮ', '！！！！！', 'キャラ', '上', '、', '銀', 'の', '子', 'と', '話', 'を']",['全員'],NO,全員,NO,NO
10,全員,で待機してもらいたい。命令は追って打電する」この一言を聞いて、私たちは全員狂喜した。病人は回復し、塞ぎこんでいた連中も、一挙に溜飲を下げた。,"['で', '待機', 'して', 'もらい', 'たい', '。', '命令', 'は', '追って', '打電', 'する', '」', 'この', '一言', 'を', '聞いて', '、', '私', 'たち', 'は', '全員', '狂喜', 'した', '。', '病人', 'は', '回復', 'し', '、', '塞ぎ', 'こんで', 'いた', '連中', 'も', '、', '一挙に', '溜', '飲', 'を', '下げた', '。']",['全員'],NO,全員,NO,NO
11,全員,踏み入れた。中では大勢の男女がワイワイガヤガヤやっていたが、この人たちは全員が同業者だ。ジェニファーは人を搔き分けながら進んでいくうちに、何人もの友人や,"['踏み入れた', '。', '中', 'で', 'は', '大勢', 'の', '男女', 'が', 'ワイワイガヤガヤ', 'やって', 'いた', 'が', '、', 'この', '人', 'たち', 'は', '全員', 'が', '同', '業者', 'だ', '。', 'ジェニファー', 'は', '人', 'を', '搔', 'き', '分け', 'ながら', '進んで', 'いく', 'うち', 'に', '、', '何', '人', 'も', 'の', '友人', 'や']",['全員'],NO,全員,NO,NO
12,全員,ぺてん師がひとりふたり、ずうずうしいインタビュアーたち、うぬぼれの強い知ったかぶりなど―も来たが、とにかく、全員にサインをしてもらった。,"['ぺてん', '師', 'が', 'ひと', 'り', 'ふた', 'り', '、', 'ずうずうしい', 'インタビュアー', 'たち', '、', 'うぬぼれ', 'の', '強い', '知ったかぶり', 'など', '―', 'も', '来た', 'が', '、', 'とにかく', '、', '全員', 'に', 'サイン', 'を', 'して', 'もらった', '。']",['全員'],NO,全員,NO,NO
13,全員,なんかにならないですよ。私は高校や大学のときの友人は、全員遠方同士で年に１〜２回しか会えないし、メールも他に年に３〜４回くらい。でも,"['なんか', 'に', 'なら', 'ないで', 'す', 'よ', '。', '私', 'は', '高校', 'や', '大学', 'の', 'とき', 'の', '友人', 'は', '、', '全員', '遠方', '同士', 'で', '年', 'に', '１', '〜', '２', '回', 'しか', '会え', 'ない', 'し', '、', 'メール', 'も', '他', 'に', '年', 'に', '３', '〜', '４', '回', 'くらい', '。', 'でも']",['全員'],NO,全員,NO,NO
14,全員,のが実状です。特に驚くことには、患者は漢方薬の知識が乏しく、全員が無害であると思い込んでいることです。中には「“生薬”ですよ、,"['の', 'が', '実', '状', 'です', '。', '特に', '驚く', 'こと', 'に', 'は', '、', '患者', 'は', '漢方', '薬', 'の', '知識', 'が', '乏しく', '、', '全員', 'が', '無害である', 'と', '思い', '込んで', 'いる', 'こと', 'です', '。', '中', 'に', 'は', '「', '“', '生薬', '”', 'です', 'よ', '、']",['全員'],NO,全員,NO,NO
15,全員,気が重いな」和村はいう。気が重いのは和村だけではない。全員、気が重いのだが、ことに失敗した以上はこの運命も甘受しなければならない。,"['気', 'が', '重い', 'な', '」', '和', '村', 'は', 'いう', '。', '気', 'が', '重い', 'の', 'は', '和', '村', 'だけ', 'で', 'は', 'ない', '。', '全員', '、', '気', 'が', '重い', 'のだ', 'が', '、', 'ことに', '失敗', 'した', '以上', 'は', 'この', '運命', 'も', '甘受', 'し', 'なければ', 'なら', 'ない', '。']",['全員'],NO,全員,NO,NO
16,全員,。〽強き同志の絆もち向学に燃え励みゆく…その声に皆が唱和し、全員の誓いの大合唱となった。伸一は、歌声を聴きながら、一人ひとりに眼差し,"['。〽', '強き', '同志', 'の', '絆', 'もち', '向', '学', 'に', '燃え', '励み', 'ゆく', '…', 'その', '声', 'に', '皆', 'が', '唱和', 'し', '、', '全員', 'の', '誓い', 'の', '大', '合唱', 'と', 'なった', '。', '伸一', 'は', '、', '歌声', 'を', '聴き', 'ながら', '、', '一人ひとり', 'に', '眼差し']",['全員'],NO,全員,NO,NO
17,全員,候補作の評価が四人の委員それぞれにちがひ、審査は難航するのですが、今年、珍しくも全員一致、川上弘美さんの短篇集「溺レる」にすぐ決定致しました。事実、それに値する秀作,"['候補', '作', 'の', '評価', 'が', '四', '人', 'の', '委員', 'それぞれ', 'にち', 'が', 'ひ', '、', '審査', 'は', '難航', 'する', 'のです', 'が', '、', '今年', '、', '珍しく', 'も', '全員', '一致', '、', '川上', '弘美', 'さん', 'の', '短', '篇', '集', '「', '溺', 'レ', 'る', '」', 'に', 'すぐ', '決定', '致し', 'ました', '。', '事実', '、', 'それ', 'に', '値する', '秀作']",['全員'],NO,全員,NO,NO
