,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,事務室,。ぼくも、自分の老婆の前で母の弁当を食べてみた。会社の事務室で書類を前に食事をする事務員のように平気で食べることができた。医師に,"['。', 'ぼく', 'も', '、', '自分', 'の', '老婆', 'の', '前', 'で', '母', 'の', '弁当', 'を', '食べて', 'みた', '。', '会社', 'の', '事務', '室', 'で', '書類', 'を', '前', 'に', '食事', 'を', 'する', '事務', '員', 'の', 'ように', '平気で', '食べる', 'こと', 'が', 'できた', '。', '医師', 'に']","['事務', '室']",YES,事務室,NO,NO
1,事務室,うちの大学の事務室の落し物コーナーには、大学の近くの風俗店の会員カードが貼ってあることがあります。まあ仮名,"['うち', 'の', '大学', 'の', '事務', '室', 'の', '落し物', 'コーナー', 'に', 'は', '、', '大学', 'の', '近く', 'の', '風俗', '店', 'の', '会員', 'カード', 'が', '貼って', 'ある', 'こと', 'が', 'あり', 'ます', '。', 'まあ', '仮名']","['事務', '室']",YES,事務室,NO,NO
2,事務室,、お互いに目を合わせた。修道士は店の奥へ入って行き、そこの事務室の中に消えて行った。シスターたちは恥ずかしさをこらえながら、もぞもぞと尼僧服を,"['、', 'お互いに', '目', 'を', '合わせた', '。', '修道', '士', 'は', '店', 'の', '奥', 'へ', '入って', '行き', '、', 'そこ', 'の', '事務', '室', 'の', '中', 'に', '消えて', '行った', '。', 'シスター', 'たち', 'は', '恥ずかし', 'さ', 'を', 'こらえ', 'ながら', '、', 'もぞもぞ', 'と', '尼僧', '服', 'を']","['事務', '室']",YES,事務室,NO,NO
3,事務室,作用するのである。数年前、ブリガム・ヤング大学、マリオット・スクール・オブ・マネジメントで教鞭をとっていたとき、ある生徒が事務室に訪ねてきた。私の担当するクラスでの自分の成績を聞きに来た,"['作用', 'する', 'のである', '。', '数', '年', '前', '、', 'ブリガム', '・', 'ヤング', '大学', '、', 'マリオット', '・', 'スクール', '・', 'オブ', '・', 'マネジメント', 'で', '教鞭', 'を', 'とって', 'いた', 'とき', '、', 'ある', '生徒', 'が', '事務', '室', 'に', '訪ねて', 'きた', '。', '私', 'の', '担当', 'する', 'クラス', 'で', 'の', '自分', 'の', '成績', 'を', '聞き', 'に', '来た']","['事務', '室']",YES,事務室,NO,NO
4,事務室,を受けるかわからないからと、熱心に説明した。岸田部長に電話すると、すぐ事務室で会うというので、三人を大政翼賛会の文化部長室に案内した。天理教の先生方は、訪問,"['を', '受ける', 'か', 'わから', 'ない', 'から', 'と', '、', '熱心に', '説明', 'した', '。', '岸田', '部長', 'に', '電話', 'する', 'と', '、', 'すぐ', '事務', '室', 'で', '会う', 'と', 'いう', 'ので', '、', '三', '人', 'を', '大政', '翼賛', '会', 'の', '文化', '部長', '室', 'に', '案内', 'した', '。', '天理', '教', 'の', '先生', '方', 'は', '、', '訪問']","['事務', '室']",YES,事務室,NO,NO
5,事務室,も魅力があったらこんなことは言わないのですが、保育中に園長と１時間位、事務室で話し込んじゃうし、休憩は一人長いし、クラスの保育士間で揉め事があったとき,"['も', '魅力', 'が', 'あったら', 'こんな', 'こと', 'は', '言わ', 'ない', 'のです', 'が', '、', '保育', '中', 'に', '園長', 'と', '１', '時間', '位', '、', '事務', '室', 'で', '話し', '込んじゃ', 'う', 'し', '、', '休憩', 'は', '一', '人', '長い', 'し', '、', 'クラス', 'の', '保育', '士', '間', 'で', '揉め事', 'が', 'あった', 'とき']","['事務', '室']",YES,事務室,NO,NO
6,事務室,は受刑者のような気分になってしまった。コレッジョは三階建で、二階には事務室、大食堂、礼拝堂、ピアノの入った練習室などがあり、学生たちの部屋は二階と,"['は', '受刑', '者', 'の', 'ような', '気分', 'に', 'なって', 'しまった', '。', 'コレッジョ', 'は', '三', '階', '建', 'で', '、', '二', '階', 'に', 'は', '事務', '室', '、', '大', '食堂', '、', '礼拝', '堂', '、', 'ピアノ', 'の', '入った', '練習', '室', 'など', 'が', 'あり', '、', '学生', 'たち', 'の', '部屋', 'は', '二', '階', 'と']","['事務', '室']",YES,事務室,NO,NO
7,事務室,」という表現が大好きである。いかにもかわいくておいしそうに響く（しかしこれを北海道大学の事務室で使ったら、「女々しい」表現だと非難された。「女々しい」自体、差別的,"['」', 'と', 'いう', '表現', 'が', '大好きである', '。', 'いかにも', 'かわいくて', 'おいし', 'そうに', '響く', '（', 'しかし', 'これ', 'を', '北海道', '大学', 'の', '事務', '室', 'で', '使ったら', '、', '「', '女々しい', '」', '表現', 'だ', 'と', '非難', 'さ', 'れた', '。', '「', '女々しい', '」', '自体', '、', '差別', '的']","['事務', '室']",YES,事務室,NO,NO
8,事務室,、タミー・アミットさんのフォトスタジオ兼住居だ。１階には撮影に使うスタジオスペースの他、モデル用メイクアップルーム、事務室、シャワールーム、トイレ、ゲスト用ベッドコーナーなどがあり、広い間取りが存分に活かされている。バー,"['、', 'タミー', '・', 'アミット', 'さん', 'の', 'フォトスタジオ', '兼', '住居', 'だ', '。', '１', '階', 'に', 'は', '撮影', 'に', '使う', 'スタジオ', 'スペース', 'の', '他', '、', 'モデル', '用', 'メイクアップルーム', '、', '事務', '室', '、', 'シャワールーム', '、', 'トイレ', '、', 'ゲスト', '用', 'ベッドコーナー', 'など', 'が', 'あり', '、', '広い', '間取り', 'が', '存分に', '活かさ', 'れて', 'いる', '。', 'バー']","['事務', '室']",YES,事務室,NO,NO
9,事務室,。天皇、皇后もまた長寿が気になってこられたのだろうか。入口が事務室で、右が特産品の売店、左が食堂。先に食堂をのぞいておくと、,"['。', '天皇', '、', '皇后', 'も', 'また', '長寿', 'が', '気', 'に', 'なって', 'こ', 'られた', 'のだろう', 'か', '。', '入口', 'が', '事務', '室', 'で', '、', '右', 'が', '特産', '品', 'の', '売店', '、', '左', 'が', '食堂', '。', '先', 'に', '食堂', 'を', 'のぞいて', 'おく', 'と', '、']","['事務', '室']",YES,事務室,NO,NO
