,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無効,べきである。（二十一）高利率の融資、貸付け金、租税によって生じた負債はすべて無効にするよう要求する。なぜなら、メヒコ人民はきわめて貧困であり、その負債を支払えない。,"['べきである', '。', '（', '二十一', '）', '高利', '率', 'の', '融資', '、', '貸付け', '金', '、', '租税', 'に', 'よって', '生じた', '負債', 'は', 'すべて', '無効に', 'する', 'よう', '要求', 'する', '。', 'なぜなら', '、', 'メヒコ', '人民', 'は', 'きわめて', '貧困であり', '、', 'その', '負債', 'を', '支払え', 'ない', '。']",['無効に'],NO,無効,NO,YES
1,無効,。また相手方がその事実を知り得べかりしとき（善意であるが過失あるとき）まで無効とすることは、相手方に不利益になる。これに対し、代表取締役は代表権限の範囲内,"['。', 'また', '相手方', 'が', 'その', '事実', 'を', '知り', '得', 'べ', 'か', 'りし', 'とき', '（', '善意', 'である', 'が', '過失', 'ある', 'とき', '）', 'まで', '無効', 'と', 'する', 'こと', 'は', '、', '相手方', 'に', '不利益に', 'なる', '。', 'これ', 'に', '対し', '、', '代表', '取締', '役', 'は', '代表', '権限', 'の', '範囲', '内']",['無効'],NO,無効,NO,NO
2,無効,原始キリスト教の純粋性の回復を目的とし、聖書の尊重、財物の共有、小児洗礼は無効であり成人後に再び洗礼をおこなうことなどを主張した。ミュンツァーはこの派を擁護した,"['原始', 'キリスト教', 'の', '純粋', '性', 'の', '回復', 'を', '目的', 'と', 'し', '、', '聖書', 'の', '尊重', '、', '財', '物', 'の', '共有', '、', '小児', '洗礼', 'は', '無効であり', '成人', '後', 'に', '再び', '洗礼', 'を', 'おこなう', 'こと', 'など', 'を', '主張', 'した', '。', 'ミュンツァー', 'は', 'この', '派', 'を', '擁護', 'した']",['無効であり'],NO,無効,NO,YES
3,無効,捕鯨はともすれば乱獲を行なったり厳格な規則に風穴を開けて保護を無効にしたりと、とにかく産業優先の操業に走りやすい。資本主義大国日本の信用の無さを裏付ける,"['捕鯨', 'は', 'ともすれば', '乱獲', 'を', '行なったり', '厳格な', '規則', 'に', '風穴', 'を', '開けて', '保護', 'を', '無効に', 'したり', 'と', '、', 'とにかく', '産業', '優先', 'の', '操業', 'に', '走り', 'やすい', '。', '資本', '主義', '大国', '日本', 'の', '信用', 'の', '無', 'さ', 'を', '裏付ける']",['無効に'],NO,無効,NO,YES
4,無効,ば，人としての道に反する事項を目的とした契約は公序良俗違反となって無効になると考えておけばよいでしょう。♣不能なことを目的とした契約も,"['ば', '，', '人', 'と', 'して', 'の', '道', 'に', '反する', '事項', 'を', '目的', 'と', 'した', '契約', 'は', '公序', '良俗', '違反', 'と', 'なって', '無効に', 'なる', 'と', '考えて', 'おけば', 'よい', 'でしょう', '。', '♣', '不能な', 'こと', 'を', '目的', 'と', 'した', '契約', 'も']",['無効に'],NO,無効,NO,YES
5,無効,ます。公簿、実測両方の数値を知った上で公簿で売買しても、その契約は無効にはなりません。ただそちらを選択した・・という事実があるだけです。,"['ます', '。', '公', '簿', '、', '実測', '両方', 'の', '数値', 'を', '知った', '上', 'で', '公', '簿', 'で', '売買', 'して', 'も', '、', 'その', '契約', 'は', '無効に', 'は', 'なり', 'ませ', 'ん', '。', 'ただ', 'そちら', 'を', '選択', 'した', '・', '・', 'と', 'いう', '事実', 'が', 'ある', 'だけ', 'です', '。']",['無効に'],NO,無効,NO,YES
6,無効,た埋葬」の「このカードが破壊された時、装備モンスターを破壊する」という効果を無効にし破壊して、「デーモンソルジャー」が破壊されるのを防ぐ、といった事は可能な,"['た', '埋葬', '」', 'の', '「', 'この', 'カード', 'が', '破壊', 'さ', 'れた', '時', '、', '装備', 'モンスター', 'を', '破壊', 'する', '」', 'と', 'いう', '効果', 'を', '無効に', 'し', '破壊', 'して', '、', '「', 'デーモンソルジャー', '」', 'が', '破壊', 'さ', 'れる', 'の', 'を', '防ぐ', '、', 'と', 'いった', '事', 'は', '可能な']",['無効に'],NO,無効,NO,YES
7,無効,容疑を晴らしたが、それを信じる者はいない。アメリカ合衆国当局はサンペルのビザを無効にして言ったものだ。「ナルコ商人を見て見ぬふりで支援する人間を,"['容疑', 'を', '晴らした', 'が', '、', 'それ', 'を', '信じる', '者', 'は', 'い', 'ない', '。', 'アメリカ合衆国', '当局', 'は', 'サンペル', 'の', 'ビザ', 'を', '無効に', 'して', '言った', 'もの', 'だ', '。', '「', 'ナルコ', '商人', 'を', '見て', '見', 'ぬ', 'ふりで', '支援', 'する', '人間', 'を']",['無効に'],NO,無効,NO,YES
8,無効,その不正行為に関係のある者に対しては、その受験を停止させ、又はその試験を無効とすることができる。２厚生労働大臣は、前項の規定による処分を受けた者に対し、,"['その', '不正', '行為', 'に', '関係', 'の', 'ある', '者', 'に', '対して', 'は', '、', 'その', '受験', 'を', '停止', 'さ', 'せ', '、', '又は', 'その', '試験', 'を', '無効', 'と', 'する', 'こと', 'が', 'できる', '。', '２', '厚生', '労働', '大臣', 'は', '、', '前項', 'の', '規定', 'に', 'よる', '処分', 'を', '受けた', '者', 'に', '対し', '、']",['無効'],NO,無効,NO,NO
9,無効,を追及することができます。誘いかけを拒んで解雇などの不利益扱いを受けたときは処分は無効です。わが国で最初の、企業内の性的言動に損害賠償責任を認めた裁判は、,"['を', '追及', 'する', 'こと', 'が', 'でき', 'ます', '。', '誘い', 'かけ', 'を', '拒んで', '解雇', 'など', 'の', '不利益', '扱い', 'を', '受けた', 'とき', 'は', '処分', 'は', '無効です', '。', 'わが国', 'で', '最初の', '、', '企業', '内', 'の', '性', '的', '言動', 'に', '損害', '賠償', '責任', 'を', '認めた', '裁判', 'は', '、']",['無効です'],NO,無効,NO,YES
