,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無防備,白熱させた。女―それも明らかに東洋人と見える、自分と同年代の少女。無防備な額にぱらりと前髪が落ちると、まだ幼さを残す貌に得たいの知れない,"['白熱', 'さ', 'せ', 'た', '。', '女', '―', 'それ', 'も', '明らか', 'に', '東洋', '人', 'と', '見える', '、', '自分', 'と', '同年代', 'の', '少女', '。', '無防備', 'な', '額', 'に', 'ぱらりと', '前髪', 'が', '落ちる', 'と', '、', 'まだ', '幼', 'さ', 'を', '残す', '貌', 'に', '得', 'たい', 'の', '知れ', 'ない']",['無防備'],NO,無防備,NO,NO
1,無防備,、いい顔をしています。冷や汗が出る瞬間は、自分を振り返っているから無防備です。無防備にならないと、汗は出ません。意識的に汗は,"['、', 'いい', '顔', 'を', 'し', 'て', 'い', 'ます', '。', '冷や汗', 'が', '出る', '瞬間', 'は', '、', '自分', 'を', '振り返っ', 'て', 'いる', 'から', '無防備', 'です', '。', '無防備', 'に', 'なら', 'ない', 'と', '、', '汗', 'は', '出', 'ませ', 'ん', '。', '意識', '的', 'に', '汗', 'は']",['無防備'],NO,無防備,NO,NO
2,無防備,、いい顔をしています。冷や汗が出る瞬間は、自分を振り返っているから無防備です。無防備にならないと、汗は出ません。意識的に汗は,"['、', 'いい', '顔', 'を', 'し', 'て', 'い', 'ます', '。', '冷や汗', 'が', '出る', '瞬間', 'は', '、', '自分', 'を', '振り返っ', 'て', 'いる', 'から', '無防備', 'です', '。', '無防備', 'に', 'なら', 'ない', 'と', '、', '汗', 'は', '出', 'ませ', 'ん', '。', '意識', '的', 'に', '汗', 'は']",['無防備'],NO,無防備,NO,NO
3,無防備,たとしても、無意識のうちに寝返りをうたないとはかぎりません。そして、まったく無防備の状態で四メートルの高さから板張りの床へ転落したらどうなると思いますか。,"['た', 'として', 'も', '、', '無意識', 'の', 'うち', 'に', '寝返り', 'を', 'うた', 'ない', 'と', 'は', 'かぎり', 'ませ', 'ん', '。', 'そして', '、', 'まったく', '無', '防備', 'の', '状態', 'で', '四', 'メートル', 'の', '高', 'さ', 'から', '板張り', 'の', '床', 'へ', '転落', 'し', 'たら', 'どう', 'なる', 'と', '思い', 'ます', 'か', '。']","['無', '防備']",YES,無防備,NO,NO
4,無防備,の前にいるのは、ほんものの怪物ではない。ドリッズトを足止めし、敵の前に無防備に身をさらさせるための幻影なのだ。部屋には家具はほとんどない。手近に,"['の', '前', 'に', 'いる', 'の', 'は', '、', 'ほん', 'もの', 'の', '怪物', 'で', 'は', 'ない', '。', 'ドリッズト', 'を', '足止め', 'し', '、', '敵', 'の', '前', 'に', '無', '防備', 'に', '身', 'を', 'さらさ', 'せる', 'ため', 'の', '幻影', 'な', 'の', 'だ', '。', '部屋', 'に', 'は', '家具', 'は', 'ほとんど', 'ない', '。', '手近', 'に']","['無', '防備']",YES,無防備,NO,NO
5,無防備,投げ出された、腹部を裂かれ内臓をさらした死体の光景が映し出された。無防備な都市を絨毯爆撃する第二次世界大戦時の空襲を撮影したニュース映画があった。日本に投下された,"['投げ出さ', 'れ', 'た', '、', '腹部', 'を', '裂か', 'れ', '内臓', 'を', 'さらし', 'た', '死体', 'の', '光景', 'が', '映し出さ', 'れ', 'た', '。', '無防備', 'な', '都市', 'を', '絨毯', '爆撃', 'する', '第', '二', '次', '世界', '大', '戦時', 'の', '空襲', 'を', '撮影', 'し', 'た', 'ニュース', '映画', 'が', 'あっ', 'た', '。', '日本', 'に', '投下', 'さ', 'れ', 'た']",['無防備'],NO,無防備,NO,NO
6,無防備,のですね（まだ前夜だしさ）。いつものように「おいしいなあ」って無防備に食べていたら夜の十二時がいつのまにか近づいていて…そしたら,"['の', 'です', 'ね', '（', 'まだ', '前夜', 'だし', 'さ', '）', '。', 'いつも', 'の', 'よう', 'に', '「', 'おいしい', 'なあ', '」', 'って', '無', '防備', 'に', '食べ', 'て', 'い', 'たら', '夜', 'の', '十', '二', '時', 'が', 'いつのまにか', '近づい', 'て', 'い', 'て', '…', 'そしたら']","['無', '防備']",YES,無防備,NO,NO
7,無防備,しています。冷や汗が出る瞬間は、自分を振り返っているから無防備です。無防備にならないと、汗は出ません。意識的に汗はかけません。,"['し', 'て', 'い', 'ます', '。', '冷や汗', 'が', '出る', '瞬間', 'は', '、', '自分', 'を', '振り返っ', 'て', 'いる', 'から', '無防備', 'です', '。', '無防備', 'に', 'なら', 'ない', 'と', '、', '汗', 'は', '出', 'ませ', 'ん', '。', '意識', '的', 'に', '汗', 'は', 'かけ', 'ませ', 'ん', '。']",['無防備'],NO,無防備,NO,NO
8,無防備,しています。冷や汗が出る瞬間は、自分を振り返っているから無防備です。無防備にならないと、汗は出ません。意識的に汗はかけません。,"['し', 'て', 'い', 'ます', '。', '冷や汗', 'が', '出る', '瞬間', 'は', '、', '自分', 'を', '振り返っ', 'て', 'いる', 'から', '無防備', 'です', '。', '無防備', 'に', 'なら', 'ない', 'と', '、', '汗', 'は', '出', 'ませ', 'ん', '。', '意識', '的', 'に', '汗', 'は', 'かけ', 'ませ', 'ん', '。']",['無防備'],NO,無防備,NO,NO
9,無防備,は、サンを飲み込み、押しつぶした。何て邪悪な、何ておぞましい匂い。無防備な少年のこころは、その正体が何なのか分からぬまま、触れてしまった,"['は', '、', 'サン', 'を', '飲み込み', '、', '押しつぶし', 'た', '。', '何', 'て', '邪悪', 'な', '、', '何', 'て', 'おぞましい', '匂い', '。', '無防備', 'な', '少年', 'の', 'こころ', 'は', '、', 'その', '正体', 'が', '何', 'な', 'の', 'か', '分から', 'ぬ', 'まま', '、', '触れ', 'て', 'しまっ', 'た']",['無防備'],NO,無防備,NO,NO
