,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,騎士,―自分が王子様だったなんて！金の甲胄に身を固め、たくさんの騎士を従えて、白い馬を乗り回すあの王子様だったなんて！そして優しいお妃様が、,"['―', '自分', 'が', '王子', '様', 'だった', 'なんて', '！', '金', 'の', '甲', '胄', 'に', '身', 'を', '固め', '、', 'たくさんの', '騎士', 'を', '従えて', '、', '白い', '馬', 'を', '乗り', '回す', 'あの', '王子', '様', 'だった', 'なんて', '！', 'そして', '優しい', 'お', '妃', '様', 'が', '、']",['騎士'],NO,騎士,NO,NO
1,騎士,・・。男嫌いのジリオラと騎士の契約をするも、『一心同体』であるはずの騎士と剣には程遠く、まったく力を引き出せないまま戦いに挑み、敗れ去ってしまうが。,"['・', '・', '。', '男', '嫌い', 'の', 'ジリオラ', 'と', '騎士', 'の', '契約', 'を', 'する', 'も', '、', '『', '一心同体', '』', 'である', 'はずの', '騎士', 'と', '剣', 'に', 'は', '程遠く', '、', 'まったく', '力', 'を', '引き出せ', 'ない', 'まま', '戦い', 'に', '挑み', '、', '敗れ', '去って', 'しまう', 'が', '。']",['騎士'],NO,騎士,NO,NO
2,騎士,・・。男嫌いのジリオラと騎士の契約をするも、『一心同体』であるはずの騎士と剣には程遠く、まったく力を引き出せないまま戦いに挑み、敗れ去ってしまうが。,"['・', '・', '。', '男', '嫌い', 'の', 'ジリオラ', 'と', '騎士', 'の', '契約', 'を', 'する', 'も', '、', '『', '一心同体', '』', 'である', 'はずの', '騎士', 'と', '剣', 'に', 'は', '程遠く', '、', 'まったく', '力', 'を', '引き出せ', 'ない', 'まま', '戦い', 'に', '挑み', '、', '敗れ', '去って', 'しまう', 'が', '。']",['騎士'],NO,騎士,NO,NO
3,騎士,多くの人々がそこに立っているのを見た。彼らは驚いて逃げ去った。騎士は霊魂たちに守られたのだった。（二十一）マルティルデ・ハインによる印刷「哀れな,"['多く', 'の', '人々', 'が', 'そこ', 'に', '立って', 'いる', 'の', 'を', '見た', '。', '彼', 'ら', 'は', '驚いて', '逃げ', '去った', '。', '騎士', 'は', '霊魂', 'たち', 'に', '守ら', 'れた', 'のだった', '。', '（', '二十一', '）', 'マルティルデ', '・', 'ハイン', 'に', 'よる', '印刷', '「', '哀れな']",['騎士'],NO,騎士,NO,NO
4,騎士,目を離さず、物柔らかだが芯の強い声で応じた。「兄上よ、騎士が跳ねて開き王手だ。二手で詰む。あいにくだったな」しかし、ハスジャール,"['目', 'を', '離さ', 'ず', '、', '物柔らかだ', 'が', '芯', 'の', '強い', '声', 'で', '応じた', '。', '「', '兄', '上', 'よ', '、', '騎士', 'が', '跳ねて', '開き', '王手', 'だ', '。', '二手', 'で', '詰む', '。', 'あいにくだった', 'な', '」', 'しか', 'し', '、', 'ハスジャール']",['騎士'],NO,騎士,NO,NO
5,騎士,があると」「ン…」フォイゾンは立って、控えの間でその騎士と短いやり取りをしてもどってきた。ドアの閉じる音が、パットフットに,"['が', 'ある', 'と', '」', '「', 'ン', '…', '」', 'フォイゾン', 'は', '立って', '、', '控え', 'の', '間', 'で', 'その', '騎士', 'と', '短い', 'やり取り', 'を', 'して', 'もどって', 'きた', '。', 'ドア', 'の', '閉じる', '音', 'が', '、', 'パットフット', 'に']",['騎士'],NO,騎士,NO,NO
6,騎士,どう見てもその姿を見れば、明らかに同じサーフ地方の出身であることがわかる騎士がいた。髭もたくわえ、体軀も大きい、だが、背が高くて、,"['どう', '見て', 'も', 'その', '姿', 'を', '見れば', '、', '明らかに', '同じ', 'サーフ', '地方', 'の', '出身', 'である', 'こと', 'が', 'わかる', '騎士', 'が', 'いた', '。', '髭', 'も', 'たくわえ', '、', '体', '軀', 'も', '大きい', '、', 'だが', '、', '背', 'が', '高くて', '、']",['騎士'],NO,騎士,NO,NO
7,騎士,、そのへんの事情は先にいって明らかにされるであろう。機知に富んだ騎士ドン・キホーテ・デ・ラ・マンチャ後篇第二十五章ここでは驢馬の鳴きまねの冒険の発端が語られ、次いで人形師,"['、', 'そのへん', 'の', '事情', 'は', '先', 'に', 'いって', '明らかに', 'さ', 'れる', 'であろう', '。', '機知', 'に', '富んだ', '騎士', 'ドン・キホーテ', '・', 'デ', '・', 'ラ', '・', 'マンチャ', '後', '篇', '第', '二十五', '章', 'ここ', 'で', 'は', '驢馬', 'の', '鳴き', 'ま', 'ね', 'の', '冒険', 'の', '発端', 'が', '語ら', 'れ', '、', '次いで', '人形', '師']",['騎士'],NO,騎士,NO,NO
8,騎士,かは、もちろん勝手なのだが、オレが堂々たる戦いを挑んだと周囲の騎士、兵士に示すことが肝心なのだ。一太刀で決める。オレは十分に,"['か', 'は', '、', 'もちろん', '勝手な', 'のだ', 'が', '、', 'オレ', 'が', '堂々たる', '戦い', 'を', '挑んだ', 'と', '周囲', 'の', '騎士', '、', '兵士', 'に', '示す', 'こと', 'が', '肝心な', 'のだ', '。', '一', '太刀', 'で', '決める', '。', 'オレ', 'は', '十分に']",['騎士'],NO,騎士,NO,NO
9,騎士,個人的には今回のほうが好き。二十ｈアン・ドゥムルムステールの作品は映画『ジャンヌ・ダルク』の中世の騎士のよう。黒いラインの描き眉は今回も登場したけれど、この強い眉がデザイナーの,"['個人', '的に', 'は', '今回', 'の', 'ほう', 'が', '好き', '。', '二十', 'ｈ', 'アン', '・', 'ドゥムルムステール', 'の', '作品', 'は', '映画', '『', 'ジャンヌ', '・', 'ダルク', '』', 'の', '中世', 'の', '騎士', 'の', 'よう', '。', '黒い', 'ライン', 'の', '描き', '眉', 'は', '今回', 'も', '登場', 'した', 'けれど', '、', 'この', '強い', '眉', 'が', 'デザイナー', 'の']",['騎士'],NO,騎士,NO,NO
