,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無数,小腸はその内壁にたくさんの襞を持っているが，その表面には長さ０．５〜１．５ｍｍ程度の無数の突起（絨毛）がある．絨毛の表面には１層の細胞層があり，これ,"['小腸', 'は', 'その', '内壁', 'に', 'たくさん', 'の', '襞', 'を', '持っ', 'て', 'いる', 'が', '，', 'その', '表面', 'に', 'は', '長', 'さ', '０', '．', '５', '〜', '１', '．', '５', 'ｍｍ', '程度', 'の', '無数', 'の', '突起', '（', '絨毛', '）', 'が', 'ある', '．', '絨毛', 'の', '表面', 'に', 'は', '１', '層', 'の', '細胞', '層', 'が', 'あり', '，', 'これ']",['無数'],NO,無数,NO,NO
1,無数,ていく（Ｍｅｙｒｏｗｉｔｚ，千九百八十五）。八十年代以降、空間の電子的溶解についての同様の議論は無数に登場してきた。たとえば、「ビット・シティ」についてウィリアム・Ｊ・ミッチェルが示したのも、こう,"['て', 'いく', '（', 'Ｍｅｙｒｏｗｉｔｚ', '，', '千', '九百', '八十', '五', '）', '。', '八十', '年', '代', '以降', '、', '空間', 'の', '電子', '的', '溶解', 'に', 'つい', 'て', 'の', '同様', 'の', '議論', 'は', '無数', 'に', '登場', 'し', 'て', 'き', 'た', '。', 'たとえば', '、', '「', 'ビット', '・', 'シティ', '」', 'に', 'つい', 'て', 'ウィリアム', '・', 'Ｊ', '・', 'ミッチェル', 'が', '示し', 'た', 'の', 'も', '、', 'こう']",['無数'],NO,無数,NO,NO
2,無数,ながらデスクを離れ、窓に近寄った。笑いすぎて目の前に広がる夜景の無数の灯が滲む。ふいに扉をノックする音が聞こえた。笑いながらも,"['ながら', 'デスク', 'を', '離れ', '、', '窓', 'に', '近寄っ', 'た', '。', '笑い', 'すぎ', 'て', '目', 'の', '前', 'に', '広がる', '夜景', 'の', '無数', 'の', '灯', 'が', '滲む', '。', 'ふい', 'に', '扉', 'を', 'ノック', 'する', '音', 'が', '聞こえ', 'た', '。', '笑い', 'ながら', 'も']",['無数'],NO,無数,NO,NO
3,無数,な旦那衆や筏を操る川並たちで賑わったのである。縦横に走る掘割りに丸太が無数に浮いていたこの木場一帯だが、今では舟で行っても、筏の,"['な', '旦那', '衆', 'や', '筏', 'を', '操る', '川並', 'たち', 'で', '賑わっ', 'た', 'の', 'で', 'ある', '。', '縦横', 'に', '走る', '掘割り', 'に', '丸太', 'が', '無数', 'に', '浮い', 'て', 'い', 'た', 'この', '木場', '一帯', 'だ', 'が', '、', '今', 'で', 'は', '舟', 'で', '行っ', 'て', 'も', '、', '筏', 'の']",['無数'],NO,無数,NO,NO
4,無数,にみずからの手によって植えつけさせてきたのです。学校とは、校長や教員たちによって、無数の規則の森のなか、紙のうえで運営されているものなのです。★２,"['に', 'みずから', 'の', '手', 'に', 'よっ', 'て', '植えつけ', 'させ', 'て', 'き', 'た', 'の', 'です', '。', '学校', 'と', 'は', '、', '校長', 'や', '教員', 'たち', 'に', 'よっ', 'て', '、', '無数', 'の', '規則', 'の', '森', 'の', 'なか', '、', '紙', 'の', 'うえ', 'で', '運営', 'さ', 'れ', 'て', 'いる', 'もの', 'な', 'の', 'です', '。', '★', '２']",['無数'],NO,無数,NO,NO
5,無数,わからなかった。達郎は、自分の肉体の持つ勘に信頼を寄せ、海底から無数にゆらめいている海へびは、きっと毒を持っているに違いないと解釈した。毒がなければ,"['わから', 'なかっ', 'た', '。', '達郎', 'は', '、', '自分', 'の', '肉体', 'の', '持つ', '勘', 'に', '信頼', 'を', '寄せ', '、', '海底', 'から', '無数', 'に', 'ゆらめい', 'て', 'いる', '海へび', 'は', '、', 'きっと', '毒', 'を', '持っ', 'て', 'いる', 'に', '違い', 'ない', 'と', '解釈', 'し', 'た', '。', '毒', 'が', 'なけれ', 'ば']",['無数'],NO,無数,NO,NO
6,無数,のあるいは混合されたタイプや種々の文章の材料や色やそれぞれ効用に応じた無数の変化をともなった印象的な印刷術。またカール・タイゲは、雑誌『パモス』の第四号につぎのよう,"['の', 'あるいは', '混合', 'さ', 'れ', 'た', 'タイプ', 'や', '種々', 'の', '文章', 'の', '材料', 'や', '色', 'や', 'それぞれ', '効用', 'に', '応じ', 'た', '無数', 'の', '変化', 'を', 'ともなっ', 'た', '印象', '的', 'な', '印刷', '術', '。', 'また', 'カール', '・', 'タイゲ', 'は', '、', '雑誌', '『', 'パモス', '』', 'の', '第', '四', '号', 'に', 'つぎ', 'の', 'よう']",['無数'],NO,無数,NO,NO
7,無数,たいのだろうか？突然、彼の体は爆竹で吹き飛ばしたパズルのように、無数に散らばった。最後には顔まで分割された。鼻と唇と目は離れ離れ,"['たい', 'の', 'だろう', 'か', '？', '突然', '、', '彼', 'の', '体', 'は', '爆竹', 'で', '吹き飛ばし', 'た', 'パズル', 'の', 'よう', 'に', '、', '無数', 'に', '散らばっ', 'た', '。', '最後', 'に', 'は', '顔', 'まで', '分割', 'さ', 'れ', 'た', '。', '鼻', 'と', '唇', 'と', '目', 'は', '離れ離れ']",['無数'],NO,無数,NO,NO
8,無数,が、それぞれの精子は生物学的に少しずつ異なった遺伝子の組合せをもっています。無数の精子のなかのどの精子が卵子に達し、受精するか、だれかが決定するわけ,"['が', '、', 'それぞれ', 'の', '精子', 'は', '生物', '学', '的', 'に', '少し', 'ずつ', '異なっ', 'た', '遺伝', '子', 'の', '組合せ', 'を', 'もっ', 'て', 'い', 'ます', '。', '無数', 'の', '精子', 'の', 'なか', 'の', 'どの', '精子', 'が', '卵子', 'に', '達し', '、', '受精', 'する', 'か', '、', 'だれ', 'か', 'が', '決定', 'する', 'わけ']",['無数'],NO,無数,NO,NO
9,無数,．つまり，所得が増大すれば，企業の利潤が増大するのである．しかし，独占的企業は，無数に存在する企業の一部にすぎないため，彼が生産量を増大させても総所得に影響を,"['．', 'つまり', '，', '所得', 'が', '増大', 'すれ', 'ば', '，', '企業', 'の', '利潤', 'が', '増大', 'する', 'の', 'で', 'ある', '．', 'しかし', '，', '独占', '的', '企業', 'は', '，', '無数', 'に', '存在', 'する', '企業', 'の', '一部', 'に', 'すぎ', 'ない', 'ため', '，', '彼', 'が', '生産', '量', 'を', '増大', 'さ', 'せ', 'て', 'も', '総', '所得', 'に', '影響', 'を']",['無数'],NO,無数,NO,NO
10,無数,、大空に大輪の花が咲き開いた。花火はつかのまキラキラ空中で輝いたあと、無数の流れ星のように海の上にいっせいに降り注いだ。まもなく夜が,"['、', '大空', 'に', '大輪', 'の', '花', 'が', '咲き開い', 'た', '。', '花火', 'は', 'つかのま', 'キラキラ', '空中', 'で', '輝い', 'た', 'あと', '、', '無数', 'の', '流れ星', 'の', 'よう', 'に', '海', 'の', '上', 'に', 'いっせい', 'に', '降り注い', 'だ', '。', 'ま', 'も', 'なく', '夜', 'が']",['無数'],NO,無数,NO,NO
11,無数,いえぬほど気持の悪い光景だった。ざわざわとうねっている巨大な、三〜四タールもある無数の細いミミズの群！（げえ…）恐れはしなかったが、ヴァレリウス,"['いえ', 'ぬ', 'ほど', '気持', 'の', '悪い', '光景', 'だっ', 'た', '。', 'ざわざわ', 'と', 'うねっ', 'て', 'いる', '巨大', 'な', '、', '三', '〜', '四', 'タール', 'も', 'ある', '無数', 'の', '細い', 'ミミズ', 'の', '群', '！', '（', 'げ', 'え', '…', '）', '恐れ', 'は', 'し', 'なかっ', 'た', 'が', '、', 'ヴァレリウス']",['無数'],NO,無数,NO,NO
12,無数,に包まれたもろい肉体）だが愛はあるだろう偏見も勇気はあるだろうおびえも無数の言葉はあるだろう（おお見知らぬ神よ！）沈黙もただ人ゆえにたったひとり,"['に', '包ま', 'れ', 'た', 'もろい', '肉体', '）', 'だ', 'が', '愛', 'は', 'ある', 'だろう', '偏見', 'も', '勇気', 'は', 'ある', 'だろう', 'おびえ', 'も', '無数', 'の', '言葉', 'は', 'ある', 'だろう', '（', 'お', 'お', '見知ら', 'ぬ', '神', 'よ', '！', '）', '沈黙', 'も', 'ただ', '人', 'ゆえ', 'に', 'たっ', 'た', 'ひとり']",['無数'],NO,無数,NO,NO
13,無数,から大波が寄せてきて、膝を濡らした。叩きつけた波と一緒に、無数の樒の葉が浜に押し戻されていた。その表に書かれた経文は,"['から', '大波', 'が', '寄せ', 'て', 'き', 'て', '、', '膝', 'を', '濡らし', 'た', '。', '叩きつけ', 'た', '波', 'と', '一緒', 'に', '、', '無数', 'の', '樒', 'の', '葉', 'が', '浜', 'に', '押し戻さ', 'れ', 'て', 'い', 'た', '。', 'その', '表', 'に', '書か', 'れ', 'た', '経文', 'は']",['無数'],NO,無数,NO,NO
14,無数,ない田舎の夜の空は、漆黒の闇と言ってもいい程だ。その中に無数の星が煌いている美しさは、信じられないほどの奇跡に思われる。星の,"['ない', '田舎', 'の', '夜', 'の', '空', 'は', '、', '漆黒', 'の', '闇', 'と', '言っ', 'て', 'も', 'いい', '程', 'だ', '。', 'その', '中', 'に', '無数', 'の', '星', 'が', '煌い', 'て', 'いる', '美し', 'さ', 'は', '、', '信じ', 'られ', 'ない', 'ほど', 'の', '奇跡', 'に', '思わ', 'れる', '。', '星', 'の']",['無数'],NO,無数,NO,NO
15,無数,至らぬまでも病床に臥すものもあったであろうし、六位以下はこの調子だと無数であったろう。天平九年という年藤原四卿の死この年正月二十七日遣新羅使が帰国したが、,"['至ら', 'ぬ', 'まで', 'も', '病床', 'に', '臥す', 'もの', 'も', 'あっ', 'た', 'で', 'あろう', 'し', '、', '六', '位', '以下', 'は', 'この', '調子', 'だ', 'と', '無数', 'で', 'あっ', 'たろう', '。', '天平', '九', '年', 'と', 'いう', '年', '藤原', '四', '卿', 'の', '死', 'この', '年', '正月', '二十', '七', '日', '遣', '新羅', '使', 'が', '帰国', 'し', 'た', 'が', '、']",['無数'],NO,無数,NO,NO
16,無数,ここで原点に帰って営業の業務とは何かについて考えてみましょう。それは無数の仕事から成りますが、大別すると、日常業務と重点業務に分けることができます（図Ⅶ,"['ここ', 'で', '原点', 'に', '帰っ', 'て', '営業', 'の', '業務', 'と', 'は', '何', 'か', 'に', 'つい', 'て', '考え', 'て', 'み', 'ましょう', '。', 'それ', 'は', '無数', 'の', '仕事', 'から', '成り', 'ます', 'が', '、', '大別', 'する', 'と', '、', '日常', '業務', 'と', '重点', '業務', 'に', '分ける', 'こと', 'が', 'でき', 'ます', '（', '図', 'Ⅶ']",['無数'],NO,無数,NO,NO
17,無数,に、灰色の塊りが見えた。飛行機が高度を下げるに従い、天を突き刺す無数のコンクリートの棒のような奇妙なものが、眼に入った。ハドソン川とイースト川,"['に', '、', '灰色', 'の', '塊り', 'が', '見え', 'た', '。', '飛行', '機', 'が', '高度', 'を', '下げる', 'に', '従い', '、', '天', 'を', '突き刺す', '無数', 'の', 'コンクリート', 'の', '棒', 'の', 'よう', 'な', '奇妙', 'な', 'もの', 'が', '、', '眼', 'に', '入っ', 'た', '。', 'ハドソン', '川', 'と', 'イースト', '川']",['無数'],NO,無数,NO,NO
18,無数,一方、ミームはひとりから全員へ、全員からひとりへと移っていく（ジョルジュ・シムノンは無数の女とセックスをした。たとえ全部の相手に妊娠させたとしても、彼の,"['一方', '、', 'ミーム', 'は', 'ひとり', 'から', '全員', 'へ', '、', '全員', 'から', 'ひとり', 'へ', 'と', '移っ', 'て', 'いく', '（', 'ジョルジュ', '・', 'シム', 'ノン', 'は', '無数', 'の', '女', 'と', 'セックス', 'を', 'し', 'た', '。', 'たとえ', '全部', 'の', '相手', 'に', '妊娠', 'さ', 'せ', 'た', 'と', 'し', 'て', 'も', '、', '彼', 'の']",['無数'],NO,無数,NO,NO
19,無数,そして、君が受け継いだ『トウビョウ』は、確かに妖しだ。…そこにいる無数の蛇たち…。それは、山間の集落という閉鎖空間に代々暮らしてきた人々の、,"['そして', '、', '君', 'が', '受け継い', 'だ', '『', 'トウビョウ', '』', 'は', '、', '確か', 'に', '妖し', 'だ', '。', '…', 'そこ', 'に', 'いる', '無数', 'の', '蛇', 'たち', '…', '。', 'それ', 'は', '、', '山間', 'の', '集落', 'と', 'いう', '閉鎖', '空間', 'に', '代々', '暮らし', 'て', 'き', 'た', '人々', 'の', '、']",['無数'],NO,無数,NO,NO
20,無数,て『四魂集』を刊行してやるよ」易順鼎は大変な詩才を持ち、ふだんから無数の作詩がある。最も得意な作品は台湾の二年間の詩で、『魂北』,"['て', '『', '四', '魂', '集', '』', 'を', '刊行', 'し', 'て', 'やる', 'よ', '」', '易', '順鼎', 'は', '大変', 'な', '詩才', 'を', '持ち', '、', 'ふだん', 'から', '無数', 'の', '作詩', 'が', 'ある', '。', '最も', '得意', 'な', '作品', 'は', '台湾', 'の', '二', '年間', 'の', '詩', 'で', '、', '『', '魂北', '』']",['無数'],NO,無数,NO,NO
21,無数,でも、情報ハイウェイの膨大な画像カタログから好きなものを選ぶことができる。ビデオクリップや音声入りアニメも無数のサンプルから入手できる。いまなら何日もかかるビジュアルの組み込みも、数分でできるように,"['で', 'も', '、', '情報', 'ハイウェイ', 'の', '膨大', 'な', '画像', 'カタログ', 'から', '好き', 'な', 'もの', 'を', '選ぶ', 'こと', 'が', 'できる', '。', 'ビデオ', 'クリップ', 'や', '音声', '入り', 'アニメ', 'も', '無数', 'の', 'サンプル', 'から', '入手', 'できる', '。', 'いま', 'なら', '何', '日', 'も', 'かかる', 'ビジュアル', 'の', '組み込み', 'も', '、', '数', '分', 'で', 'できる', 'よう', 'に']",['無数'],NO,無数,NO,NO
22,無数,進展は、われわれの生活に対しさまざまな便益を提供したが、他方で新たな無数の危険を生み出した。これらの危険のうち、みずからの不注意や不可抗力による場合を,"['進展', 'は', '、', 'われわれ', 'の', '生活', 'に', '対し', 'さまざま', 'な', '便益', 'を', '提供', 'し', 'た', 'が', '、', '他方', 'で', '新た', 'な', '無数', 'の', '危険', 'を', '生み出し', 'た', '。', 'これ', 'ら', 'の', '危険', 'の', 'うち', '、', 'みずから', 'の', '不', '注意', 'や', '不可抗', '力', 'に', 'よる', '場合', 'を']",['無数'],NO,無数,NO,NO
23,無数,は、発車三十分前だった。構内は、年末の帰省客でごった返していた。この無数の人の群れのどこに、亜紀子がいるものやら見当もつかなかった。切符,"['は', '、', '発車', '三十', '分', '前', 'だっ', 'た', '。', '構内', 'は', '、', '年末', 'の', '帰省', '客', 'で', 'ごった返し', 'て', 'い', 'た', '。', 'この', '無数', 'の', '人', 'の', '群れ', 'の', 'どこ', 'に', '、', '亜紀子', 'が', 'いる', 'もの', 'やら', '見当', 'も', 'つか', 'なかっ', 'た', '。', '切符']",['無数'],NO,無数,NO,NO
24,無数,んじゃない。存在自体がまったく同じことなんだ…。そうよ。だれしも足の裏に無数の虫ケラの屍をつくりながら生きているんだから。そして、その虫ケラからすると、自分を,"['ん', 'じゃ', 'ない', '。', '存在', '自体', 'が', 'まったく', '同じ', 'こと', 'な', 'ん', 'だ', '…', '。', 'そう', 'よ', '。', 'だれ', 'しも', '足', 'の', '裏', 'に', '無数', 'の', '虫ケラ', 'の', '屍', 'を', 'つくり', 'ながら', '生き', 'て', 'いる', 'ん', 'だ', 'から', '。', 'そして', '、', 'その', '虫ケラ', 'から', 'する', 'と', '、', '自分', 'を']",['無数'],NO,無数,NO,NO
25,無数,間もなく数知れない程になる状況を想像して頂きたい。そのＶＡＮの大群に無数のプログラムやモデルが組み込まれ、それがこれまた無数のメッセージを絶え間なく変えたり、,"['間', 'も', 'なく', '数', '知れ', 'ない', '程', 'に', 'なる', '状況', 'を', '想像', 'し', 'て', '頂き', 'たい', '。', 'その', 'ＶＡＮ', 'の', '大群', 'に', '無数', 'の', 'プログラム', 'や', 'モデル', 'が', '組み込ま', 'れ', '、', 'それ', 'が', 'これ', 'また', '無数', 'の', 'メッセージ', 'を', '絶え間', 'なく', '変え', 'たり', '、']",['無数'],NO,無数,NO,NO
26,無数,間もなく数知れない程になる状況を想像して頂きたい。そのＶＡＮの大群に無数のプログラムやモデルが組み込まれ、それがこれまた無数のメッセージを絶え間なく変えたり、,"['間', 'も', 'なく', '数', '知れ', 'ない', '程', 'に', 'なる', '状況', 'を', '想像', 'し', 'て', '頂き', 'たい', '。', 'その', 'ＶＡＮ', 'の', '大群', 'に', '無数', 'の', 'プログラム', 'や', 'モデル', 'が', '組み込ま', 'れ', '、', 'それ', 'が', 'これ', 'また', '無数', 'の', 'メッセージ', 'を', '絶え間', 'なく', '変え', 'たり', '、']",['無数'],NO,無数,NO,NO
27,無数,。「苦しめ苦しめ、蠍の毒はじわじわ効くそうな。狭いまっ暗な箱の中で無数の蠍に刺され、幾日ものた打ったあげく死ぬがよい」英浦ひとり,"['。', '「', '苦しめ', '苦しめ', '、', '蠍', 'の', '毒', 'は', 'じわじわ', '効く', 'そう', 'な', '。', '狭い', 'まっ暗', 'な', '箱', 'の', '中', 'で', '無数', 'の', '蠍', 'に', '刺さ', 'れ', '、', '幾', '日', 'も', 'のた', '打っ', 'た', 'あげく', '死ぬ', 'が', 'よい', '」', '英浦', 'ひとり']",['無数'],NO,無数,NO,NO
28,無数,ようになると言うと孔子生前は皆笑ったろうが。一種弟子のルサンチマンを割り引いても無数の諸子百家が淘汰されて孔子儒教が残ったということは不易の真理を示したから,"['よう', 'に', 'なる', 'と', '言う', 'と', '孔子', '生前', 'は', '皆', '笑っ', 'たろう', 'が', '。', '一種', '弟子', 'の', 'ルサンチマン', 'を', '割り引い', 'て', 'も', '無数', 'の', '諸子', '百家', 'が', '淘汰', 'さ', 'れ', 'て', '孔子', '儒教', 'が', '残っ', 'た', 'と', 'いう', 'こと', 'は', '不易', 'の', '真理', 'を', '示し', 'た', 'から']",['無数'],NO,無数,NO,NO
29,無数,公園でＳさんが撮影した写真。「このあたりでは、以前から夜になると無数の霊気が漂っているのが感じられました。この夜、公園の入り口にある,"['公園', 'で', 'Ｓ', 'さん', 'が', '撮影', 'し', 'た', '写真', '。', '「', 'この', 'あたり', 'で', 'は', '、', '以前', 'から', '夜', 'に', 'なる', 'と', '無数', 'の', '霊気', 'が', '漂っ', 'て', 'いる', 'の', 'が', '感じ', 'られ', 'まし', 'た', '。', 'この', '夜', '、', '公園', 'の', '入り口', 'に', 'ある']",['無数'],NO,無数,NO,NO
30,無数,もＮ響の名誉指揮者の地位にある。今後、彼のブルックナーやワーグナーを聴けるチャンスは無数にあるのだ。こんな幸福があろうか。欣喜雀躍とはこのことだ。マタチッチは,"['も', 'Ｎ', '響', 'の', '名誉', '指揮', '者', 'の', '地位', 'に', 'ある', '。', '今後', '、', '彼', 'の', 'ブルックナー', 'や', 'ワーグナー', 'を', '聴ける', 'チャンス', 'は', '無数', 'に', 'ある', 'の', 'だ', '。', 'こんな', '幸福', 'が', 'あろう', 'か', '。', '欣喜', '雀躍', 'と', 'は', 'この', 'こと', 'だ', '。', 'マタチッチ', 'は']",['無数'],NO,無数,NO,NO
31,無数,、こういう言葉で頑張っていますけれども、この言葉には今みたいな経験が無数に積み上げられていると思うわけです。そして、高橋先生は陳述の中で、教師が,"['、', 'こう', 'いう', '言葉', 'で', '頑張っ', 'て', 'い', 'ます', 'けれど', 'も', '、', 'この', '言葉', 'に', 'は', '今', 'みたい', 'な', '経験', 'が', '無数', 'に', '積み上げ', 'られ', 'て', 'いる', 'と', '思う', 'わけ', 'です', '。', 'そして', '、', '高橋', '先生', 'は', '陳述', 'の', '中', 'で', '、', '教師', 'が']",['無数'],NO,無数,NO,NO
32,無数,ふと見ると地平線の彼方にかすかに動くものがある。最初は黒点であった無数の影が、だんだんと蟻のうねりのようにこちらにむかって来る。無数,"['ふと', '見る', 'と', '地平', '線', 'の', '彼方', 'に', 'かすか', 'に', '動く', 'もの', 'が', 'ある', '。', '最初', 'は', '黒点', 'で', 'あっ', 'た', '無数', 'の', '影', 'が', '、', 'だんだん', 'と', '蟻', 'の', 'うねり', 'の', 'よう', 'に', 'こちら', 'に', 'むかっ', 'て', '来る', '。', '無数']",['無数'],NO,無数,NO,NO
33,無数,ふと見ると地平線の彼方にかすかに動くものがある。最初は黒点であった無数の影が、だんだんと蟻のうねりのようにこちらにむかって来る。無数,"['ふと', '見る', 'と', '地平', '線', 'の', '彼方', 'に', 'かすか', 'に', '動く', 'もの', 'が', 'ある', '。', '最初', 'は', '黒点', 'で', 'あっ', 'た', '無数', 'の', '影', 'が', '、', 'だんだん', 'と', '蟻', 'の', 'うねり', 'の', 'よう', 'に', 'こちら', 'に', 'むかっ', 'て', '来る', '。', '無数']",['無数'],NO,無数,NO,NO
34,無数,客の靴をみな持ち出してしまったのではないか。あるいは、あるいは…。段ボール箱につまった無数の靴は私を混乱させた。何かそれらしい答えを導き出して混乱を鎮めたかっ,"['客', 'の', '靴', 'を', 'みな', '持ち出し', 'て', 'しまっ', 'た', 'の', 'で', 'は', 'ない', 'か', '。', 'あるいは', '、', 'あるいは', '…', '。', '段', 'ボール', '箱', 'に', 'つまっ', 'た', '無数', 'の', '靴', 'は', '私', 'を', '混乱', 'さ', 'せ', 'た', '。', '何', 'か', 'それ', 'らしい', '答え', 'を', '導き出し', 'て', '混乱', 'を', '鎮め', 'たかっ']",['無数'],NO,無数,NO,NO
35,無数,のように稀薄な男が、いきなり漆黒の虚無と化し、その暗部から白く吹きとぶ無数の雪片が、冷酷な殺意の刺をたぎらせてなだれかかってきたのだ。,"['の', 'よう', 'に', '稀薄', 'な', '男', 'が', '、', 'いきなり', '漆黒', 'の', '虚無', 'と', '化し', '、', 'その', '暗部', 'から', '白く', '吹きとぶ', '無数', 'の', '雪片', 'が', '、', '冷酷', 'な', '殺意', 'の', '刺', 'を', 'たぎら', 'せ', 'て', 'なだれ', 'かかっ', 'て', 'き', 'た', 'の', 'だ', '。']",['無数'],NO,無数,NO,NO
36,無数,千四百ｇの重量を持つという、なかなかに重い臓器である。そこには約百四十億個の神経細胞と無数の血管とがビッシリと詰まっている。心臓から送り出された血液は、大動脈を経,"['千', '四百', 'ｇ', 'の', '重量', 'を', '持つ', 'と', 'いう', '、', 'なかなか', 'に', '重い', '臓器', 'で', 'ある', '。', 'そこ', 'に', 'は', '約', '百', '四十', '億', '個', 'の', '神経', '細胞', 'と', '無数', 'の', '血管', 'と', 'が', 'ビッシリ', 'と', '詰まっ', 'て', 'いる', '。', '心臓', 'から', '送り出さ', 'れ', 'た', '血液', 'は', '、', '大', '動脈', 'を', '経']",['無数'],NO,無数,NO,NO
37,無数,に似た柔らかな音を立てながら受け鉢へと滴っていた。世の中には無数の危険があるように思えるわりには、そのような不慮の事故が比較的少ない,"['に', '似', 'た', '柔らか', 'な', '音', 'を', '立て', 'ながら', '受け鉢', 'へ', 'と', '滴っ', 'て', 'い', 'た', '。', '世の中', 'に', 'は', '無数', 'の', '危険', 'が', 'ある', 'よう', 'に', '思える', 'わり', 'に', 'は', '、', 'その', 'よう', 'な', '不慮', 'の', '事故', 'が', '比較', '的', '少ない']",['無数'],NO,無数,NO,NO
38,無数,ような足どりで、飛空船のなかを歩いていった。壁にはりつけられた、無数の戦利品に目もくれなければ、すさまじいにおいも気にしない。足切りスクリードにとって、,"['よう', 'な', '足どり', 'で', '、', '飛空', '船', 'の', 'なか', 'を', '歩い', 'て', 'いっ', 'た', '。', '壁', 'に', 'はりつけ', 'られ', 'た', '、', '無数', 'の', '戦利', '品', 'に', '目', 'も', 'くれ', 'なけれ', 'ば', '、', 'すさまじい', 'におい', 'も', '気', 'に', 'し', 'ない', '。', '足切り', 'スクリード', 'に', 'とっ', 'て', '、']",['無数'],NO,無数,NO,NO
