,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無性,と、自惚さを蔭で皆なに笑はれてゐるやうにも思はれて、礼吉は無性に腹立たしかつた。その結果、お静を責めたことも再三ではなかつた。,"['と', '、', '自惚', 'さ', 'を', '蔭', 'で', '皆な', 'に', '笑は', 'れ', 'て', 'ゐる', 'やう', 'に', 'も', '思は', 'れ', 'て', '、', '礼吉', 'は', '無性', 'に', '腹立たし', 'かつ', 'た', '。', 'その', '結果', '、', 'お静', 'を', '責め', 'た', 'こと', 'も', '再三', 'で', 'は', 'な', 'かつ', 'た', '。']",['無性'],NO,無性,NO,NO
1,無性,・・娘はいつものように義母の家で食べてるので夫と私用。無性に食べたくなったほっけ、本当はアボカドを乗せたかったけど夫が苦手なので,"['・', '・', '娘', 'は', 'いつ', 'も', 'の', 'よう', 'に', '義母', 'の', '家', 'で', '食べ', 'てる', 'の', 'で', '夫', 'と', '私用', '。', '無性', 'に', '食べ', 'たく', 'なっ', 'た', 'ほっけ', '、', '本当', 'は', 'アボカド', 'を', '乗せ', 'たかっ', 'た', 'けど', '夫', 'が', '苦手', 'な', 'の', 'で']",['無性'],NO,無性,NO,NO
2,無性,が、あれほどに切望し努力して来たことが一顧だにされなかったことが無性に腹立たしく、自分たちの非力が無闇と悲しかった。しかし、その半面では、,"['が', '、', 'あれ', 'ほど', 'に', '切望', 'し', '努力', 'し', 'て', '来', 'た', 'こと', 'が', '一顧', 'だに', 'さ', 'れ', 'なかっ', 'た', 'こと', 'が', '無性', 'に', '腹立たしく', '、', '自分', 'たち', 'の', '非力', 'が', '無闇', 'と', '悲しかっ', 'た', '。', 'しかし', '、', 'その', '半面', 'で', 'は', '、']",['無性'],NO,無性,NO,NO
3,無性,です。ＣＭやラジオなどでビートルズの音楽を耳にする影響でビートルズのＣＤが無性に欲しくなりました。そこでお聞きしたいのですが、ビートルズの“赤盤”“青盤,"['です', '。', 'ＣＭ', 'や', 'ラジオ', 'など', 'で', 'ビートルズ', 'の', '音楽', 'を', '耳', 'に', 'する', '影響', 'で', 'ビートルズ', 'の', 'ＣＤ', 'が', '無性', 'に', '欲しく', 'なり', 'まし', 'た', '。', 'そこ', 'で', 'お', '聞き', 'し', 'たい', 'の', 'です', 'が', '、', 'ビートルズ', 'の', '“', '赤盤', '”', '“', '青盤']",['無性'],NO,無性,NO,NO
4,無性,何もやる気もなく、自分自身に強い嫌悪感を持っています。またほかの人たちに対して無性に怒りがわいてきて感情が制御できません。こんな状態で生きられるのでしょうか。,"['何', 'も', 'やる気', 'も', 'なく', '、', '自分', '自身', 'に', '強い', '嫌悪', '感', 'を', '持っ', 'て', 'い', 'ます', '。', 'また', 'ほか', 'の', '人', 'たち', 'に', '対し', 'て', '無性', 'に', '怒り', 'が', 'わい', 'て', 'き', 'て', '感情', 'が', '制御', 'でき', 'ませ', 'ん', '。', 'こんな', '状態', 'で', '生き', 'られる', 'の', 'でしょう', 'か', '。']",['無性'],NO,無性,NO,NO
5,無性,は滅びる。地球も消える。太陽系も消える。全部消えてしまう。その果てしない闇が無性に恐ろしかった。だが、いまは違う。地下に存在しているのは恐ろしい水ではない,"['は', '滅びる', '。', '地球', 'も', '消える', '。', '太陽', '系', 'も', '消える', '。', '全部', '消え', 'て', 'しまう', '。', 'その', '果てし', 'ない', '闇', 'が', '無性', 'に', '恐ろしかっ', 'た', '。', 'だ', 'が', '、', 'いま', 'は', '違う', '。', '地下', 'に', '存在', 'し', 'て', 'いる', 'の', 'は', '恐ろしい', '水', 'で', 'は', 'ない']",['無性'],NO,無性,NO,NO
6,無性,みんカラブログ】内チョロＱデータバンク【日本ブログ村】にランキング登録ちう♪下記のリンク先をポチッとしてくれると無性にこうくんが喜びます＾＾一日一回のクリック、どうぞご支援宜しくお願いします＜（＿,"['み', 'ん', 'カラ', 'ブログ', '】', '内', 'チョロＱ', 'データ', 'バンク', '【', '日本', 'ブログ', '村', '】', 'に', 'ランキング', '登録', 'ちう', '♪', '下記', 'の', 'リンク', '先', 'を', 'ポチッ', 'と', 'し', 'て', 'くれる', 'と', '無性', 'に', 'こう', 'くん', 'が', '喜び', 'ます', '＾＾', '一', '日', '一', '回', 'の', 'クリック', '、', 'どうぞ', 'ご', '支援', '宜しく', 'お', '願い', 'し', 'ます', '＜', '（', '＿']",['無性'],NO,無性,NO,NO
7,無性,目指せ長淵剛だーっ！←古っさて。本日の我が家の晩御飯ですが…朝から無性にタイカレーが食べたかったので、久々にゲーンキョワーン（グリーンカレー）を作りました♪深め,"['目指せ', '長淵', '剛', 'だ', 'ー', 'っ', '！', '←', '古', 'っ', 'さて', '。', '本日', 'の', '我が家', 'の', '晩御飯', 'です', 'が', '…', '朝', 'から', '無性', 'に', 'タイ', 'カレー', 'が', '食べ', 'たかっ', 'た', 'の', 'で', '、', '久々', 'に', 'ゲーンキョワーン', '（', 'グリーン', 'カレー', '）', 'を', '作り', 'まし', 'た', '♪', '深め']",['無性'],NO,無性,NO,NO
8,無性,に至るまで。自然との対話と瞑想に入ろうとしていた矢先の闖入者共に無性に腹を立て、ぼくは八つ当り的に金もうけだけしか考えない土建屋、不動産屋に腹を,"['に', '至る', 'まで', '。', '自然', 'と', 'の', '対話', 'と', '瞑想', 'に', '入ろう', 'と', 'し', 'て', 'い', 'た', '矢先', 'の', '闖入', '者', '共', 'に', '無性', 'に', '腹', 'を', '立て', '、', 'ぼく', 'は', '八つ当り', '的', 'に', '金もうけ', 'だけ', 'しか', '考え', 'ない', '土建', '屋', '、', '不', '動産', '屋', 'に', '腹', 'を']",['無性'],NO,無性,NO,NO
9,無性,が鎌首をもたげ始めていたのだ。彼女のことを考えると、いとおしく、切ない想いに無性に胸が締め付けられる…。「ダメだ、それはできない」レディンは,"['が', '鎌首', 'を', 'もたげ', '始め', 'て', 'い', 'た', 'の', 'だ', '。', '彼女', 'の', 'こと', 'を', '考える', 'と', '、', 'いとおしく', '、', '切ない', '想い', 'に', '無性', 'に', '胸', 'が', '締め付け', 'られる', '…', '。', '「', 'ダメ', 'だ', '、', 'それ', 'は', 'でき', 'ない', '」', 'レディン', 'は']",['無性'],NO,無性,NO,NO
