,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,調理室,従業員の忘年会は二日前にすんでいるし、仕事が上がった者から帰宅することになる。調理室の脇の通路で、エリ子は光沢浩一と鉢合わせをした。上板や中板という板前たち,"['従業', '員', 'の', '忘年会', 'は', '二', '日', '前', 'に', 'すん', 'で', 'いる', 'し', '、', '仕事', 'が', '上がっ', 'た', '者', 'から', '帰宅', 'する', 'こと', 'に', 'なる', '。', '調理', '室', 'の', '脇', 'の', '通路', 'で', '、', 'エリ', '子', 'は', '光沢', '浩一', 'と', '鉢合わせ', 'を', 'し', 'た', '。', '上板', 'や', '中', '板', 'という', '板前', 'たち']","['調理', '室']",YES,調理室,NO,NO
1,調理室,９そば打ち日時：十一月６日・十三日（木）午前９時三十分〜午後１時場所：ハクレン館（調理室）費用：五百円（材料費受付時集金）定員：各三十人十閉講式・講演（市町村合併について）ほか,"['９', 'そば', '打ち', '日時', '：', '十一月', '６', '日', '・', '十', '三', '日', '（', '木', '）', '午前', '９', '時', '三', '十', '分', '〜', '午後', '１', '時', '場所', '：', 'ハク', 'レン', '館', '（', '調理', '室', '）', '費用', '：', '五', '百', '円', '（', '材料', '費', '受付', '時', '集金', '）', '定員', '：', '各', '三', '十', '人', '十', '閉講', '式', '・', '講演', '（', '市町村', '合併', 'について', '）', 'ほか']","['調理', '室']",YES,調理室,NO,NO
2,調理室,門前会館にエレベーターを設置するなどの工事を行っており、そこに公民館機能を集約する予定である。調理室の設置についても対応したいのでしばらく待って欲しい。・保育所の民営化について,"['門前', '会館', 'に', 'エレベーター', 'を', '設置', 'する', 'など', 'の', '工事', 'を', '行っ', 'て', 'おり', '、', 'そこ', 'に', '公民館', '機能', 'を', '集約', 'する', '予定', 'で', 'ある', '。', '調理', '室', 'の', '設置', 'について', 'も', '対応', 'し', 'たい', 'ので', 'しばらく', '待っ', 'て', '欲しい', '。', '・', '保育', '所', 'の', '民営', '化', 'について']","['調理', '室']",YES,調理室,NO,NO
3,調理室,口のなかでそう呟いた。彼は一階に降りると、調理室へ入った。調理室は、ごった返していた。ニンニクの臭い、油のこげる臭い。土間には、いたるところ,"['口', 'の', 'なか', 'で', 'そう', '呟い', 'た', '。', '彼', 'は', '一', '階', 'に', '降りる', 'と', '、', '調理', '室', 'へ', '入っ', 'た', '。', '調理', '室', 'は', '、', 'ごった返し', 'て', 'い', 'た', '。', 'ニンニク', 'の', '臭い', '、', '油', 'の', 'こげる', '臭い', '。', '土間', 'に', 'は', '、', 'いたる', 'ところ']","['調理', '室']",YES,調理室,NO,NO
4,調理室,口のなかでそう呟いた。彼は一階に降りると、調理室へ入った。調理室は、ごった返していた。ニンニクの臭い、油のこげる臭い。土間には、いたるところ,"['口', 'の', 'なか', 'で', 'そう', '呟い', 'た', '。', '彼', 'は', '一', '階', 'に', '降りる', 'と', '、', '調理', '室', 'へ', '入っ', 'た', '。', '調理', '室', 'は', '、', 'ごった返し', 'て', 'い', 'た', '。', 'ニンニク', 'の', '臭い', '、', '油', 'の', 'こげる', '臭い', '。', '土間', 'に', 'は', '、', 'いたる', 'ところ']","['調理', '室']",YES,調理室,NO,NO
5,調理室,も！調理室とランチルームは、可動パーテーションで仕切ることもできます。【面積】・調理室百三ｍ２・ランチルーム五十五ｍ２【料金】１時間千円（営利宣伝利用五千円）【施設概要・備品,"['も', '！', '調理', '室', 'と', 'ランチ', 'ルーム', 'は', '、', '可動', 'パーテーション', 'で', '仕切る', 'こと', 'も', 'でき', 'ます', '。', '【', '面積', '】', '・', '調理', '室', '百', '三', 'ｍ', '２', '・', 'ランチ', 'ルーム', '五', '十', '五', 'ｍ', '２', '【', '料金', '】', '１', '時間', '千', '円', '（', '営利', '宣伝', '利用', '五', '千', '円', '）', '【', '施設', '概要', '・', '備品']","['調理', '室']",YES,調理室,NO,NO
6,調理室,も！調理室とランチルームは、可動パーテーションで仕切ることもできます。【面積】・調理室百三ｍ２・ランチルーム五十五ｍ２【料金】１時間千円（営利宣伝利用五千円）【施設概要・備品,"['も', '！', '調理', '室', 'と', 'ランチ', 'ルーム', 'は', '、', '可動', 'パーテーション', 'で', '仕切る', 'こと', 'も', 'でき', 'ます', '。', '【', '面積', '】', '・', '調理', '室', '百', '三', 'ｍ', '２', '・', 'ランチ', 'ルーム', '五', '十', '五', 'ｍ', '２', '【', '料金', '】', '１', '時間', '千', '円', '（', '営利', '宣伝', '利用', '五', '千', '円', '）', '【', '施設', '概要', '・', '備品']","['調理', '室']",YES,調理室,NO,NO
7,調理室,でうちはお菓子作りとベリーダンスをやった。友達も一緒って言ってたので、いざ調理室に行ったらいなくて（笑）うちだけ前半と後半のコースが逆だった,"['で', 'うち', 'は', 'お菓子', '作り', 'と', 'ベリー', 'ダンス', 'を', 'やっ', 'た', '。', '友達', 'も', '一緒', 'って', '言っ', 'て', 'た', 'ので', '、', 'いざ', '調理', '室', 'に', '行っ', 'たら', 'い', 'なく', 'て', '（', '笑', '）', 'うち', 'だけ', '前半', 'と', '後半', 'の', 'コース', 'が', '逆', 'だっ', 'た']","['調理', '室']",YES,調理室,NO,NO
8,調理室,に変わります。白く塗られていない「紫外線灯」もあって、食品工場（給食の調理室でも）などで、殺菌用に使われたりしています。参考ＵＲＬのところで、,"['に', '変わり', 'ます', '。', '白く', '塗ら', 'れ', 'て', 'い', 'ない', '「', '紫外線', '灯', '」', 'も', 'あっ', 'て', '、', '食品', '工場', '（', '給食', 'の', '調理', '室', 'でも', '）', 'など', 'で', '、', '殺菌', '用', 'に', '使わ', 'れ', 'たり', 'し', 'て', 'い', 'ます', '。', '参考', 'ＵＲＬ', 'の', 'ところ', 'で', '、']","['調理', '室']",YES,調理室,NO,NO
9,調理室,気配りロンドン市内の公立中学校「ノースウエストミンスターコミュニティースクール」。午前十時前、十人ほどの給食担当の職員が、調理室で準備に追われていた。その一人、ブレンダ・チェンバレンさん（五十七）は言う。牛肉,"['気配り', 'ロンドン', '市内', 'の', '公立', '中学校', '「', 'ノースウエストミンスターコミュニティースクール', '」', '。', '午前', '十', '時', '前', '、', '十', '人', 'ほど', 'の', '給食', '担当', 'の', '職員', 'が', '、', '調理', '室', 'で', '準備', 'に', '追わ', 'れ', 'て', 'い', 'た', '。', 'その', '一', '人', '、', 'ブレンダ・チェンバレン', 'さん', '（', '五', '十', '七', '）', 'は', '言う', '。', '牛肉']","['調理', '室']",YES,調理室,NO,NO
