,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,個所,のは、『書紀』の記述を、『三国志』の文章を用いて潤色した個所が、かなりあることである。小島憲之氏は、『三国志』の引用は『漢書』,"['の', 'は', '、', '『', '書紀', '』', 'の', '記述', 'を', '、', '『', '三', '国', '志', '』', 'の', '文章', 'を', '用いて', '潤', '色', 'した', '個所', 'が', '、', 'かなり', 'ある', 'こと', 'である', '。', '小島', '憲', '之', '氏', 'は', '、', '『', '三', '国', '志', '』', 'の', '引用', 'は', '『', '漢', '書', '』']",['個所'],NO,個所,NO,NO
1,個所,小林（恒）委員もう一点お伺いをしておきますけれども、すでに議論になっている個所、たとえば三陸縦貫鉄道の場合、あるいは目下貨物の撤退に伴って特定地方交通線で第三セクター論が浮上し、相当議論,"['小林', '（', '恒', '）', '委員', 'もう', '一', '点', 'お伺い', 'を', 'して', 'おき', 'ます', 'けれども', '、', 'すでに', '議論', 'に', 'なって', 'いる', '個所', '、', 'たとえば', '三陸', '縦貫', '鉄道', 'の', '場合', '、', 'あるいは', '目下', '貨物', 'の', '撤退', 'に', '伴って', '特定', '地方', '交通', '線', 'で', '第', '三', 'セクター', '論', 'が', '浮上', 'し', '、', '相当', '議論']",['個所'],NO,個所,NO,NO
2,個所,至ってはじめて主題的に登場したものである。初版においては、本文の価値形態論に引続く個所、および、価値形態論「附録」中の等価形態を論ずる脈絡内で、この件が論定されていた。が,"['至って', 'はじめて', '主題', '的に', '登場', 'した', 'もの', 'である', '。', '初版', 'に', 'おいて', 'は', '、', '本文', 'の', '価値', '形態', '論', 'に', '引続く', '個所', '、', 'および', '、', '価値', '形態', '論', '「', '附録', '」', '中', 'の', '等', '価', '形態', 'を', '論ずる', '脈絡', '内', 'で', '、', 'この', '件', 'が', '論', '定', 'さ', 'れて', 'いた', '。', 'が']",['個所'],NO,個所,NO,NO
3,個所,（８）飯尾正宏・河野博臣『がん死ケアマニュアル』（医学書院、千九百八十七年）四〜五ページ。同書では他の個所でも、患者の闘病中も死後も、家族に対するグリーフ・ワーク、つまりその悲哀からの回復,"['（', '８', '）', '飯', '尾', '正宏', '・', '河野', '博', '臣', '『', 'がん', '死', 'ケア', 'マニュアル', '』', '（', '医学', '書院', '、', '千九百八十七', '年', '）', '四', '〜', '五', 'ページ', '。', '同', '書', 'で', 'は', '他の', '個所', 'でも', '、', '患者', 'の', '闘病', '中', 'も', '死後', 'も', '、', '家族', 'に', '対する', 'グリーフ', '・', 'ワーク', '、', 'つまり', 'その', '悲哀', 'から', 'の', '回復']",['個所'],NO,個所,NO,NO
4,個所,的確であるし、充分すぎるほど充分に心がこもっている。ことに私が好きな個所は、“一史先生は、いつでも変わりなくにこやかで、会うとホッと肩の荷,"['的確である', 'し', '、', '充分', 'すぎる', 'ほど', '充分に', '心', 'が', 'こもって', 'いる', '。', 'ことに', '私', 'が', '好きな', '個所', 'は', '、', '“', '一史', '先生', 'は', '、', 'いつでも', '変わり', 'なく', 'にこやかで', '、', '会う', 'と', 'ホッと', '肩', 'の', '荷']",['個所'],NO,個所,NO,NO
5,個所,にチェックを入れ、ビデオを完全に巻き戻した状態でキャプチャすると、ＤＶカメラ側でカットした個所を探知して、分割されたビデオファイルを自動的にビデオクリップとして取り込んでくれる。これらのクリップは,"['に', 'チェック', 'を', '入れ', '、', 'ビデオ', 'を', '完全に', '巻き戻した', '状態', 'で', 'キャプチャ', 'する', 'と', '、', 'ＤＶ', 'カメラ', '側', 'で', 'カット', 'した', '個所', 'を', '探知', 'して', '、', '分割', 'さ', 'れた', 'ビデオ', 'ファイル', 'を', '自動', '的に', 'ビデオクリップ', 'と', 'して', '取り', '込んで', 'くれる', '。', 'これ', 'ら', 'の', 'クリップ', 'は']",['個所'],NO,個所,NO,NO
6,個所,があったんだ」「どんな点なんです？」「それがいつも同じ個所でね。生まれたときの子供の体重なんだ。書類のほかのページと、,"['が', 'あった', 'んだ', '」', '「', 'どんな', '点', 'な', 'んです', '？', '」', '「', 'それ', 'が', 'いつも', '同じ', '個所', 'で', 'ね', '。', '生まれた', 'とき', 'の', '子供', 'の', '体重', 'な', 'んだ', '。', '書類', 'の', 'ほか', 'の', 'ページ', 'と', '、']",['個所'],NO,個所,NO,NO
7,個所,ますから」そして彼は、肝臓だったか腎臓だったか、どこかそんな個所が少し悪いのだと云ったが、それがどこだったか私はうっかり聞き漏らしてしまっ,"['ます', 'から', '」', 'そして', '彼', 'は', '、', '肝臓', 'だった', 'か', '腎臓', 'だった', 'か', '、', 'どこ', 'か', 'そんな', '個所', 'が', '少し', '悪い', 'のだ', 'と', '云った', 'が', '、', 'それ', 'が', 'どこ', 'だった', 'か', '私', 'は', 'うっかり', '聞き', '漏らして', 'しまっ']",['個所'],NO,個所,NO,NO
8,個所,たのと前後して、一、二誘拐事件が発生していたのをふまえて続ける。一部不分明な個所があるかもしれないが、とりあえず原文のまま引用しよう（このレポートは『社会病理診断』中公新書に収録さ,"['たの', 'と', '前後', 'して', '、', '一', '、', '二', '誘拐', '事件', 'が', '発生', 'して', 'いた', 'の', 'を', 'ふまえて', '続ける', '。', '一部', '不', '分', '明', 'な', '個所', 'が', 'ある', 'かも', 'しれ', 'ない', 'が', '、', 'とりあえず', '原文', 'の', 'まま', '引用', 'しよう', '（', 'この', 'レポート', 'は', '『', '社会', '病理', '診断', '』', '中', '公', '新書', 'に', '収録', 'さ']",['個所'],NO,個所,NO,NO
9,個所,せいかもしれない。町なかは急坂が多いせいだろうけれども、まだ市庁舎や教区教会など見るべき個所も見終えないうちに疲れてしまう。もうこうなったら市庁舎前のオープンカフェで一休みして、早々,"['せい', 'かも', 'しれ', 'ない', '。', '町', 'なか', 'は', '急', '坂', 'が', '多い', 'せい', 'だろう', 'けれども', '、', 'まだ', '市', '庁舎', 'や', '教区', '教会', 'など', '見る', 'べき', '個所', 'も', '見', '終え', 'ない', 'うち', 'に', '疲れて', 'しまう', '。', 'もう', 'こう', 'なったら', '市', '庁舎', '前', 'の', 'オープン', 'カフェ', 'で', '一休み', 'して', '、', '早々']",['個所'],NO,個所,NO,NO
10,個所,，全体を通じて，自動車販売業の事例から多くの例と議論を使用します。適切な個所で，カラーリング本［Ｃｏａｄ九十九］の刊行後に改訂されたプロセスを説明し，それらの,"['，', '全体', 'を', '通じて', '，', '自動車', '販売', '業', 'の', '事例', 'から', '多く', 'の', '例', 'と', '議論', 'を', '使用', 'し', 'ます', '。', '適切な', '個所', 'で', '，', 'カラーリング', '本', '［', 'Ｃｏａｄ', '九十九', '］', 'の', '刊行', '後', 'に', '改訂', 'さ', 'れた', 'プロセス', 'を', '説明', 'し', '，', 'それ', 'ら', 'の']",['個所'],NO,個所,NO,NO
11,個所,が加われば、これはズバリ「女難」を暗示しています。人体星図の他の個所に鳳閣星と玉堂星があれば肉親に対する愛情が深く、石門星と調舒星があれば社会愛,"['が', '加われば', '、', 'これ', 'は', 'ズバリ', '「', '女', '難', '」', 'を', '暗示', 'して', 'い', 'ます', '。', '人体', '星', '図', 'の', '他', 'の', '個所', 'に', '鳳閣', '星', 'と', '玉', '堂', '星', 'が', 'あれば', '肉親', 'に', '対する', '愛情', 'が', '深く', '、', '石', '門', '星', 'と', '調', '舒星', 'が', 'あれば', '社会', '愛']",['個所'],NO,個所,NO,NO
12,個所,編曲するオーケストラが包み込み、導きます。このアルバムは、もう最初から最後まで文句をつける個所がないほどの完全なボサノヴァ・アルバムです。つまらないＢ級のラウンジ・ボサノヴァなんかに手を,"['編曲', 'する', 'オーケストラ', 'が', '包み', '込み', '、', '導き', 'ます', '。', 'この', 'アルバム', 'は', '、', 'もう', '最初', 'から', '最後', 'まで', '文句', 'を', 'つける', '個所', 'が', 'ない', 'ほど', 'の', '完全な', 'ボサノヴァ', '・', 'アルバム', 'です', '。', 'つまらない', 'Ｂ', '級', 'の', 'ラウンジ', '・', 'ボサノヴァ', 'なんか', 'に', '手', 'を']",['個所'],NO,個所,NO,NO
13,個所,Ｊｕｓｔｉｃｅ，ＥｘｐｌｏｉｔｉｏｎａｎｄｔｈｅＥｎｄｏｆＭｏｒａｌｉｔｙ”千九百八十七の批判が当たっている個所も多い。イギリス左派系の権力論としては、ＧｉｄｄｅｎｓあるいはＢａｒｒｙ，Ｂあたりかとも思うが、,"['Ｊｕｓｔｉｃｅ', '，', 'Ｅｘｐｌｏｉｔ', 'ｉｏｎａｎｄｔｈｅＥｎｄｏｆＭｏｒａｌｉｔｙ', '”', '千九百八十七', 'の', '批判', 'が', '当たって', 'いる', '個所', 'も', '多い', '。', 'イギリス', '左派', '系', 'の', '権力', '論', 'と', 'して', 'は', '、', 'Ｇｉｄｄｅｎｓ', 'あるいは', 'Ｂａｒｒｙ', '，', 'Ｂ', 'あたり', 'か', 'と', 'も', '思う', 'が', '、']",['個所'],NO,個所,NO,NO
14,個所,ながら録音したことがある。何年も前のことだが、ＢＢＣテレビの歴史ドキュメンタリーの日本の個所で、どうしても日本女性の声が必要だというので、引っぱり出されたのだ。これよりさらに,"['ながら', '録音', 'した', 'こと', 'が', 'ある', '。', '何', '年', 'も', '前', 'の', 'こと', 'だ', 'が', '、', 'ＢＢＣ', 'テレビ', 'の', '歴史', 'ドキュメンタリー', 'の', '日本', 'の', '個所', 'で', '、', 'どうしても', '日本', '女性', 'の', '声', 'が', '必要だ', 'と', 'いう', 'ので', '、', '引っぱり出さ', 'れた', 'のだ', '。', 'これ', 'より', 'さらに']",['個所'],NO,個所,NO,NO
15,個所,が大部分であった。そして著者の改訂のための書き込みは体系的ではなく、それゆえ、ある個所である改訂がなされていても、別の個所ではその改訂以前の言葉が残っ,"['が', '大部分', 'であった', '。', 'そして', '著者', 'の', '改訂', 'の', 'ため', 'の', '書き', '込み', 'は', '体系', '的で', 'は', 'なく', '、', 'それゆえ', '、', 'ある', '個所', 'である', '改訂', 'が', 'なされて', 'いて', 'も', '、', '別の', '個所', 'で', 'は', 'その', '改訂', '以前', 'の', '言葉', 'が', '残っ']",['個所'],NO,個所,NO,NO
16,個所,が大部分であった。そして著者の改訂のための書き込みは体系的ではなく、それゆえ、ある個所である改訂がなされていても、別の個所ではその改訂以前の言葉が残っ,"['が', '大部分', 'であった', '。', 'そして', '著者', 'の', '改訂', 'の', 'ため', 'の', '書き', '込み', 'は', '体系', '的で', 'は', 'なく', '、', 'それゆえ', '、', 'ある', '個所', 'である', '改訂', 'が', 'なされて', 'いて', 'も', '、', '別の', '個所', 'で', 'は', 'その', '改訂', '以前', 'の', '言葉', 'が', '残っ']",['個所'],NO,個所,NO,NO
17,個所,、昼食時にご飯と一緒に体内に入ってしまったことはいうまでもない。そして、同じ個所にばかりウメボシを入れていると、その部分のアルミが薄くなり、ついには穴が,"['、', '昼食', '時', 'に', 'ご飯', 'と', '一緒に', '体', '内', 'に', '入って', 'しまった', 'こと', 'は', 'いう', 'まで', 'も', 'ない', '。', 'そして', '、', '同じ', '個所', 'に', 'ばかり', 'ウメボシ', 'を', '入れて', 'いる', 'と', '、', 'その', '部分', 'の', 'アルミ', 'が', '薄く', 'なり', '、', 'ついに', 'は', '穴', 'が']",['個所'],NO,個所,NO,NO
18,個所,にむしろ神の深い知恵が現われている、と言っているのです。ドキンとさせられる個所です。ともかく、パウロの反知識主義には十分留意したいですね。こうしてアテーナイ,"['に', 'むしろ', '神', 'の', '深い', '知恵', 'が', '現われて', 'いる', '、', 'と', '言って', 'いる', 'のです', '。', 'ドキン', 'と', 'さ', 'せ', 'られる', '個所', 'です', '。', 'ともかく', '、', 'パウロ', 'の', '反', '知識', '主義', 'に', 'は', '十分', '留意', 'したい', 'です', 'ね', '。', 'こうして', 'アテーナイ']",['個所'],NO,個所,NO,NO
19,個所,ているので、かなり注意して読まねばならないものである。そのなかの光明皇后の伝記を記述している個所にこの話がみえている。皇后はある夜、仏の啓示によって浴室をたて、,"['て', 'いる', 'ので', '、', 'かなり', '注意', 'して', '読ま', 'ねば', 'なら', 'ない', 'もの', 'である', '。', 'その', 'なか', 'の', '光明', '皇后', 'の', '伝記', 'を', '記述', 'して', 'いる', '個所', 'に', 'この', '話', 'が', 'みえて', 'いる', '。', '皇后', 'は', 'ある', '夜', '、', '仏', 'の', '啓示', 'に', 'よって', '浴室', 'を', 'たて', '、']",['個所'],NO,個所,NO,NO
20,個所,手や足で、直接圧迫止血で出血が止まらない場合は、傷口よりも心臓に近い個所を、三角巾を止血帯にして緩めに縛ります。緩めに縛った止血帯に小枝,"['手', 'や', '足', 'で', '、', '直接', '圧迫', '止血', 'で', '出血', 'が', '止まら', 'ない', '場合', 'は', '、', '傷口', 'より', 'も', '心臓', 'に', '近い', '個所', 'を', '、', '三角', '巾', 'を', '止血', '帯', 'に', 'して', '緩め', 'に', '縛り', 'ます', '。', '緩', 'めに', '縛った', '止血', '帯', 'に', '小枝']",['個所'],NO,個所,NO,NO
21,個所,」クワークが言った。私たち三人はなにも言わずに、書棚があった個所の後ろ、壁の下のほうにある銃弾が掘り出された穴を見ていた,"['」', 'クワーク', 'が', '言った', '。', '私', 'たち', '三', '人', 'は', 'なにも', '言わ', 'ず', 'に', '、', '書棚', 'が', 'あった', '個所', 'の', '後ろ', '、', '壁', 'の', '下', 'の', 'ほう', 'に', 'ある', '銃弾', 'が', '掘り出さ', 'れた', '穴', 'を', '見て', 'いた']",['個所'],NO,個所,NO,NO
22,個所,を今日段階も推し進めているという実情があります。さらに、福島県のごときはずいぶん多くの個所から貨物が撤退をしていく。従来国鉄に輸送体制をお任せをしてきたという荷主,"['を', '今日', '段階', 'も', '推し進めて', 'いる', 'と', 'いう', '実情', 'が', 'あり', 'ます', '。', 'さらに', '、', '福島', '県', 'の', 'ごとき', 'は', 'ずいぶん', '多く', 'の', '個所', 'から', '貨物', 'が', '撤退', 'を', 'して', 'いく', '。', '従来', '国鉄', 'に', '輸送', '体制', 'を', 'お', '任せ', 'を', 'して', 'きた', 'と', 'いう', '荷主']",['個所'],NO,個所,NO,NO
23,個所,、恥知らず、不潔で臭い。驚嘆すべき不完全な生物。などと威勢よく書きまくった個所があった。その思想の原因は、父親にあるらしいことも判ってくる。父親,"['、', '恥知らず', '、', '不潔で', '臭い', '。', '驚嘆', 'す', 'べき', '不', '完全な', '生物', '。', 'など', 'と', '威勢', 'よく', '書き', 'まくった', '個所', 'が', 'あった', '。', 'その', '思想', 'の', '原因', 'は', '、', '父親', 'に', 'ある', 'らしい', 'こと', 'も', '判って', 'くる', '。', '父親']",['個所'],NO,個所,NO,NO
24,個所,チェックリストに沿って行われる．しかし，内部監査の進捗は事前には予測できない．ある個所では“引っ掛かって”予定よりも時間がかかるかもしれない．チェックリストは「覚え書き」であり,"['チェック', 'リスト', 'に', '沿って', '行わ', 'れる', '．', 'しかし', '，', '内部', '監査', 'の', '進捗', 'は', '事前', 'に', 'は', '予測', 'でき', 'ない', '．', 'ある', '個所', 'で', 'は', '“', '引っ掛かって', '”', '予定', 'より', 'も', '時間', 'が', 'かかる', 'かも', 'しれ', 'ない', '．', 'チェック', 'リスト', 'は', '「', '覚え書き', '」', 'であり']",['個所'],NO,個所,NO,NO
25,個所,」受付との対応１問題５次は受付担当者との会話です。双方の不適切な個所を訂正して下さい。＊事前の約束なしのケース〈田中〉営業部へ来ました×,"['」', '受付', 'と', 'の', '対応', '１', '問題', '５', '次', 'は', '受付', '担当', '者', 'と', 'の', '会話', 'です', '。', '双方', 'の', '不', '適切な', '個所', 'を', '訂正', 'して', '下さい', '。＊', '事前', 'の', '約束', 'なし', 'の', 'ケース', '〈', '田', '中', '〉', '営業', '部', 'へ', '来', 'ました', '×']",['個所'],NO,個所,NO,NO
