,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,同士,東京の世田谷で、蜜蜂を飼いつづける渡辺英男さん。蜜蜂は、もっとも信頼できる生きもの、私の同士、とよぶ渡辺さんに語っていただいたハチミツの物語。巣箱のなかを覗いてみると,"['東京', 'の', '世田谷', 'で', '、', '蜜蜂', 'を', '飼い', 'つづける', '渡辺', '英男', 'さん', '。', '蜜蜂', 'は', '、', 'もっとも', '信頼', 'できる', '生きもの', '、', '私', 'の', '同士', '、', 'と', 'よぶ', '渡辺', 'さん', 'に', '語っ', 'て', 'いただい', 'た', 'ハチミツ', 'の', '物語', '。', '巣箱', 'の', 'なか', 'を', '覗い', 'て', 'みる', 'と']",['同士'],NO,同士,NO,NO
1,同士,ですよね。聞こえはいいけど・・・（‐＿‐）国籍が違う同士が結婚すれば「国際結婚」です。たとえ在日でも。,"['です', 'よ', 'ね', '。', '聞こえ', 'は', 'いい', 'けど', '・', '・', '・', '（', '‐', '＿', '‐', '）', '国籍', 'が', '違う', '同士', 'が', '結婚', 'すれ', 'ば', '「', '国際', '結婚', '」', 'です', '。', 'たとえ', '在日', 'で', 'も', '。']",['同士'],NO,同士,NO,NO
2,同士,…↓じゃじゃ〜ん！真ん中にテーブルが付いている、ボックス席だったんです…。見知らぬ同士が向かい合って座る…という…。そしてこちらは普通の座席。やっぱりこっちのほう,"['…', '↓', 'じゃ', 'じゃ', '〜', 'ん', '！', '真ん中', 'に', 'テーブル', 'が', '付い', 'て', 'いる', '、', 'ボックス', '席', 'だっ', 'た', 'ん', 'です', '…', '。', '見知らぬ', '同士', 'が', '向かい合っ', 'て', '座る', '…', 'という', '…', '。', 'そして', 'こちら', 'は', '普通', 'の', '座席', '。', 'やっぱり', 'こっち', 'の', 'ほう']",['同士'],NO,同士,NO,NO
3,同士,似たのも同士は惹かれ合うなどと言いますが、逆に似たのも同士だからこそ,"['似', 'た', 'の', 'も', '同士', 'は', '惹か', 'れ', '合う', 'など', 'と', '言い', 'ます', 'が', '、', '逆', 'に', '似', 'た', 'の', 'も', '同士', 'だ', 'から', 'こそ']",['同士'],NO,同士,NO,NO
4,同士,似たのも同士は惹かれ合うなどと言いますが、逆に似たのも同士だからこそ,"['似', 'た', 'の', 'も', '同士', 'は', '惹か', 'れ', '合う', 'など', 'と', '言い', 'ます', 'が', '、', '逆', 'に', '似', 'た', 'の', 'も', '同士', 'だ', 'から', 'こそ']",['同士'],NO,同士,NO,NO
5,同士,「子どもは大丈夫…。あなた自身を持ちなさい！」子育てって大変ですよね。子育ての同士として、子育てのエキスパートとして共にがんばっていきましょう。十二月１日（月）から１月三十日,"['「', '子ども', 'は', '大丈夫', '…', '。', 'あなた', '自身', 'を', '持ち', 'なさい', '！', '」', '子育て', 'って', '大変', 'です', 'よ', 'ね', '。', '子育て', 'の', '同士', 'として', '、', '子育て', 'の', 'エキスパート', 'として', '共に', 'がんばっ', 'て', 'いき', 'ましょ', 'う', '。', '十二月', '１', '日', '（', '月', '）', 'から', '１月', '三', '十', '日']",['同士'],NO,同士,NO,NO
6,同士,神宮球場に行くのですが、、、冒険王の会場でも、阪神のマフラータオルを持った同士が２組ほど。ウヒヒ♪,"['神宮球場', 'に', '行く', 'の', 'です', 'が', '、', '、', '、', '冒険', '王', 'の', '会場', 'で', 'も', '、', '阪神', 'の', 'マフラー', 'タオル', 'を', '持っ', 'た', '同士', 'が', '２', '組', 'ほど', '。', 'ウヒヒ', '♪']",['同士'],NO,同士,NO,NO
7,同士,方だったりると二度おいしいんですけど小説のほうがエロシーンが濃い（こら誰かー、同士求む！！！,"['方', 'だっ', 'たりる', 'と', '二', '度', 'おいしい', 'ん', 'です', 'けど', '小説', 'の', 'ほう', 'が', 'エロ', 'シーン', 'が', '濃い', '（', 'こら', '誰', 'か', 'ー', '、', '同士', '求む', '！', '！', '！']",['同士'],NO,同士,NO,NO
8,同士,犯人確認して対処してくれるそうで落ち着きました＾ｏ＾他にも出品妨害されてお困りの同士いますか？？「どうし」の字が間違ってますよ。それを言う,"['犯人', '確認', 'し', 'て', '対処', 'し', 'て', 'くれる', 'そう', 'で', '落ち着き', 'まし', 'た', '＾', 'ｏ', '＾', '他', 'に', 'も', '出品', '妨害', 'さ', 'れ', 'て', 'お', '困り', 'の', '同士', 'い', 'ます', 'か', '？', '？', '「', 'どう', 'し', '」', 'の', '字', 'が', '間違っ', 'て', 'ます', 'よ', '。', 'それ', 'を', '言う']",['同士'],NO,同士,NO,NO
9,同士,知らせない、調べないことが決まりだから、と物語りした。「結婚できん同士が生んだ子らしかって、塩見町の産婆さん、覚えてるやろ、あのカネさんがそう言いよっ,"['知らせ', 'ない', '、', '調べ', 'ない', 'こと', 'が', '決まり', 'だ', 'から', '、', 'と', '物語り', 'し', 'た', '。', '「', '結婚', 'で', 'きん', '同士', 'が', '生ん', 'だ', '子', 'らしかっ', 'て', '、', '塩見', '町', 'の', '産婆', 'さん', '、', '覚え', 'てる', 'やろ', '、', 'あの', 'カネ', 'さん', 'が', 'そう', '言い', 'よっ']",['同士'],NO,同士,NO,NO
10,同士,入れてもらえないもどかしさといったら！『となりの芝生はなぜ青い？』見知らぬ同士が古い同世代話で盛り上がって意気投合、という局面で、「これ以上深入りして引かれる」の,"['入れ', 'て', 'もらえ', 'ない', 'もどかし', 'さ', 'と', 'いっ', 'たら', '！', '『', 'となり', 'の', '芝生', 'は', 'なぜ', '青い', '？', '』', '見知らぬ', '同士', 'が', '古い', '同', '世代', '話', 'で', '盛り上がっ', 'て', '意気投合', '、', 'という', '局面', 'で', '、', '「', 'これ', '以上', '深入り', 'し', 'て', '引か', 'れる', '」', 'の']",['同士'],NO,同士,NO,NO
