,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,善良,か」「そうだ。元帥ゲーリングだ。だが彼はその朝は軍人としてではなく、善良な美の愛好者としてイサベルの邸に立ちよったつもりらしかった。お茶を一杯ごちそうに,"['か', '」', '「', 'そう', 'だ', '。', '元帥', 'ゲーリング', 'だ', '。', 'だ', 'が', '彼', 'は', 'その', '朝', 'は', '軍人', 'として', 'で', 'は', 'なく', '、', '善良', 'な', '美', 'の', '愛好', '者', 'として', 'イサベル', 'の', '邸', 'に', '立ち', 'よっ', 'た', 'つもり', 'らしかっ', 'た', '。', 'お茶', 'を', '一杯', 'ごちそう', 'に']",['善良'],NO,善良,NO,NO
1,善良,電事連は幾らでも出して六ケ所を征伐しようと思っているんだ。この不法なたくらみに対する善良な、いたいけな力のない漁民の正義の闘いだと私はこれを見るのです,"['電事連', 'は', '幾ら', 'で', 'も', '出し', 'て', '六', 'ケ所', 'を', '征伐', 'しよ', 'う', 'と', '思っ', 'て', 'いる', 'ん', 'だ', '。', 'この', '不法', 'な', 'たくらみ', 'に対する', '善良', 'な', '、', 'いたいけ', 'な', '力', 'の', 'ない', '漁民', 'の', '正義', 'の', '闘い', 'だ', 'と', '私', 'は', 'これ', 'を', '見る', 'の', 'です']",['善良'],NO,善良,NO,NO
2,善良,かを見るために、工場を抜き打ち査察したりしたといったものが多い。部下思いの、善良かつ優秀な連隊長殿が、そのままの感覚と視野のままに、陸軍大臣になり、,"['か', 'を', '見る', 'ため', 'に', '、', '工場', 'を', '抜き打ち', '査察', 'し', 'たり', 'し', 'た', 'といった', 'もの', 'が', '多い', '。', '部下', '思い', 'の', '、', '善良', 'かつ', '優秀', 'な', '連隊', '長殿', 'が', '、', 'そのまま', 'の', '感覚', 'と', '視野', 'の', 'まま', 'に', '、', '陸軍', '大臣', 'に', 'なり', '、']",['善良'],NO,善良,NO,NO
3,善良,ている夫が増えていることは事実です。しかしこの種の夫たちは、いずれも善良でそれなりの企業に勤め、立場も面子もある、という前提があることを忘れ,"['て', 'いる', '夫', 'が', '増え', 'て', 'いる', 'こと', 'は', '事実', 'です', '。', 'しかし', 'この', '種', 'の', '夫', 'たち', 'は', '、', 'いずれ', 'も', '善良', 'で', 'それなり', 'の', '企業', 'に', '勤め', '、', '立場', 'も', '面子', 'も', 'ある', '、', 'という', '前提', 'が', 'ある', 'こと', 'を', '忘れ']",['善良'],NO,善良,NO,NO
4,善良,、徽宗皇帝に自分たちの意見を押しつけた。徽宗は芸術家としては天才で、為人も善良であったが、皇帝としては不定見であった。蔡京たちの意見に、深く考えもせ,"['、', '徽宗', '皇帝', 'に', '自分', 'たち', 'の', '意見', 'を', '押しつけ', 'た', '。', '徽宗', 'は', '芸術', '家', 'として', 'は', '天才', 'で', '、', '為', '人', 'も', '善良', 'で', 'あっ', 'た', 'が', '、', '皇帝', 'として', 'は', '不', '定見', 'で', 'あっ', 'た', '。', '蔡京', 'たち', 'の', '意見', 'に', '、', '深く', '考え', 'も', 'せ']",['善良'],NO,善良,NO,NO
5,善良,が、イタリア人についての僕の考えをすっかりかえてしまうような―形式が立派で、善良な―第一級の音楽なのだ。,"['が', '、', 'イタリア', '人', 'について', 'の', '僕', 'の', '考え', 'を', 'すっかり', 'かえ', 'て', 'しまう', 'よう', 'な', '―', '形式', 'が', '立派', 'で', '、', '善良', 'な', '―', '第', '一', '級', 'の', '音楽', 'な', 'の', 'だ', '。']",['善良'],NO,善良,NO,NO
6,善良,６回にわたり仮出金名義のもとに，会社名義の小切手を振出していた場合，監査役として常に善良なる管理者の注意をもって会社の会計などに関する帳簿書類などを検査していたならば，その,"['６', '回', 'にわたり', '仮', '出金', '名義', 'の', 'もと', 'に', '，', '会社', '名義', 'の', '小切手', 'を', '振出し', 'て', 'い', 'た', '場合', '，', '監査', '役', 'として', '常に', '善良', 'なる', '管理', '者', 'の', '注意', 'を', 'もっ', 'て', '会社', 'の', '会計', 'など', 'に関する', '帳簿', '書類', 'など', 'を', '検査', 'し', 'て', 'い', 'た', 'なら', 'ば', '，', 'その']",['善良'],NO,善良,NO,NO
7,善良,この娘と行きずりに知り合うマストロヤンニの青年もまた、この街に赴任して間もない善良で平凡な独身の勤め人の代名詞にすぎない。勤め人としてのかれの生活が具体的に示さ,"['この', '娘', 'と', '行きずり', 'に', '知り合う', 'マストロヤンニ', 'の', '青年', 'も', 'また', '、', 'この', '街', 'に', '赴任', 'し', 'て', '間', 'も', 'ない', '善良', 'で', '平凡', 'な', '独身', 'の', '勤め人', 'の', '代名詞', 'に', 'すぎ', 'ない', '。', '勤め人', 'として', 'の', 'かれ', 'の', '生活', 'が', '具体', '的', 'に', '示さ']",['善良'],NO,善良,NO,NO
8,善良,公安及び善良な風俗」を害する表現では、放送法三条の二第一項の「公安及び善良な風俗を害しないこと」（一号）はどうであろうか。このうち「公安,"['公安', '及び', '善良', 'な', '風俗', '」', 'を', '害する', '表現', 'で', 'は', '、', '放送', '法', '三', '条', 'の', '二', '第', '一', '項', 'の', '「', '公安', '及び', '善良', 'な', '風俗', 'を', '害し', 'ない', 'こと', '」', '（', '一', '号', '）', 'は', 'どう', 'で', 'あろ', 'う', 'か', '。', 'この', 'うち', '「', '公安']",['善良'],NO,善良,NO,NO
9,善良,公安及び善良な風俗」を害する表現では、放送法三条の二第一項の「公安及び善良な風俗を害しないこと」（一号）はどうであろうか。このうち「公安,"['公安', '及び', '善良', 'な', '風俗', '」', 'を', '害する', '表現', 'で', 'は', '、', '放送', '法', '三', '条', 'の', '二', '第', '一', '項', 'の', '「', '公安', '及び', '善良', 'な', '風俗', 'を', '害し', 'ない', 'こと', '」', '（', '一', '号', '）', 'は', 'どう', 'で', 'あろ', 'う', 'か', '。', 'この', 'うち', '「', '公安']",['善良'],NO,善良,NO,NO
10,善良,』。よし、これでいい。この問題が片付いたお陰で、僕はようやく善良で辛抱強い―ここまで読んでくれてるのはきっとそういう人たちだけだろう―読者の,"['』', '。', 'よし', '、', 'これ', 'で', 'いい', '。', 'この', '問題', 'が', '片付い', 'た', 'お陰', 'で', '、', '僕', 'は', 'ようやく', '善良', 'で', '辛抱強い', '―', 'ここ', 'まで', '読ん', 'で', 'くれ', 'てる', 'の', 'は', 'きっと', 'そういう', '人', 'たち', 'だけ', 'だろ', 'う', '―', '読者', 'の']",['善良'],NO,善良,NO,NO
11,善良,と剣の流血ざたです。これらの闘争に疲れた市民たちの間では、強く善良な独裁者の出現を待ち焦がれる気風が強くなっていました。これがシニョリーア制、つまり,"['と', '剣', 'の', '流血', 'ざた', 'です', '。', 'これら', 'の', '闘争', 'に', '疲れ', 'た', '市民', 'たち', 'の', '間', 'で', 'は', '、', '強く', '善良', 'な', '独裁', '者', 'の', '出現', 'を', '待ち焦がれる', '気風', 'が', '強く', 'なっ', 'て', 'い', 'まし', 'た', '。', 'これ', 'が', 'シニョリーア', '制', '、', 'つまり']",['善良'],NO,善良,NO,NO
12,善良,その喜びを深く感じたのは、ロケと呼ばれ、すでに年老い、かつ非常に善良なキリシタンであった。彼はかつては仏僧で、清水と称せられる一寺院の長を,"['その', '喜び', 'を', '深く', '感じ', 'た', 'の', 'は', '、', 'ロケ', 'と', '呼ば', 'れ', '、', 'すでに', '年老い', '、', 'かつ', '非常', 'に', '善良', 'な', 'キリシタン', 'で', 'あっ', 'た', '。', '彼', 'は', 'かつて', 'は', '仏', '僧', 'で', '、', '清水', 'と', '称せ', 'られる', '一', '寺院', 'の', '長', 'を']",['善良'],NO,善良,NO,NO
13,善良,ぞ。まさしくその晩、ダーク・スーツを着てブリーフケースをさげてはいるが、いたって善良そうな顔つきの日本人ふたりが、ポンティタナに到着した。すでに八時をすぎ、まだあい,"['ぞ', '。', 'まさしく', 'その', '晩', '、', 'ダーク', '・', 'スーツ', 'を', '着', 'て', 'ブリーフ', 'ケース', 'を', 'さげ', 'て', 'は', 'いる', 'が', '、', 'いたっ', 'て', '善良', 'そう', 'な', '顔つき', 'の', '日本人', 'ふたり', 'が', '、', 'ポンティタナ', 'に', '到着', 'し', 'た', '。', 'すでに', '八', '時', 'を', 'すぎ', '、', 'まだ', 'あい']",['善良'],NO,善良,NO,NO
14,善良,責任を負うので、身元保証人に酷な結果が生ずることが多い。雇用の当時は善良な被用者だと思って簡単に身元保証をしたところが、被用者が数億円の使い込み,"['責任', 'を', '負う', 'ので', '、', '身元', '保証', '人', 'に', '酷', 'な', '結果', 'が', '生ずる', 'こと', 'が', '多い', '。', '雇用', 'の', '当時', 'は', '善良', 'な', '被用者', 'だ', 'と', '思っ', 'て', '簡単', 'に', '身元', '保証', 'を', 'し', 'た', 'ところが', '、', '被用者', 'が', '数', '億', '円', 'の', '使い込み']",['善良'],NO,善良,NO,NO
15,善良,閲覧した者は、閲覧により知り得た事項をみだりに用いて、公の秩序若しくは善良の風俗を害し、犯人の改善及び更生を妨げ、又は関係人の名誉若しくは生活の,"['閲覧', 'し', 'た', '者', 'は', '、', '閲覧', 'により', '知り', '得', 'た', '事項', 'を', 'みだりに', '用い', 'て', '、', '公', 'の', '秩序', '若しくは', '善良', 'の', '風俗', 'を', '害し', '、', '犯人', 'の', '改善', '及び', '更生', 'を', '妨げ', '、', '又は', '関係', '人', 'の', '名誉', '若しくは', '生活', 'の']",['善良'],NO,善良,NO,NO
