,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無気力,の下にゴミ袋を置いていった。朝が始まる。中途半端な寝不足で迎える、無気力な朝。空は白っぽくなっていき、気温がむくむくと上がって、昼になったら,"['の', '下', 'に', 'ゴミ', '袋', 'を', '置いて', 'いった', '。', '朝', 'が', '始まる', '。', '中途半端な', '寝不足で', '迎える', '、', '無気力な', '朝', '。', '空', 'は', '白', 'っぽく', 'なって', 'いき', '、', '気温', 'が', 'むくむく', 'と', '上がって', '、', '昼', 'に', 'なったら']",['無気力な'],NO,無気力,NO,YES
1,無気力,は、明日から出直しをはかることになる。そういった試合では、ときに、無気力や手抜きとおぼしきプレイが見られるが、これは無気力でも、手抜きでも,"['は', '、', '明日', 'から', '出直し', 'を', 'はかる', 'こと', 'に', 'なる', '。', 'そういった', '試合', 'で', 'は', '、', 'ときに', '、', '無気力', 'や', '手抜き', 'と', 'お', 'ぼ', 'しき', 'プレイ', 'が', '見', 'られる', 'が', '、', 'これ', 'は', '無気力で', 'も', '、', '手抜き', 'でも']",['無気力'],NO,無気力,NO,NO
2,無気力,は、明日から出直しをはかることになる。そういった試合では、ときに、無気力や手抜きとおぼしきプレイが見られるが、これは無気力でも、手抜きでも,"['は', '、', '明日', 'から', '出直し', 'を', 'はかる', 'こと', 'に', 'なる', '。', 'そういった', '試合', 'で', 'は', '、', 'ときに', '、', '無気力', 'や', '手抜き', 'と', 'お', 'ぼ', 'しき', 'プレイ', 'が', '見', 'られる', 'が', '、', 'これ', 'は', '無気力で', 'も', '、', '手抜き', 'でも']",['無気力で'],NO,無気力,NO,YES
3,無気力,無気力になった子ども１その子は両親にはさまれて私の前に座ってい,"['無気力に', 'なった', '子ども', '１', 'その', '子', 'は', '両親', 'に', 'はさま', 'れて', '私', 'の', '前', 'に', '座って', 'い']",['無気力に'],NO,無気力,NO,YES
4,無気力,モラトリアムというか知りませんけど、いま私が言ったような人の場合、無気力ということではないんですね、全然。それから、大らかなオプティミズムがあるんですね。別に深刻,"['モラトリアム', 'と', 'いう', 'か', '知り', 'ませ', 'ん', 'けど', '、', 'いま', '私', 'が', '言った', 'ような', '人', 'の', '場合', '、', '無気力', 'と', 'いう', 'こと', 'で', 'は', 'ない', 'んです', 'ね', '、', '全然', '。', 'それ', 'から', '、', '大らかな', 'オプティミズム', 'が', 'ある', 'んです', 'ね', '。', '別に', '深刻']",['無気力'],NO,無気力,NO,NO
5,無気力,起こしてこなかった無能な年長者なんか相手にすんの？（−＿−；）」嫌でも「無気力」「無関心」「無責任」「無慈悲」な相手とも交渉しなくてはいけないのだ。現時点で彼等,"['起こして', 'こ', 'なかった', '無能な', '年長', '者', 'なんか', '相手', 'に', 'す', 'ん', 'の', '？', '（', '−', '＿', '−', '；', '）', '」', '嫌で', 'も', '「', '無気力', '」', '「', '無関心', '」', '「', '無責任', '」', '「', '無慈悲', '」', 'な', '相手', 'と', 'も', '交渉', 'し', 'なくて', 'は', 'いけない', 'のだ', '。', '現', '時点', 'で', '彼', '等']",['無気力'],NO,無気力,NO,NO
6,無気力,も保釈を切望しながらも、一年が経過するうちに、彼女は心のどこかで無気力になりかけていた。それだけに、嬉しさ以前にマリーには、弁護士の言葉が信じ,"['も', '保釈', 'を', '切望', 'し', 'ながら', 'も', '、', '一', '年', 'が', '経過', 'する', 'うち', 'に', '、', '彼女', 'は', '心', 'の', 'どこ', 'か', 'で', '無気力に', 'なり', 'かけて', 'いた', '。', 'それだけに', '、', '嬉し', 'さ', '以前', 'に', 'マリー', 'に', 'は', '、', '弁護', '士', 'の', '言葉', 'が', '信じ']",['無気力に'],NO,無気力,NO,YES
7,無気力,ばかりだ。だから江戸末期戯作は、なかんずく幕末滑稽本は、退嬰的であり、末梢的であり、低俗であり、無気力であり―要するにだめなのだというのが、ありていにいって、これまでの通り,"['ばかりだ', '。', 'だから', '江戸', '末期', '戯作', 'は', '、', 'な', 'かん', 'ずく', '幕末', '滑稽', '本', 'は', '、', '退', '嬰的', 'であり', '、', '末梢', '的であり', '、', '低俗であり', '、', '無気力であり', '―', '要するに', 'だめな', 'のだ', 'と', 'いう', 'の', 'が', '、', 'あり', 'てい', 'に', 'いって', '、', 'これ', 'まで', 'の', '通り']",['無気力であり'],NO,無気力,NO,YES
8,無気力,荷物を下ろすと、何もしようとする気配がなかった。トムが、彼らの無気力な行動ぶりにはっぱをかけたときでも、まるっきり糠に釘で、われわれの寝床用,"['荷物', 'を', '下ろす', 'と', '、', '何も', 'しよう', 'と', 'する', '気配', 'が', 'なかった', '。', 'トム', 'が', '、', '彼', 'ら', 'の', '無気力な', '行動', 'ぶり', 'に', 'はっぱ', 'を', 'かけた', 'とき', 'でも', '、', 'まるっきり', '糠', 'に', '釘', 'で', '、', 'われわれ', 'の', '寝床', '用']",['無気力な'],NO,無気力,NO,YES
9,無気力,風流なという風流を志しては、逃避と頽廃の独りよがりになってしまう。消極、無気力、似て非なる高尚におちいって、それが人生に何等のプラスも無いもの,"['風流な', 'と', 'いう', '風流', 'を', '志して', 'は', '、', '逃避', 'と', '頽廃', 'の', '独りよがりに', 'なって', 'しまう', '。', '消極', '、', '無気力', '、', '似て', '非', 'なる', '高尚に', 'おちいって', '、', 'それ', 'が', '人生', 'に', '何', '等', 'の', 'プラス', 'も', '無い', 'もの']",['無気力'],NO,無気力,NO,NO
10,無気力,好みが結局はブルジョワ的だからである。大演出家たちが演出し、しばしば称讃すべき俳優たちが演ずる、無気力にしてきらびやかな喜劇やうわべだけエロティックな芝居からなるブルジョワ演劇、テクニックの完璧と,"['好み', 'が', '結局', 'は', 'ブルジョワ', '的だ', 'から', 'である', '。', '大', '演出', '家', 'たち', 'が', '演出', 'し', '、', 'しばしば', '称', '讃', 'す', 'べき', '俳優', 'たち', 'が', '演ずる', '、', '無気力に', 'して', 'きらびやかな', '喜劇', 'や', 'うわべ', 'だけ', 'エロティック', 'な', '芝居', 'から', 'なる', 'ブルジョワ', '演劇', '、', 'テクニック', 'の', '完璧', 'と']",['無気力に'],NO,無気力,NO,YES
11,無気力,ものになるか、あるいは怪奇でグロテスクなものに成り果てたのである。かくて、アジアは無気力な長い夜に覆われたこの支配をひっくりかえそうという反乱も企てられなかったわけ,"['もの', 'に', 'なる', 'か', '、', 'あるいは', '怪奇で', 'グロテスクな', 'もの', 'に', '成り', '果てた', 'のである', '。', 'かくて', '、', 'アジア', 'は', '無気力な', '長い', '夜', 'に', '覆わ', 'れた', 'この', '支配', 'を', 'ひっくりかえそう', 'と', 'いう', '反乱', 'も', '企て', 'られ', 'なかった', 'わけ']",['無気力な'],NO,無気力,NO,YES
12,無気力,の精油を落として、温めます。女性特有の、生理や更年期に起こるイライラや無気力、パニックなどを改善したいときにも利用できる香りです。ｒｅｃｉｐｅ３オイルでマッサージ精神,"['の', '精油', 'を', '落として', '、', '温め', 'ます', '。', '女性', '特有', 'の', '、', '生理', 'や', '更年期', 'に', '起こる', 'イライラ', 'や', '無気力', '、', 'パニック', 'など', 'を', '改善', 'し', 'たい', 'とき', 'に', 'も', '利用', 'できる', '香り', 'です', '。', 'ｒｅｃｉｐｅ', '３', 'オイル', 'で', 'マッサージ', '精神']",['無気力'],NO,無気力,NO,NO
13,無気力,ように自由に生きたかった。インディアンとその混血児たちは、白人の圧迫をうけて無気力になっているが、かれらをふるいたたせるためにも、地球上を思いのまま駈けめぐってみたかっ,"['ように', '自由に', '生き', 'たかった', '。', 'インディアン', 'と', 'その', '混血', '児', 'たち', 'は', '、', '白人', 'の', '圧迫', 'を', 'うけて', '無気力に', 'なって', 'いる', 'が', '、', 'かれ', 'ら', 'を', 'ふるいたた', 'せる', 'ため', 'に', 'も', '、', '地球', '上', 'を', '思い', 'の', 'まま', '駈け', 'めぐって', 'みた', 'かっ']",['無気力に'],NO,無気力,NO,YES
14,無気力,がなんらかの活力を維持しているとすれば、おそらく、新たな不幸のみが、彼らを無気力から引きだしうる唯一の手段であるだろう。これらの倦怠に取り付かれた人々は、結局すべて,"['が', 'なんらか', 'の', '活力', 'を', '維持', 'して', 'いる', 'と', 'すれば', '、', 'おそらく', '、', '新たな', '不幸', 'のみ', 'が', '、', '彼', 'ら', 'を', '無気力', 'から', '引きだし', 'うる', '唯一', 'の', '手段', 'である', 'だろう', '。', 'これ', 'ら', 'の', '倦怠', 'に', '取り付か', 'れた', '人々', 'は', '、', '結局', 'すべて']",['無気力'],NO,無気力,NO,NO
15,無気力,論じる上で直接の関連をもたないからだ。千九百六十年代から話題になり始めた大学生の無気力や留年、神経症（スチューデント・アパシーなど）も同様である。逆に、千九百六十年代には周辺的議論であっ,"['論じる', '上', 'で', '直接の', '関連', 'を', 'もた', 'ない', 'から', 'だ', '。', '千九百六十', '年', '代', 'から', '話題', 'に', 'なり', '始めた', '大学生', 'の', '無気力', 'や', '留年', '、', '神経', '症', '（', 'スチューデント', '・', 'アパシー', 'など', '）', 'も', '同様である', '。', '逆に', '、', '千九百六十', '年', '代', 'に', 'は', '周辺', '的', '議論', 'で', 'あっ']",['無気力'],NO,無気力,NO,NO
16,無気力,という理想は挫折し、さりとて現実を変革する展望もない「出口なしの時代」。政治的無関心と無気力が蔓延する千八百八十年代から彼らが最初につかみ取った理念は、政治的無関心をさらに徹底させて、,"['と', 'いう', '理想', 'は', '挫折', 'し', '、', 'さりとて', '現実', 'を', '変革', 'する', '展望', 'も', 'ない', '「', '出', '口なし', 'の', '時代', '」', '。', '政治', '的', '無関心', 'と', '無気力', 'が', '蔓延', 'する', '千八百八十', '年', '代', 'から', '彼', 'ら', 'が', '最初に', 'つかみ取った', '理念', 'は', '、', '政治', '的', '無関心', 'を', 'さらに', '徹底', 'さ', 'せて', '、']",['無気力'],NO,無気力,NO,NO
17,無気力,主人公「風の学校ドッキリ日記」に見るユニークな授業風景❖動物飼育を通じて共感し合う目標を喪失し、無気力だといわれる現代の子どもたち。友だちとの人間関係がわずらわしく、自室で孤独な時,"['主人公', '「', '風', 'の', '学校', 'ドッキリ', '日記', '」', 'に', '見る', 'ユニークな', '授業', '風景', '❖', '動物', '飼育', 'を', '通じて', '共感', 'し', '合う', '目標', 'を', '喪失', 'し', '、', '無気力だ', 'と', 'いわ', 'れる', '現代', 'の', '子ども', 'たち', '。', '友だち', 'と', 'の', '人間', '関係', 'が', 'わずらわしく', '、', '自室', 'で', '孤独な', '時']",['無気力だ'],NO,無気力,NO,YES
18,無気力,ことになるだろう。金縛りからの脱出に成功したのと同様に、最初はゆっくりと忍耐強く無気力からの脱出を図るのだ。無気力というのは努力をする気力もない、という,"['ことに', 'なる', 'だろう', '。', '金縛り', 'から', 'の', '脱出', 'に', '成功', 'した', 'の', 'と', '同様に', '、', '最初', 'は', 'ゆっくり', 'と', '忍耐強く', '無気力', 'から', 'の', '脱出', 'を', '図る', 'のだ', '。', '無気力', 'と', 'いう', 'の', 'は', '努力', 'を', 'する', '気力', 'も', 'ない', '、', 'と', 'いう']",['無気力'],NO,無気力,NO,NO
19,無気力,ことになるだろう。金縛りからの脱出に成功したのと同様に、最初はゆっくりと忍耐強く無気力からの脱出を図るのだ。無気力というのは努力をする気力もない、という,"['ことに', 'なる', 'だろう', '。', '金縛り', 'から', 'の', '脱出', 'に', '成功', 'した', 'の', 'と', '同様に', '、', '最初', 'は', 'ゆっくり', 'と', '忍耐強く', '無気力', 'から', 'の', '脱出', 'を', '図る', 'のだ', '。', '無気力', 'と', 'いう', 'の', 'は', '努力', 'を', 'する', '気力', 'も', 'ない', '、', 'と', 'いう']",['無気力'],NO,無気力,NO,NO
20,無気力,。このごろわけもなく涙が出たり、食欲もなく、夜もあまり眠れません。無気力で自分はこの先どうなってしまうんだろうと、よく考えます。あなたは、たぶん,"['。', 'このごろ', 'わけ', 'も', 'なく', '涙', 'が', '出たり', '、', '食欲', 'も', 'なく', '、', '夜', 'も', 'あまり', '眠れ', 'ませ', 'ん', '。', '無気力で', '自分', 'は', 'この', '先どう', 'な', 'って', 'しまう', 'んだろう', 'と', '、', 'よく', '考え', 'ます', '。', 'あなた', 'は', '、', 'たぶん']",['無気力で'],NO,無気力,NO,YES
21,無気力,、友達とうまく交われない等、いじめ問題を含む交友関係に関するものが最も多く、反抗的、無気力、内気、ひきこもり、家庭内暴力等の相談がある。また、思春期問題に関する相談も多くなってき,"['、', '友達', 'と', 'うまく', '交われ', 'ない', '等', '、', 'いじめ', '問題', 'を', '含む', '交友', '関係', 'に', '関する', 'もの', 'が', '最も', '多く', '、', '反抗', '的', '、', '無気力', '、', '内気', '、', 'ひきこもり', '、', '家庭', '内', '暴力', '等', 'の', '相談', 'が', 'ある', '。', 'また', '、', '思春期', '問題', 'に', '関する', '相談', 'も', '多く', 'なって', 'き']",['無気力'],NO,無気力,NO,NO
22,無気力,も言うことを聞かなかった。若者たちも、男も女も、全ローマ人がしらけた無気力のなかに沈んでいた。あとで書くが、長いあいだの奢りきった暮らしが、,"['も', '言う', 'こと', 'を', '聞か', 'なかった', '。', '若者', 'たち', 'も', '、', '男', 'も', '女', 'も', '、', '全', 'ローマ', '人', 'が', 'しらけた', '無気力', 'の', 'なか', 'に', '沈んで', 'いた', '。', 'あと', 'で', '書く', 'が', '、', '長い', 'あいだ', 'の', '奢り', 'きった', '暮らし', 'が', '、']",['無気力'],NO,無気力,NO,NO
