,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無気力,の下にゴミ袋を置いていった。朝が始まる。中途半端な寝不足で迎える、無気力な朝。空は白っぽくなっていき、気温がむくむくと上がって、昼になったら,"['の', '下', 'に', 'ゴミ', '袋', 'を', '置い', 'て', 'いっ', 'た', '。', '朝', 'が', '始まる', '。', '中途半端', 'な', '寝不足', 'で', '迎える', '、', '無気力', 'な', '朝', '。', '空', 'は', '白っぽく', 'なっ', 'て', 'いき', '、', '気温', 'が', 'むくむく', 'と', '上がっ', 'て', '、', '昼', 'に', 'なっ', 'たら']",['無気力'],NO,無気力,NO,NO
1,無気力,は、明日から出直しをはかることになる。そういった試合では、ときに、無気力や手抜きとおぼしきプレイが見られるが、これは無気力でも、手抜きでも,"['は', '、', '明日', 'から', '出直し', 'を', 'はかる', 'こと', 'に', 'なる', '。', 'そういった', '試合', 'で', 'は', '、', 'とき', 'に', '、', '無気力', 'や', '手抜き', 'と', 'おぼしき', 'プレイ', 'が', '見', 'られる', 'が', '、', 'これ', 'は', '無気力', 'でも', '、', '手抜き', 'で', 'も']",['無気力'],NO,無気力,NO,NO
2,無気力,は、明日から出直しをはかることになる。そういった試合では、ときに、無気力や手抜きとおぼしきプレイが見られるが、これは無気力でも、手抜きでも,"['は', '、', '明日', 'から', '出直し', 'を', 'はかる', 'こと', 'に', 'なる', '。', 'そういった', '試合', 'で', 'は', '、', 'とき', 'に', '、', '無気力', 'や', '手抜き', 'と', 'おぼしき', 'プレイ', 'が', '見', 'られる', 'が', '、', 'これ', 'は', '無気力', 'でも', '、', '手抜き', 'で', 'も']",['無気力'],NO,無気力,NO,NO
3,無気力,無気力になった子ども１その子は両親にはさまれて私の前に座ってい,"['無気力', 'に', 'なっ', 'た', '子ども', '１', 'その', '子', 'は', '両親', 'に', 'はさま', 'れ', 'て', '私', 'の', '前', 'に', '座っ', 'て', 'い']",['無気力'],NO,無気力,NO,NO
4,無気力,モラトリアムというか知りませんけど、いま私が言ったような人の場合、無気力ということではないんですね、全然。それから、大らかなオプティミズムがあるんですね。別に深刻,"['モラトリアム', 'と', 'いう', 'か', '知り', 'ませ', 'ん', 'けど', '、', 'いま', '私', 'が', '言っ', 'た', 'よう', 'な', '人', 'の', '場合', '、', '無気力', 'という', 'こと', 'で', 'は', 'ない', 'ん', 'です', 'ね', '、', '全然', '。', 'それから', '、', '大', 'ら', 'か', 'な', 'オプティミズム', 'が', 'ある', 'ん', 'です', 'ね', '。', '別に', '深刻']",['無気力'],NO,無気力,NO,NO
5,無気力,起こしてこなかった無能な年長者なんか相手にすんの？（−＿−；）」嫌でも「無気力」「無関心」「無責任」「無慈悲」な相手とも交渉しなくてはいけないのだ。現時点で彼等,"['起こし', 'て', 'こ', 'なかっ', 'た', '無能', 'な', '年長', '者', 'なんか', '相手', 'に', 'すん', 'の', '？', '（−＿−；）」', '嫌', 'でも', '「', '無気力', '」', '「', '無', '関心', '」', '「', '無責任', '」', '「', '無慈悲', '」', 'な', '相手', 'とも', '交渉', 'し', 'なく', 'て', 'は', 'いけ', 'ない', 'の', 'だ', '。', '現時点', 'で', '彼等']",['無気力'],NO,無気力,NO,NO
6,無気力,も保釈を切望しながらも、一年が経過するうちに、彼女は心のどこかで無気力になりかけていた。それだけに、嬉しさ以前にマリーには、弁護士の言葉が信じ,"['も', '保釈', 'を', '切望', 'し', 'ながら', 'も', '、', '一', '年', 'が', '経過', 'する', 'うち', 'に', '、', '彼女', 'は', '心', 'の', 'どこ', 'か', 'で', '無気力', 'に', 'なり', 'かけ', 'て', 'い', 'た', '。', 'それだけに', '、', '嬉し', 'さ', '以前', 'に', 'マリー', 'に', 'は', '、', '弁護士', 'の', '言葉', 'が', '信じ']",['無気力'],NO,無気力,NO,NO
7,無気力,ばかりだ。だから江戸末期戯作は、なかんずく幕末滑稽本は、退嬰的であり、末梢的であり、低俗であり、無気力であり―要するにだめなのだというのが、ありていにいって、これまでの通り,"['ばかり', 'だ', '。', 'だから', '江戸', '末期', '戯作', 'は', '、', 'なかんずく', '幕末', '滑稽本', 'は', '、', '退嬰', '的', 'で', 'あり', '、', '末梢', '的', 'で', 'あり', '、', '低俗', 'で', 'あり', '、', '無気力', 'で', 'あり', '―', '要するに', 'だめ', 'な', 'の', 'だ', 'という', 'の', 'が', '、', 'ありてい', 'に', 'いっ', 'て', '、', 'これ', 'まで', 'の', '通り']",['無気力'],NO,無気力,NO,NO
8,無気力,荷物を下ろすと、何もしようとする気配がなかった。トムが、彼らの無気力な行動ぶりにはっぱをかけたときでも、まるっきり糠に釘で、われわれの寝床用,"['荷物', 'を', '下ろす', 'と', '、', '何', 'も', 'しよ', 'う', 'と', 'する', '気配', 'が', 'なかっ', 'た', '。', 'トム', 'が', '、', '彼ら', 'の', '無気力', 'な', '行動', 'ぶり', 'に', 'はっ', 'ぱをかけたときでも', '、', 'まるっきり', '糠', 'に', '釘', 'で', '、', 'われわれ', 'の', '寝床', '用']",['無気力'],NO,無気力,NO,NO
9,無気力,風流なという風流を志しては、逃避と頽廃の独りよがりになってしまう。消極、無気力、似て非なる高尚におちいって、それが人生に何等のプラスも無いもの,"['風流', 'な', 'という', '風流', 'を', '志し', 'て', 'は', '、', '逃避', 'と', '頽廃', 'の', '独りよがり', 'に', 'なっ', 'て', 'しまう', '。', '消極', '、', '無気力', '、', '似', 'て', '非', 'なる', '高尚', 'に', 'おちいっ', 'て', '、', 'それ', 'が', '人生', 'に', '何等', 'の', 'プラス', 'も', '無い', 'もの']",['無気力'],NO,無気力,NO,NO
