,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,駐車場,は掴めた。ただ・・・園バスがないので、毎日送り迎えをしなくてはならない！（駐車場があるので、車でのお迎えもＯＫらしい）雨の日も風の日も,"['は', '掴め', 'た', '。', 'ただ', '・', '・', '・', '園', 'バス', 'が', 'ない', 'の', 'で', '、', '毎日', '送り迎え', 'を', 'し', 'なく', 'て', 'は', 'なら', 'ない', '！', '（', '駐車', '場', 'が', 'ある', 'の', 'で', '、', '車', 'で', 'の', 'お', '迎え', 'も', 'ＯＫ', 'らしい', '）', '雨', 'の', '日', 'も', '風', 'の', '日', 'も']","['駐車', '場']",YES,駐車場,NO,NO
1,駐車場,、専用庭に駐車可能なスペースを有する組合員は、２台目以上についてのみ使用資格を有する。２駐車場を使用できる自動車は、乗用車又は貨物兼乗用車とし、使用台数は一戸につき一台とする。,"['、', '専用', '庭', 'に', '駐車', '可能', 'な', 'スペース', 'を', '有する', '組合', '員', 'は', '、', '２', '台', '目', '以上', 'に', 'つい', 'て', 'のみ', '使用', '資格', 'を', '有する', '。', '２', '駐車', '場', 'を', '使用', 'できる', '自動', '車', 'は', '、', '乗用', '車', '又', 'は', '貨物', '兼', '乗用', '車', 'と', 'し', '、', '使用', '台数', 'は', '一', '戸', 'に', 'つき', '一', '台', 'と', 'する', '。']","['駐車', '場']",YES,駐車場,NO,NO
2,駐車場,を許可するというものではなく、基本的には車両は駐車場に駐車していただくべきだが、駐車場がない場合には許可証で規制を除外するというものであります。今回の駐車許可証の,"['を', '許可', 'する', 'と', 'いう', 'もの', 'で', 'は', 'なく', '、', '基本', '的', 'に', 'は', '車両', 'は', '駐車', '場', 'に', '駐車', 'し', 'て', 'いただく', 'べき', 'だ', 'が', '、', '駐車', '場', 'が', 'ない', '場合', 'に', 'は', '許可', '証', 'で', '規制', 'を', '除外', 'する', 'と', 'いう', 'もの', 'で', 'あり', 'ます', '。', '今回', 'の', '駐車', '許可', '証', 'の']","['駐車', '場']",YES,駐車場,NO,NO
3,駐車場,を許可するというものではなく、基本的には車両は駐車場に駐車していただくべきだが、駐車場がない場合には許可証で規制を除外するというものであります。今回の駐車許可証の,"['を', '許可', 'する', 'と', 'いう', 'もの', 'で', 'は', 'なく', '、', '基本', '的', 'に', 'は', '車両', 'は', '駐車', '場', 'に', '駐車', 'し', 'て', 'いただく', 'べき', 'だ', 'が', '、', '駐車', '場', 'が', 'ない', '場合', 'に', 'は', '許可', '証', 'で', '規制', 'を', '除外', 'する', 'と', 'いう', 'もの', 'で', 'あり', 'ます', '。', '今回', 'の', '駐車', '許可', '証', 'の']","['駐車', '場']",YES,駐車場,NO,NO
4,駐車場,ぶつかりあわせた視線を外さぬまま、多希はゆっくりと歩を進め、展望下の駐車場を出て行く。完全に背を向けてから、ようやく視線を外した。,"['ぶつかりあわ', 'せ', 'た', '視線', 'を', '外さ', 'ぬ', 'まま', '、', '多希', 'は', 'ゆっくり', 'と', '歩', 'を', '進め', '、', '展望', '下', 'の', '駐車', '場', 'を', '出', 'て', '行く', '。', '完全', 'に', '背', 'を', '向け', 'て', 'から', '、', 'ようやく', '視線', 'を', '外し', 'た', '。']","['駐車', '場']",YES,駐車場,NO,NO
5,駐車場,は大芝湖南東の駐車場からみんなの森へむかう部分です。セラピーロードのオープンに伴い、この駐車場に車を止めてウォーキングに向かう人も多くなりました。しかし、駐車場からみんな,"['は', '大芝', '湖', '南東', 'の', '駐車', '場', 'から', 'みんな', 'の', '森', 'へ', 'むかう', '部分', 'です', '。', 'セラピー', 'ロード', 'の', 'オープン', 'に', '伴い', '、', 'この', '駐車', '場', 'に', '車', 'を', '止め', 'て', 'ウォーキング', 'に', '向かう', '人', 'も', '多く', 'なり', 'まし', 'た', '。', 'しかし', '、', '駐車', '場', 'から', 'みんな']","['駐車', '場']",YES,駐車場,NO,NO
6,駐車場,は大芝湖南東の駐車場からみんなの森へむかう部分です。セラピーロードのオープンに伴い、この駐車場に車を止めてウォーキングに向かう人も多くなりました。しかし、駐車場からみんな,"['は', '大芝', '湖', '南東', 'の', '駐車', '場', 'から', 'みんな', 'の', '森', 'へ', 'むかう', '部分', 'です', '。', 'セラピー', 'ロード', 'の', 'オープン', 'に', '伴い', '、', 'この', '駐車', '場', 'に', '車', 'を', '止め', 'て', 'ウォーキング', 'に', '向かう', '人', 'も', '多く', 'なり', 'まし', 'た', '。', 'しかし', '、', '駐車', '場', 'から', 'みんな']","['駐車', '場']",YES,駐車場,NO,NO
7,駐車場,は大芝湖南東の駐車場からみんなの森へむかう部分です。セラピーロードのオープンに伴い、この駐車場に車を止めてウォーキングに向かう人も多くなりました。しかし、駐車場からみんな,"['は', '大芝', '湖', '南東', 'の', '駐車', '場', 'から', 'みんな', 'の', '森', 'へ', 'むかう', '部分', 'です', '。', 'セラピー', 'ロード', 'の', 'オープン', 'に', '伴い', '、', 'この', '駐車', '場', 'に', '車', 'を', '止め', 'て', 'ウォーキング', 'に', '向かう', '人', 'も', '多く', 'なり', 'まし', 'た', '。', 'しかし', '、', '駐車', '場', 'から', 'みんな']","['駐車', '場']",YES,駐車場,NO,NO
8,駐車場,のボタンを押しますと、途中階をパスしてしまいます。これに乗って地下二階の駐車場までパスすれば、だれにも知られず抜け出せます。従業員しか知らないことですが,"['の', 'ボタン', 'を', '押し', 'ます', 'と', '、', '途中', '階', 'を', 'パス', 'し', 'て', 'しまい', 'ます', '。', 'これ', 'に', '乗っ', 'て', '地下', '二', '階', 'の', '駐車', '場', 'まで', 'パス', 'すれ', 'ば', '、', 'だれ', 'に', 'も', '知ら', 'れ', 'ず', '抜け出せ', 'ます', '。', '従業', '員', 'しか', '知ら', 'ない', 'こと', 'です', 'が']","['駐車', '場']",YES,駐車場,NO,NO
9,駐車場,Ｊ２甲府のホームスタジアムである小瀬スポーツ公園は駐車場がありますか？甲府戦を観戦したいのですが試合日でも簡単に止めれますか？,"['Ｊ', '２', '甲', '府', 'の', 'ホーム', 'スタジアム', 'で', 'ある', '小瀬', 'スポーツ', '公園', 'は', '駐車', '場', 'が', 'あり', 'ます', 'か', '？', '甲府', '戦', 'を', '観戦', 'し', 'たい', 'の', 'です', 'が', '試合', '日', 'で', 'も', '簡単', 'に', '止めれ', 'ます', 'か', '？']","['駐車', '場']",YES,駐車場,NO,NO
