,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,姉妹,使用人を使う呉服問屋であった。大阪の空襲で、一瞬のうちに店、両親、姉妹を失った。明美は、友達の誕生パーティーに呼ばれ、一人だけが助かった。,"['使用', '人', 'を', '使う', '呉服', '問屋', 'で', 'あっ', 'た', '。', '大阪', 'の', '空襲', 'で', '、', '一瞬', 'の', 'うち', 'に', '店', '、', '両親', '、', '姉妹', 'を', '失っ', 'た', '。', '明美', 'は', '、', '友達', 'の', '誕生', 'パーティー', 'に', '呼ば', 'れ', '、', '一人', 'だけ', 'が', '助かっ', 'た', '。']",['姉妹'],NO,姉妹,NO,NO
1,姉妹,を備えている男であったなら、とやこう言う筋合いはなかったところである。姉妹は、早晩別れなければならない定めになっていた。武石静也との往来はつづいていた,"['を', '備え', 'て', 'いる', '男', 'で', 'あっ', 'た', 'なら', '、', 'と', 'や', 'こう', '言う', '筋合い', 'は', 'なかっ', 'た', 'ところ', 'で', 'ある', '。', '姉妹', 'は', '、', '早晩', '別れ', 'なけれ', 'ば', 'なら', 'ない', '定め', 'に', 'なっ', 'て', 'い', 'た', '。', '武石', '静也', 'と', 'の', '往来', 'は', 'つづい', 'て', 'い', 'た']",['姉妹'],NO,姉妹,NO,NO
2,姉妹,周氏が屯田でそこに家を構えたと記されている。両碑文とも作文者は施主の姉妹の夫である大理出身の趙璧烜で、碑文や『滇志』（千六百二十五年編纂）巻八にも,"['周', '氏', 'が', '屯田', 'で', 'そこ', 'に', '家', 'を', '構え', 'た', 'と', '記さ', 'れ', 'て', 'いる', '。', '両', '碑文', 'とも', '作文', '者', 'は', '施主', 'の', '姉妹', 'の', '夫', 'で', 'ある', '大理', '出身', 'の', '趙', '璧烜', 'で', '、', '碑文', 'や', '『', '滇', '志', '』', '（', '千', '六百', '二十', '五', '年', '編纂', '）', '巻', '八', 'に', 'も']",['姉妹'],NO,姉妹,NO,NO
3,姉妹,くればもはやしめたものである。谷崎のその後の大作『細雪』なども、きっと美人の姉妹がいて、それを個人的に知っているということだけで書き出したものであろう。そして,"['くれ', 'ば', 'もはや', 'しめ', 'た', 'もの', 'で', 'ある', '。', '谷崎', 'の', 'その', '後', 'の', '大作', '『', '細雪', '』', 'など', 'も', '、', 'きっと', '美人', 'の', '姉妹', 'が', 'い', 'て', '、', 'それ', 'を', '個人', '的', 'に', '知っ', 'て', 'いる', 'と', 'いう', 'こと', 'だけ', 'で', '書き出し', 'た', 'もの', 'で', 'あろう', '。', 'そして']",['姉妹'],NO,姉妹,NO,NO
4,姉妹,ね」棟居が念を押すと、「知らんどころか、小さいころは姉妹のようによく遊んだもんですちゃ。しばらく消息を聞かんけど、達者に暮らし,"['ね', '」', '棟居', 'が', '念', 'を', '押す', 'と', '、', '「', '知ら', 'ん', 'どころ', 'か', '、', '小さい', 'ころ', 'は', '姉妹', 'の', 'よう', 'に', 'よく', '遊ん', 'だ', 'もん', 'です', 'ちゃ', '。', 'しばらく', '消息', 'を', '聞か', 'ん', 'けど', '、', '達者', 'に', '暮らし']",['姉妹'],NO,姉妹,NO,NO
5,姉妹,戒めがある。そんな背景を持つ彼と、女性の権威が強かった熊野の姉妹。彼ら三人の関係が泥沼へと発展したのも、何だか分かる気がし,"['戒め', 'が', 'ある', '。', 'そんな', '背景', 'を', '持つ', '彼', 'と', '、', '女性', 'の', '権威', 'が', '強かっ', 'た', '熊野', 'の', '姉妹', '。', '彼', 'ら', '三', '人', 'の', '関係', 'が', '泥沼', 'へ', 'と', '発展', 'し', 'た', 'の', 'も', '、', '何', 'だ', 'か', '分かる', '気', 'が', 'し']",['姉妹'],NO,姉妹,NO,NO
6,姉妹,私の親友だ。ハリエットとマーサも私の親友だ。彼女たちは私の心の姉妹である。ドーディには仕事のうえで助けられている。仕事で追い込まれた,"['私', 'の', '親友', 'だ', '。', 'ハリエット', 'と', 'マーサ', 'も', '私', 'の', '親友', 'だ', '。', '彼女', 'たち', 'は', '私', 'の', '心', 'の', '姉妹', 'で', 'ある', '。', 'ドーディ', 'に', 'は', '仕事', 'の', 'うえ', 'で', '助け', 'られ', 'て', 'いる', '。', '仕事', 'で', '追い込ま', 'れ', 'た']",['姉妹'],NO,姉妹,NO,NO
7,姉妹,」と呼んでからかっていた娘がおった。ふざけて「おふくろさん」とか「姉妹よ」とも呼んだものだ。この特別のときは（わしが行ったとき,"['」', 'と', '呼ん', 'で', 'からかっ', 'て', 'い', 'た', '娘', 'が', 'おっ', 'た', '。', 'ふざけ', 'て', '「', 'おふくろ', 'さん', '」', 'と', 'か', '「', '姉妹', 'よ', '」', 'と', 'も', '呼ん', 'だ', 'もの', 'だ', '。', 'この', '特別', 'の', 'とき', 'は', '（', 'わし', 'が', '行っ', 'た', 'とき']",['姉妹'],NO,姉妹,NO,NO
8,姉妹,戻れるかもしれないと、それとなく言った。その食事に、母の兄弟と義理の姉妹も招こうとした。母の兄弟もアルツハイマー病であり、この機会が、おそらく彼らが,"['戻れる', 'か', 'も', 'しれ', 'ない', 'と', '、', 'それ', 'と', 'なく', '言っ', 'た', '。', 'その', '食事', 'に', '、', '母', 'の', '兄弟', 'と', '義理', 'の', '姉妹', 'も', '招こう', 'と', 'し', 'た', '。', '母', 'の', '兄弟', 'も', 'アルツハイマー', '病', 'で', 'あり', '、', 'この', '機会', 'が', '、', 'おそらく', '彼', 'ら', 'が']",['姉妹'],NO,姉妹,NO,NO
9,姉妹,・・・Ａ姉妹・・そして四人のお子さん方・・姉妹方では最も記憶に残ってる姉妹だな・・私思うんだけど、きっとＡ姉妹は離れていると思うのよ、子供たち,"['・', '・', '・', 'Ａ', '姉妹', '・', '・', 'そして', '四', '人', 'の', 'お', '子', 'さん', '方', '・', '・', '姉妹', '方', 'で', 'は', '最も', '記憶', 'に', '残っ', 'てる', '姉妹', 'だ', 'な', '・', '・', '私', '思う', 'ん', 'だ', 'けど', '、', 'きっと', 'Ａ', '姉妹', 'は', '離れ', 'て', 'いる', 'と', '思う', 'の', 'よ', '、', '子供', 'たち']",['姉妹'],NO,姉妹,NO,NO
