,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,相場,穴埋めしたいが、これも新薬不足の今日、おいそれと渡してくれない。バイオベンチャーから購入する新薬候補の相場は九十年代の三倍から五倍以上と高騰している。とはいえ、業界では「ゲノム創薬などの,"['穴埋め', 'し', 'たい', 'が', '、', 'これ', 'も', '新薬', '不足', 'の', '今日', '、', 'おいそれと', '渡し', 'て', 'くれ', 'ない', '。', 'バイオ', 'ベンチャー', 'から', '購入', 'する', '新薬', '候補', 'の', '相場', 'は', '九十', '年', '代', 'の', '三', '倍', 'から', '五', '倍', '以上', 'と', '高騰', 'し', 'て', 'いる', '。', 'と', 'は', 'いえ', '、', '業界', 'で', 'は', '「', 'ゲノム', '創薬', 'など', 'の']",['相場'],NO,相場,NO,NO
1,相場,十三日から私もお盆休み（＾＾）でも、相場は続く。休み中に相場が動く事は良くあること。気をつけなくては。さ〜〜、今週,"['十', '三', '日', 'から', '私', 'も', 'お', '盆休み', '（＾＾）', 'で', 'も', '、', '相場', 'は', '続く', '。', '休み', '中', 'に', '相場', 'が', '動く', '事', 'は', '良く', 'ある', 'こと', '。', '気', 'を', 'つけ', 'なく', 'て', 'は', '。', 'さ〜', '〜', '、', '今週']",['相場'],NO,相場,NO,NO
2,相場,十三日から私もお盆休み（＾＾）でも、相場は続く。休み中に相場が動く事は良くあること。気をつけなくては。さ〜〜、今週,"['十', '三', '日', 'から', '私', 'も', 'お', '盆休み', '（＾＾）', 'で', 'も', '、', '相場', 'は', '続く', '。', '休み', '中', 'に', '相場', 'が', '動く', '事', 'は', '良く', 'ある', 'こと', '。', '気', 'を', 'つけ', 'なく', 'て', 'は', '。', 'さ〜', '〜', '、', '今週']",['相場'],NO,相場,NO,NO
3,相場,とき、魚の仕入相場で失敗した。そこで三村さんはまずマージャンをやめた。相場は各地から集まるデータを判断すればいいのだが、それだけでなく一々、魚市場へ足を運ぶ,"['とき', '、', '魚', 'の', '仕入', '相場', 'で', '失敗', 'し', 'た', '。', 'そこ', 'で', '三村', 'さん', 'は', 'まず', 'マージャン', 'を', 'やめ', 'た', '。', '相場', 'は', '各地', 'から', '集まる', 'データ', 'を', '判断', 'すれ', 'ば', 'いい', 'の', 'だ', 'が', '、', 'それ', 'だけ', 'で', 'なく', '一々', '、', '魚', '市場', 'へ', '足', 'を', '運ぶ']",['相場'],NO,相場,NO,NO
4,相場,とき、魚の仕入相場で失敗した。そこで三村さんはまずマージャンをやめた。相場は各地から集まるデータを判断すればいいのだが、それだけでなく一々、魚市場へ足を運ぶ,"['とき', '、', '魚', 'の', '仕入', '相場', 'で', '失敗', 'し', 'た', '。', 'そこ', 'で', '三村', 'さん', 'は', 'まず', 'マージャン', 'を', 'やめ', 'た', '。', '相場', 'は', '各地', 'から', '集まる', 'データ', 'を', '判断', 'すれ', 'ば', 'いい', 'の', 'だ', 'が', '、', 'それ', 'だけ', 'で', 'なく', '一々', '、', '魚', '市場', 'へ', '足', 'を', '運ぶ']",['相場'],NO,相場,NO,NO
5,相場,。どのように考えれば、もうすこし大きなお金を動かせるようになりますか？相場の道三十年のわしでさえ百万単位で買うのはおそろしいもんじゃ。だから一銘柄百万以内で,"['。', 'どの', 'よう', 'に', '考えれ', 'ば', '、', 'もう', 'すこし', '大きな', 'お', '金', 'を', '動かせる', 'よう', 'に', 'なり', 'ます', 'か', '？', '相場', 'の', '道', '三十', '年', 'の', 'わし', 'で', 'さえ', '百', '万', '単位', 'で', '買う', 'の', 'は', 'おそろしい', 'もん', 'じゃ', '。', 'だ', 'から', '一', '銘柄', '百', '万', '以内', 'で']",['相場'],NO,相場,NO,NO
6,相場,は、自分のところで金をもっていますが、それを簿価評価する場合、実際の相場が三百七十ドルぐらいしていても時価よりかなり低い価格で算定されている。しかも他,"['は', '、', '自分', 'の', 'ところ', 'で', '金', 'を', 'もっ', 'て', 'い', 'ます', 'が', '、', 'それ', 'を', '簿価', '評価', 'する', '場合', '、', '実際', 'の', '相場', 'が', '三百', '七十', 'ドル', 'ぐらい', 'し', 'て', 'い', 'て', 'も', '時価', 'より', 'かなり', '低い', '価格', 'で', '算定', 'さ', 'れ', 'て', 'いる', '。', 'しかも', '他']",['相場'],NO,相場,NO,NO
7,相場,て買いすすむと、後場になって暴落し、一日のうちに裸になってしまう。相場を張った当日のうちに売買決済をおこなうのを「日計り」といい、決済,"['て', '買いすすむ', 'と', '、', '後場', 'に', 'なっ', 'て', '暴落', 'し', '、', '一', '日', 'の', 'うち', 'に', '裸', 'に', 'なっ', 'て', 'しまう', '。', '相場', 'を', '張っ', 'た', '当日', 'の', 'うち', 'に', '売買', '決済', 'を', 'おこなう', 'の', 'を', '「', '日', '計り', '」', 'と', 'いい', '、', '決済']",['相場'],NO,相場,NO,NO
8,相場,、哀れむべきなのは継母に苛められる少年のほうである。それが世間の通り相場であった。女は、自分の気持ちの持って行き場がなかった。ときに,"['、', '哀れむ', 'べき', 'な', 'の', 'は', '継母', 'に', '苛め', 'られる', '少年', 'の', 'ほう', 'で', 'ある', '。', 'それ', 'が', '世間', 'の', '通り', '相場', 'で', 'あっ', 'た', '。', '女', 'は', '、', '自分', 'の', '気持ち', 'の', '持っ', 'て', '行き場', 'が', 'なかっ', 'た', '。', 'とき', 'に']",['相場'],NO,相場,NO,NO
9,相場,たろう。三品が一番華やいだ大正期を回想して次のように語っている。「相場が動いて一番おもしろかったのは、第一次欧州大戦のときや。染料成金、船成金、鉄成金が,"['たろう', '。', '三品', 'が', '一番', '華やい', 'だ', '大正', '期', 'を', '回想', 'し', 'て', '次', 'の', 'よう', 'に', '語っ', 'て', 'いる', '。', '「', '相場', 'が', '動い', 'て', '一番', 'おもしろかっ', 'た', 'の', 'は', '、', '第', '一', '次', '欧州', '大戦', 'の', 'とき', 'や', '。', '染料', '成金', '、', '船', '成金', '、', '鉄', '成金', 'が']",['相場'],NO,相場,NO,NO
10,相場,宗久はやはり天性の相場師であった。なみの者であれば気力を失い、二度と相場に手を出すまいとするであろうが、彼は失敗を克服し、再度大損を,"['宗久', 'は', 'やはり', '天性', 'の', '相場', '師', 'で', 'あっ', 'た', '。', 'なみ', 'の', '者', 'で', 'あれ', 'ば', '気力', 'を', '失い', '、', '二', '度', 'と', '相場', 'に', '手', 'を', '出す', 'まい', 'と', 'する', 'で', 'あろう', 'が', '、', '彼', 'は', '失敗', 'を', '克服', 'し', '、', '再度', '大損', 'を']",['相場'],NO,相場,NO,NO
11,相場,宗久はやはり天性の相場師であった。なみの者であれば気力を失い、二度と相場に手を出すまいとするであろうが、彼は失敗を克服し、再度大損を,"['宗久', 'は', 'やはり', '天性', 'の', '相場', '師', 'で', 'あっ', 'た', '。', 'なみ', 'の', '者', 'で', 'あれ', 'ば', '気力', 'を', '失い', '、', '二', '度', 'と', '相場', 'に', '手', 'を', '出す', 'まい', 'と', 'する', 'で', 'あろう', 'が', '、', '彼', 'は', '失敗', 'を', '克服', 'し', '、', '再度', '大損', 'を']",['相場'],NO,相場,NO,NO
12,相場,物事には絶好のチャンスがあるので、入念、十分に見極めよというので、単に相場や金儲けだけに走ってはいけないね。（１）これがほしいのですが。（２,"['物事', 'に', 'は', '絶好', 'の', 'チャンス', 'が', 'ある', 'の', 'で', '、', '入念', '、', '十分', 'に', '見極めよ', 'と', 'いう', 'の', 'で', '、', '単に', '相場', 'や', '金儲け', 'だけ', 'に', '走っ', 'て', 'は', 'いけ', 'ない', 'ね', '。', '（', '１', '）', 'これ', 'が', 'ほしい', 'の', 'です', 'が', '。', '（', '２']",['相場'],NO,相場,NO,NO
13,相場,大阪になかったっけ？まだあるのかなあ？昔からキワモノ系風俗は大阪ヘルス天国は名古屋って相場が決まってたからね。,"['大阪', 'に', 'なかっ', 'た', 'っけ', '？', 'まだ', 'ある', 'の', 'か', 'なあ', '？', '昔', 'から', 'キワモノ', '系', '風俗', 'は', '大阪', 'ヘルス', '天国', 'は', '名古屋', 'って', '相場', 'が', '決まっ', 'て', 'た', 'から', 'ね', '。']",['相場'],NO,相場,NO,NO
14,相場,なんかいまいち相場が読み切れなくてトレードしても失敗しそうなんで、ちょっとデモで取引してみました。,"['なんか', 'いまいち', '相場', 'が', '読み', '切れ', 'なく', 'て', 'トレード', 'し', 'て', 'も', '失敗', 'し', 'そう', 'な', 'ん', 'で', '、', 'ちょっと', 'デモ', 'で', '取引', 'し', 'て', 'み', 'まし', 'た', '。']",['相場'],NO,相場,NO,NO
15,相場,、一台の車を探すよう依頼された。国産車だが、二年以内の中古車で、相場だと四百万円近くする物なのだが、三百万円程度で手に入れる約束をした。そして、,"['、', '一', '台', 'の', '車', 'を', '探す', 'よう', '依頼', 'さ', 'れ', 'た', '。', '国産', '車', 'だ', 'が', '、', '二', '年', '以内', 'の', '中古', '車', 'で', '、', '相場', 'だ', 'と', '四百', '万', '円', '近く', 'する', '物', 'な', 'の', 'だ', 'が', '、', '三百', '万', '円', '程度', 'で', '手', 'に', '入れる', '約束', 'を', 'し', 'た', '。', 'そして', '、']",['相場'],NO,相場,NO,NO
16,相場,とにかく、囚人の書いたものは、二つに一つは読めないものさ、そうと相場が決まってるんだ」「じゃあ、皿を無駄にするだけじゃないか？」,"['とにかく', '、', '囚人', 'の', '書い', 'た', 'もの', 'は', '、', '二', 'つ', 'に', '一', 'つ', 'は', '読め', 'ない', 'もの', 'さ', '、', 'そう', 'と', '相場', 'が', '決まっ', 'てる', 'ん', 'だ', '」', '「', 'じゃあ', '、', '皿', 'を', '無駄', 'に', 'する', 'だけ', 'じゃ', 'ない', 'か', '？', '」']",['相場'],NO,相場,NO,NO
17,相場,の受注残もある。建設株は出遅れ株中心に、これからの浮上も期待される。全体の相場でも、より割安株を狙う展開になっており、建設株は狙い目。六千七百七十一池上通信機,"['の', '受注', '残', 'も', 'ある', '。', '建設', '株', 'は', '出', '遅れ', '株', '中心', 'に', '、', 'これ', 'から', 'の', '浮上', 'も', '期待', 'さ', 'れる', '。', '全体', 'の', '相場', 'で', 'も', '、', 'より', '割安', '株', 'を', '狙う', '展開', 'に', 'なっ', 'て', 'おり', '、', '建設', '株', 'は', '狙い目', '。', '六千', '七百', '七十', '一', '池上', '通信', '機']",['相場'],NO,相場,NO,NO
18,相場,が一番です。確実。田舎だから駐車場もいっぱいあるし。（スタジアム周辺１日千円が相場。おにぎりとかお野菜くれる所もあるよ）つくばセンターから色々バスがあるのかどう,"['が', '一番', 'です', '。', '確実', '。', '田舎', 'だ', 'から', '駐車', '場', 'も', 'いっぱい', 'ある', 'し', '。', '（', 'スタジアム', '周辺', '１日', '千', '円', 'が', '相場', '。', 'おにぎり', 'と', 'か', 'お', '野菜', 'くれる', '所', 'も', 'ある', 'よ', '）', 'つくば', 'センター', 'から', '色々', 'バス', 'が', 'ある', 'の', 'か', 'どう']",['相場'],NO,相場,NO,NO
19,相場,が決ったので，あちらに部屋を探しにいかなければならないんです。前もって大体の相場なんかを調べておくといいかな，と思うんですけど，大阪周辺のアパートやマンションの,"['が', '決っ', 'た', 'の', 'で', '，', 'あちら', 'に', '部屋', 'を', '探し', 'にい', 'か', 'なけれ', 'ば', 'なら', 'ない', 'ん', 'です', '。', '前', 'もっ', 'て', '大体', 'の', '相場', 'なんか', 'を', '調べ', 'て', 'おく', 'と', 'いい', 'か', 'な', '，', 'と', '思う', 'ん', 'です', 'けど', '，', '大阪', '周辺', 'の', 'アパート', 'や', 'マンション', 'の']",['相場'],NO,相場,NO,NO
20,相場,事から名付けられたようだ。このスタイルが黄金町風俗の特徴とされた。なお相場は８千円〜１万円ぐらいと安めだった。しかし、その強烈な風俗体験もさる事,"['事', 'から', '名付け', 'られ', 'た', 'よう', 'だ', '。', 'この', 'スタイル', 'が', '黄金町', '風俗', 'の', '特徴', 'と', 'さ', 'れ', 'た', '。', 'なお', '相場', 'は', '８千', '円', '〜', '１', '万', '円', 'ぐらい', 'と', '安め', 'だっ', 'た', '。', 'しかし', '、', 'その', '強烈', 'な', '風俗', '体験', 'も', 'さる', '事']",['相場'],NO,相場,NO,NO
21,相場,が上下するが、これもだろう買いで、また下げるだろう。どこもそうだが、相場はこんな時期何を取っても相場はなかなか安定しないようだ。今日は円安で,"['が', '上下', 'する', 'が', '、', 'これ', 'も', 'だろう', '買い', 'で', '、', 'また', '下げる', 'だろう', '。', 'どこ', 'も', 'そう', 'だ', 'が', '、', '相場', 'は', 'こんな', '時期', '何', 'を', '取っ', 'て', 'も', '相場', 'は', 'なかなか', '安定', 'し', 'ない', 'よう', 'だ', '。', '今日', 'は', '円安', 'で']",['相場'],NO,相場,NO,NO
22,相場,が上下するが、これもだろう買いで、また下げるだろう。どこもそうだが、相場はこんな時期何を取っても相場はなかなか安定しないようだ。今日は円安で,"['が', '上下', 'する', 'が', '、', 'これ', 'も', 'だろう', '買い', 'で', '、', 'また', '下げる', 'だろう', '。', 'どこ', 'も', 'そう', 'だ', 'が', '、', '相場', 'は', 'こんな', '時期', '何', 'を', '取っ', 'て', 'も', '相場', 'は', 'なかなか', '安定', 'し', 'ない', 'よう', 'だ', '。', '今日', 'は', '円安', 'で']",['相場'],NO,相場,NO,NO
23,相場,あってドン欲である。美食家は日本人の女を女房にして（近頃はちと相場が下がった）、中国料理を食べながら、フランス（これも下落気味）に住むことが,"['あっ', 'て', 'ドン欲', 'で', 'ある', '。', '美食', '家', 'は', '日本', '人', 'の', '女', 'を', '女房', 'に', 'し', 'て', '（', '近頃', 'は', 'ちと', '相場', 'が', '下がっ', 'た', '）', '、', '中国', '料理', 'を', '食べ', 'ながら', '、', 'フランス', '（', 'これ', 'も', '下落', '気味', '）', 'に', '住む', 'こと', 'が']",['相場'],NO,相場,NO,NO
24,相場,今日は部屋掃除とＭＬＢなどであまり相場はみていませんが・・・相変わらず日経平均の急降下は凄いですよね・・,"['今日', 'は', '部屋', '掃除', 'と', 'ＭＬＢ', 'など', 'で', 'あまり', '相場', 'は', 'み', 'て', 'い', 'ませ', 'ん', 'が', '・', '・', '・', '相', '変わら', 'ず', '日経', '平均', 'の', '急', '降下', 'は', '凄い', 'です', 'よ', 'ね', '・', '・']",['相場'],NO,相場,NO,NO
25,相場,薬事法に触れる話もあるようです。また、価格についても根拠のない相場や特別割引と言って、あたかも得であるかのように思わせます。契約して,"['薬事', '法', 'に', '触れる', '話', 'も', 'ある', 'よう', 'です', '。', 'また', '、', '価格', 'に', 'つい', 'て', 'も', '根拠', 'の', 'ない', '相場', 'や', '特別', '割引', 'と', '言っ', 'て', '、', 'あたかも', '得', 'で', 'ある', 'か', 'の', 'よう', 'に', '思わ', 'せ', 'ます', '。', '契約', 'し', 'て']",['相場'],NO,相場,NO,NO
26,相場,のフックもしっかり付いてるし状態はいいほうですかね？この状態ならもう少し相場は高いと思います。今度メッキを塗装してリペアしてみようかなぁ。明日はサメがやっ,"['の', 'フック', 'も', 'しっかり', '付い', 'てる', 'し', '状態', 'は', 'いい', 'ほう', 'です', 'か', 'ね', '？', 'この', '状態', 'なら', 'もう', '少し', '相場', 'は', '高い', 'と', '思い', 'ます', '。', '今度', 'メッキ', 'を', '塗装', 'し', 'て', 'リペア', 'し', 'て', 'みよう', 'か', 'なぁ', '。', '明日', 'は', 'サメ', 'が', 'やっ']",['相場'],NO,相場,NO,NO
27,相場,ドンペは四百何十枚でなければ、一元にならない。私のいたころの元の相場は、日本の円とパアで通じた。黄〓車苦力には、金への執着と,"['ドンペ', 'は', '四百', '何十', '枚', 'で', 'なけれ', 'ば', '、', '一元', 'に', 'なら', 'ない', '。', '私', 'の', 'い', 'た', 'ころ', 'の', '元', 'の', '相場', 'は', '、', '日本', 'の', '円', 'と', 'パア', 'で', '通じ', 'た', '。', '黄', '〓', '車', '苦力', 'に', 'は', '、', '金', 'へ', 'の', '執着', 'と']",['相場'],NO,相場,NO,NO
28,相場,る。八千二丸紅四百四十三▼三十四二万八千六百五十一相場の先行き、景気の先行きについては、そう簡単に言えるものではなく、今後とも株価は,"['る', '。', '八千', '二', '丸紅', '四百', '四十', '三', '▼', '三十', '四', '二', '万', '八千', '六百', '五十', '一', '相場', 'の', '先行き', '、', '景気', 'の', '先行き', 'に', 'つい', 'て', 'は', '、', 'そう', '簡単', 'に', '言える', 'もの', 'で', 'は', 'なく', '、', '今後', 'とも', '株価', 'は']",['相場'],NO,相場,NO,NO
29,相場,てくると買いもちろん、実際の場面場面における投資家心理はもっと複雑なものですが、相場に参加するときには、こうした自分以外の投資家心理を感じておくことも必要なのです,"['て', 'くる', 'と', '買い', 'もちろん', '、', '実際', 'の', '場面', '場面', 'に', 'おけ', 'る', '投資', '家', '心理', 'は', 'もっと', '複雑', 'な', 'もの', 'です', 'が', '、', '相場', 'に', '参加', 'する', 'とき', 'に', 'は', '、', 'こう', 'し', 'た', '自分', '以外', 'の', '投資', '家', '心理', 'を', '感じ', 'て', 'おく', 'こと', 'も', '必要', 'な', 'の', 'です']",['相場'],NO,相場,NO,NO
30,相場,売春行為なども一切なく店員も風俗譲もその点しっかりしていて、又親切丁寧で値段も相場でしたただ店員はすごい傷が体にありましたこの店は何故ちゃんと営業を,"['売春', '行為', 'など', 'も', '一切', 'なく', '店員', 'も', '風俗', '譲', 'も', 'その', '点', 'しっかり', 'し', 'て', 'い', 'て', '、', '又', '親切', '丁寧', 'で', '値段', 'も', '相場', 'でし', 'た', 'ただ', '店員', 'は', 'すごい', '傷', 'が', '体', 'に', 'あり', 'まし', 'た', 'この', '店', 'は', '何故', 'ちゃんと', '営業', 'を']",['相場'],NO,相場,NO,NO
31,相場,と金融資産の持つ質的な差である。その要素は、ひとつに金利であり、ひとつに相場、もうひとつは、株式がもつ配当受益証券としてのものである。預金、債券は、元本以外,"['と', '金融', '資産', 'の', '持つ', '質的', 'な', '差', 'で', 'ある', '。', 'その', '要素', 'は', '、', 'ひと', 'つ', 'に', '金利', 'で', 'あり', '、', 'ひと', 'つ', 'に', '相場', '、', 'もう', 'ひと', 'つ', 'は', '、', '株式', 'が', 'もつ', '配当', '受益', '証券', 'と', 'し', 'て', 'の', 'もの', 'で', 'ある', '。', '預金', '、', '債券', 'は', '、', '元本', '以外']",['相場'],NO,相場,NO,NO
32,相場,よう指示している。つまり，新羅商人と民間との交易を大宰府の管理下におき，相場を厳守させて取引をするよう命じているのであるが，ここからも大宰府の管理下に,"['よう', '指示', 'し', 'て', 'いる', '。', 'つまり', '，', '新羅', '商人', 'と', '民間', 'と', 'の', '交易', 'を', '大宰府', 'の', '管理', '下', 'に', 'おき', '，', '相場', 'を', '厳守', 'さ', 'せ', 'て', '取引', 'を', 'する', 'よう', '命じ', 'て', 'いる', 'の', 'で', 'ある', 'が', '，', 'ここ', 'から', 'も', '大宰府', 'の', '管理', '下', 'に']",['相場'],NO,相場,NO,NO
