,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,映画館,今日は練習試合ＡＬＬでしたけど、途中で抜けて映画館へ直行♥そして…ばっちり観てきましたよ（＾＾）ｖ潤くんかっこよかったなぁ★,"['今日', 'は', '練習', '試合', 'ＡＬＬ', 'でした', 'けど', '、', '途中', 'で', '抜けて', '映画', '館', 'へ', '直行', '♥', 'そして', '…', 'ばっちり', '観て', 'き', 'ました', 'よ', '（＾＾）ｖ', '潤', 'くん', 'かっこよかった', 'な', 'ぁ', '★']","['映画', '館']",YES,映画館,NO,NO
1,映画館,住む小さな部屋がある。その間には映画館もある。このあと、どこかの映画館に寄ってみようか。そこでひっそりと、その謎の映画が上映されていたら暗い,"['住む', '小さな', '部屋', 'が', 'ある', '。', 'その', '間', 'に', 'は', '映画', '館', 'も', 'ある', '。', 'このあと', '、', 'どこ', 'か', 'の', '映画', '館', 'に', '寄って', 'みよう', 'か', '。', 'そこ', 'で', 'ひっそり', 'と', '、', 'その', '謎', 'の', '映画', 'が', '上映', 'さ', 'れて', 'いたら', '暗い']","['映画', '館']",YES,映画館,NO,NO
2,映画館,住む小さな部屋がある。その間には映画館もある。このあと、どこかの映画館に寄ってみようか。そこでひっそりと、その謎の映画が上映されていたら暗い,"['住む', '小さな', '部屋', 'が', 'ある', '。', 'その', '間', 'に', 'は', '映画', '館', 'も', 'ある', '。', 'このあと', '、', 'どこ', 'か', 'の', '映画', '館', 'に', '寄って', 'みよう', 'か', '。', 'そこ', 'で', 'ひっそり', 'と', '、', 'その', '謎', 'の', '映画', 'が', '上映', 'さ', 'れて', 'いたら', '暗い']","['映画', '館']",YES,映画館,NO,NO
3,映画館,。（でも可也大変そう＾＾；）とにかく、ハッピー♪ハッピー♪幸せ〜な気持ちで映画館を後に出来るの請け合いです！,"['。', '（', 'でも', '可', '也大', '変そう', '＾＾；）', 'とにかく', '、', 'ハッピー', '♪', 'ハッピー', '♪', '幸せ', '〜', 'な', '気持ち', 'で', '映画', '館', 'を', '後', 'に', '出来る', 'の', '請け合い', 'です', '！']","['映画', '館']",YES,映画館,NO,NO
4,映画館,田舎の方で、町には一軒しか映画館なかったの。その思い出の中の映画館と、その映画を観た映画館は全然違うの。じゃあ、どこの映画館？,"['田舎', 'の', '方', 'で', '、', '町', 'に', 'は', '一', '軒', 'しか', '映画', '館', 'なかった', 'の', '。', 'その', '思い出', 'の', '中', 'の', '映画', '館', 'と', '、', 'その', '映画', 'を', '観た', '映画', '館', 'は', '全然', '違う', 'の', '。', 'じゃあ', '、', 'どこ', 'の', '映画', '館', '？']","['映画', '館']",YES,映画館,NO,NO
5,映画館,田舎の方で、町には一軒しか映画館なかったの。その思い出の中の映画館と、その映画を観た映画館は全然違うの。じゃあ、どこの映画館？,"['田舎', 'の', '方', 'で', '、', '町', 'に', 'は', '一', '軒', 'しか', '映画', '館', 'なかった', 'の', '。', 'その', '思い出', 'の', '中', 'の', '映画', '館', 'と', '、', 'その', '映画', 'を', '観た', '映画', '館', 'は', '全然', '違う', 'の', '。', 'じゃあ', '、', 'どこ', 'の', '映画', '館', '？']","['映画', '館']",YES,映画館,NO,NO
6,映画館,田舎の方で、町には一軒しか映画館なかったの。その思い出の中の映画館と、その映画を観た映画館は全然違うの。じゃあ、どこの映画館？,"['田舎', 'の', '方', 'で', '、', '町', 'に', 'は', '一', '軒', 'しか', '映画', '館', 'なかった', 'の', '。', 'その', '思い出', 'の', '中', 'の', '映画', '館', 'と', '、', 'その', '映画', 'を', '観た', '映画', '館', 'は', '全然', '違う', 'の', '。', 'じゃあ', '、', 'どこ', 'の', '映画', '館', '？']","['映画', '館']",YES,映画館,NO,NO
7,映画館,田舎の方で、町には一軒しか映画館なかったの。その思い出の中の映画館と、その映画を観た映画館は全然違うの。じゃあ、どこの映画館？,"['田舎', 'の', '方', 'で', '、', '町', 'に', 'は', '一', '軒', 'しか', '映画', '館', 'なかった', 'の', '。', 'その', '思い出', 'の', '中', 'の', '映画', '館', 'と', '、', 'その', '映画', 'を', '観た', '映画', '館', 'は', '全然', '違う', 'の', '。', 'じゃあ', '、', 'どこ', 'の', '映画', '館', '？']","['映画', '館']",YES,映画館,NO,NO
8,映画館,？茨城県、県西地区からです。。。少し足を伸ばして台場は？温泉や映画館もあるし、雨でも遊べる。・・・・・・・・・・・,"['？', '茨城', '県', '、', '県', '西', '地区', 'から', 'です', '。', '。', '。', '少し', '足', 'を', '伸ばして', '台場', 'は', '？', '温泉', 'や', '映画', '館', 'も', 'ある', 'し', '、', '雨', 'でも', '遊べる', '。', '・・・・・・・・・・・']","['映画', '館']",YES,映画館,NO,NO
9,映画館,、帰りにカレーや焼き鳥を食べましょう。七草過ぎは恋愛運と仕事運がアップする東方位の映画館やコンサート会場へ出かけ、ファッション小物を買い、おいしいものを食べましょう。西方位の公園は金運,"['、', '帰り', 'に', 'カレー', 'や', '焼き鳥', 'を', '食べ', 'ましょう', '。', '七草', '過ぎ', 'は', '恋愛', '運', 'と', '仕事', '運', 'が', 'アップ', 'する', '東方', '位', 'の', '映画', '館', 'や', 'コンサート', '会場', 'へ', '出かけ', '、', 'ファッション', '小物', 'を', '買い', '、', 'おいしい', 'もの', 'を', '食べ', 'ましょう', '。', '西', '方位', 'の', '公園', 'は', '金', '運']","['映画', '館']",YES,映画館,NO,NO
