,0
0,林業技術の総合的な発展を図る上で必要な経常研究を推進するとともに，特に，最近の諸情勢に対応して緊急に促進すべき課題に重点をおいてその研究の推進を図った
1,に、特定商業集積の整備の促進に関する特別措置法案につきまして御説明申し上げます。最近における小売業をめぐる諸情勢は急速に変化しており、消費者ニーズの多様化等新しい環境に対応した小売商業政策が求められております
2,に関する法律の一部を改正する法律案につきまして御説明申し上げます。消費者ニーズの多様化等小売業をめぐる最近の諸情勢の変化の中で、昭和六十三年の行革審規制緩和推進要綱や昨年六月の日米構造問題協議報告等に示されるように
3,きょうは、諫早干拓事業とそれからノリ不作問題、それからもう一つは、川辺川の国営土地改良事業を取り巻くいろいろな諸情勢と漁業権の問題について質問させていただきたいと思います。私は、ついこの間、
4,安定的発展に資することとした。第Ⅳ‐１表八十七年度海外貿易会議開催一覧表３．貿易表彰等最近の我が国貿易をめぐる諸情勢にかんがみ，製品輸入の拡大による我が国貿易構造の改善及び貿易に関する相互理解の増進を図る必要
5,ているが、現在の科学技術の枠組みが過去十二年間基本的に変更されていないことから、諸情勢の変化を踏まえた新しい科学技術政策を模索中である。以下では、その研究開発活動と科学技術政策の
6,旧「指針」は、前大綱の考え方に基づき策定されたものであるが、内外の諸情勢の変化などを踏まえ、九十五年（平成７年）十一月、新たな防衛大綱が策定された
7,にわたる点につきましては、政府委員をして補足説明いたさせます。本予算か現下の諸情勢に果たす役割に御理解を賜り、何とぞ、御審議の上、速やかに御賛同いただきますようお願い申し上げ
8,れております。その第一点目が、「本邦在留の外国人に対する行政の在り方にかかわる内外の諸情勢の推移を踏まえ、外国人登録制度の目的を明確にするとともに、外国人の人権を尊重して
9,なのでありますが、これは五十年前に書かれた言葉でありまして、もう内外の諸情勢は全く違っておる。二十一世紀も間近という段階に、この前文をこのまま後生大事に抱きかかえ
10,Ⅶ国有林野の管理及び経営国有林野の管理経営については，これを取り巻く厳しい諸情勢の中で，林産物の計画的，持続的な供給，森林のもつ公益的機能の発揮，地域振興
11,の協力を得て、その適正を期しているところであるが、近年の国立公園を取り巻く諸情勢の変化に対処するため、今年度も地域の特性に応じた管理体制の強化に努めた
12,とおりの厳しい財政事情、近年の稲作経営の実情等を踏まえながら、農家経済を取り巻く最近の厳しい諸情勢のもとで稲作の生産性の向上に取り組む農家の意欲にも配慮して、生産費及び
13,について助成する等により，家畜保健衛生所の機能を強化した。６農業機械対策（１）農業機械化をめぐる諸情勢の変化に対応し，生産性の一層の向上と農業生産の再編成に資するため，今後３年間
14,設けられていた．なお，旅客列車の電車化，貨物輸送の減少，強力機関車の登場などの諸情勢によりこの後押し機関車も過去のものとなった．車両間に引き通される空気管は，主
15,た。（６）土地改良制度の見直し土地改良制度については、基本法の下、農業・農村を取り巻く諸情勢の変化に的確に対応し、地域に開かれ、支えられた事業とするため、
16,諸対策の推進に努めている。（３）捜査活動の科学化の推進捜査を取り巻く諸情勢の変化に対応し，迅速，的確な捜査活動を推進していくためには，各種の捜査情報を
17,安定的発展に資することとした。第Ⅳ‐１表八十八年度海外貿易会議開催一覧表３．貿易表彰等最近の我が国貿易をめぐる諸情勢にかんがみ，製品輸入の拡大による我が国貿易構造の改善及び貿易に関する相互理解の増進を図る必要
