,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,未定,ね。第二十三回神奈川新聞花火大会の花火をしばらくご覧いただくことにします。まだ編集終えてないため終了回数は未定です。また、今回はトリミングなどを画像に施している場合があります。あらかじめご了承ください,"['ね', '。', '第', '二十', '三', '回', '神奈川', '新聞', '花火', '大会', 'の', '花火', 'を', 'しばらく', 'ご覧', 'いただく', 'こと', 'に', 'し', 'ます', '。', 'まだ', '編集', '終え', 'て', 'ない', 'ため', '終了', '回数', 'は', '未定', 'です', '。', 'また', '、', '今回', 'は', 'トリミング', 'など', 'を', '画像', 'に', '施し', 'て', 'いる', '場合', 'が', 'あり', 'ます', '。', 'あらかじめ', 'ご', '了承', 'ください']",['未定'],NO,未定,NO,NO
1,未定,のおでかけＢａｂｙ’ｓＤａｙＯｕｔ（九十四年米）フジテレビ深２．０５〜未定未定字Ｓ時間本未定オ九十九分スタッフ＆キャスト監パトリック・リード・ジョンソン出ジョー・マンテーニャララ・フリン・ボイルジョー・パントリアーノ,"['の', 'お', 'でかけ', 'Ｂａｂｙ', '’', 'ｓＤａｙＯｕｔ', '（', '九十', '四', '年', '米', '）', 'フジ', 'テレビ', '深', '２', '．', '０５', '〜', '未定', '未定', '字', 'Ｓ', '時間', '本', '未定', 'オ', '九十', '九', '分', 'スタッフ', '＆', 'キャスト', '監', 'パトリック', '・', 'リード', '・', 'ジョンソン', '出', 'ジョー', '・', 'マンテーニャ', 'ララ・フリン・ボイルジョー・パントリアーノ']",['未定'],NO,未定,NO,NO
2,未定,のおでかけＢａｂｙ’ｓＤａｙＯｕｔ（九十四年米）フジテレビ深２．０５〜未定未定字Ｓ時間本未定オ九十九分スタッフ＆キャスト監パトリック・リード・ジョンソン出ジョー・マンテーニャララ・フリン・ボイルジョー・パントリアーノ,"['の', 'お', 'でかけ', 'Ｂａｂｙ', '’', 'ｓＤａｙＯｕｔ', '（', '九十', '四', '年', '米', '）', 'フジ', 'テレビ', '深', '２', '．', '０５', '〜', '未定', '未定', '字', 'Ｓ', '時間', '本', '未定', 'オ', '九十', '九', '分', 'スタッフ', '＆', 'キャスト', '監', 'パトリック', '・', 'リード', '・', 'ジョンソン', '出', 'ジョー', '・', 'マンテーニャ', 'ララ・フリン・ボイルジョー・パントリアーノ']",['未定'],NO,未定,NO,NO
3,未定,のおでかけＢａｂｙ’ｓＤａｙＯｕｔ（九十四年米）フジテレビ深２．０５〜未定未定字Ｓ時間本未定オ九十九分スタッフ＆キャスト監パトリック・リード・ジョンソン出ジョー・マンテーニャララ・フリン・ボイルジョー・パントリアーノ,"['の', 'お', 'でかけ', 'Ｂａｂｙ', '’', 'ｓＤａｙＯｕｔ', '（', '九十', '四', '年', '米', '）', 'フジ', 'テレビ', '深', '２', '．', '０５', '〜', '未定', '未定', '字', 'Ｓ', '時間', '本', '未定', 'オ', '九十', '九', '分', 'スタッフ', '＆', 'キャスト', '監', 'パトリック', '・', 'リード', '・', 'ジョンソン', '出', 'ジョー', '・', 'マンテーニャ', 'ララ・フリン・ボイルジョー・パントリアーノ']",['未定'],NO,未定,NO,NO
4,未定,、これはいつ、だれが、どのルートで、どんな手法で整備するかというのは未定です。決まっていません。先ほど申しましたように、客観的な評価、これを,"['、', 'これ', 'は', 'いつ', '、', 'だれ', 'が', '、', 'どの', 'ルート', 'で', '、', 'どんな', '手法', 'で', '整備', 'する', 'か', 'と', 'いう', 'の', 'は', '未定', 'です', '。', '決まっ', 'て', 'い', 'ませ', 'ん', '。', '先', 'ほど', '申し', 'まし', 'た', 'よう', 'に', '、', '客観', '的', 'な', '評価', '、', 'これ', 'を']",['未定'],NO,未定,NO,NO
5,未定,阪和線は空港連絡鉄道の乗り入れで大きく変わる。乗入ダイヤのアウトラインは発表されているが、詳細は未定である。本項ではそれも吟味してみる。●朝ラッシュ時十六分サイクルに全線通しの快速,"['阪和', '線', 'は', '空港', '連絡', '鉄道', 'の', '乗り入れ', 'で', '大きく', '変わる', '。', '乗', '入', 'ダイヤ', 'の', 'アウトライン', 'は', '発表', 'さ', 'れ', 'て', 'いる', 'が', '、', '詳細', 'は', '未定', 'で', 'ある', '。', '本項', 'で', 'は', 'それ', 'も', '吟味', 'し', 'て', 'みる', '。', '●', '朝', 'ラッシュ', '時', '十', '六', '分', 'サイクル', 'に', '全線', '通し', 'の', '快速']",['未定'],NO,未定,NO,NO
6,未定,の戦士で、ユニバースでもプロールの仕様変更品で登場。今の所国内導入の予定は未定。ＨＡＳＢＲＯでも企画されたんですから、、、ヘケヘケで出して欲しいっすね。北米,"['の', '戦士', 'で', '、', 'ユニバース', 'で', 'も', 'プ', 'ロール', 'の', '仕様', '変更', '品', 'で', '登場', '。', '今', 'の', '所', '国内', '導入', 'の', '予定', 'は', '未定', '。', 'ＨＡＳＢＲＯ', 'で', 'も', '企画', 'さ', 'れ', 'た', 'ん', 'です', 'から', '、', '、', '、', 'ヘケヘケ', 'で', '出し', 'て', '欲しい', 'っす', 'ね', '。', '北米']",['未定'],NO,未定,NO,NO
7,未定,ミルフィーユやたらとつくる予定でつ★で、一葉クッキークラス全員分作る予定だけど配るかどうかは未定←だってみんな女子の分だけっぽいし・・・・でも小中高とみんなで用意し,"['ミルフィーユ', 'やたら', 'と', 'つくる', '予定', 'でつ', '★', 'で', '、', '一', '葉', 'クッキー', 'クラス', '全員', '分', '作る', '予定', 'だ', 'けど', '配る', 'か', 'どう', 'か', 'は', '未定', '←', 'だ', 'って', 'みんな', '女子', 'の', '分', 'だけ', 'っぽい', 'し', '・', '・', '・', '・', 'で', 'も', '小', '中高', 'と', 'みんな', 'で', '用意', 'し']",['未定'],NO,未定,NO,NO
8,未定,ラポールひらかた温水プールは、２月４日（月）から緊急点検のため臨時休業します（再開日は未定）。ご迷惑をおかけしますが、ご協力をお願いします。葦ラポールひらかた☎八百四十五．一六〇二、ＦＡＸ八百四十五．一八九七,"['ラポール', 'ひらか', 'た', '温水', 'プール', 'は', '、', '２', '月', '４', '日', '（', '月', '）', 'から', '緊急', '点検', 'の', 'ため', '臨時', '休業', 'し', 'ます', '（', '再開', '日', 'は', '未定', '）', '。', 'ご', '迷惑', 'を', 'お', 'かけ', 'し', 'ます', 'が', '、', 'ご', '協力', 'を', 'お', '願い', 'し', 'ます', '。', '葦', 'ラポール', 'ひらか', 'た', '☎', '八百', '四十', '五', '．', '一', '六', '〇', '二', '、', 'ＦＡＸ', '八百', '四十', '五', '．', '一', '八', '九', '七']",['未定'],NO,未定,NO,NO
9,未定,西池袋１−二十−５営業時間十二：００〜十五：００、十八：００〜二十四：００材料切れ終了有定休日未定座席数カウンター十二席,"['西池袋', '１', '−', '二十', '−', '５', '営業', '時間', '十', '二', '：', '００', '〜', '十', '五', '：', '００', '、', '十', '八', '：', '００', '〜', '二十', '四', '：', '００', '材料', '切れ', '終了', '有定', '休日', '未定', '座席', '数', 'カウンター', '十', '二', '席']",['未定'],NO,未定,NO,NO
10,未定,内容：ボンゴレ一家。家族の日常生活をお伝えします。発売日：未定と、まぁこんな感じのを。。。。出来上がりましたら、通販を開始いたします。,"['内容', '：', 'ボンゴレ', '一家', '。', '家族', 'の', '日常', '生活', 'を', 'お', '伝え', 'し', 'ます', '。', '発売', '日', '：', '未定', 'と', '、', 'まぁ', 'こんな', '感じ', 'の', 'を', '。', '。', '。', '。', '出来上がり', 'まし', 'たら', '、', '通販', 'を', '開始', 'いたし', 'ます', '。']",['未定'],NO,未定,NO,NO
