,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,不可能,たことがないのですが、このルアーは現在は新品では手に入れることが不可能でしてね。Ｆｒｏｇさんもホッツィートッツィーみたいなダブルスイッシャー、出してくれないかなぁ？！,"['た', 'こと', 'が', 'ない', 'の', 'です', 'が', '、', 'この', 'ルアー', 'は', '現在', 'は', '新品', 'で', 'は', '手', 'に', '入れる', 'こと', 'が', '不', '可能', 'でし', 'て', 'ね', '。', 'Ｆｒｏｇ', 'さん', 'も', 'ホッツィートッツィー', 'みたい', 'な', 'ダブルスイッシャー', '、', '出し', 'て', 'くれ', 'ない', 'か', 'なぁ', '？', '！']","['不', '可能']",YES,不可能,NO,NO
1,不可能,それはとてもむずかしいこと？そうです。しかし、真の信仰をもつ者にとっては不可能なことではありません。バーナーディン枢機卿は、人がお互いに中傷し合ったり見下したりするのを敏感,"['それ', 'は', 'とても', 'むずかしい', 'こと', '？', 'そう', 'です', '。', 'しかし', '、', '真', 'の', '信仰', 'を', 'もつ', '者', 'に', 'とっ', 'て', 'は', '不', '可能', 'な', 'こと', 'で', 'は', 'あり', 'ませ', 'ん', '。', 'バーナー', 'ディン', '枢機', '卿', 'は', '、', '人', 'が', 'お', '互い', 'に', '中傷', 'し', '合っ', 'たり', '見下し', 'たり', 'する', 'の', 'を', '敏感']","['不', '可能']",YES,不可能,NO,NO
2,不可能,も？！詳しくはＨＰでｈｔｔｐ：／／ｉｙａｎａｉ．ｃｏｍ／※全てのイベントにおいて他の割引・イベントとの併用は不可能です。,"['も', '？', '！', '詳しく', 'は', 'ＨＰ', 'で', 'ｈｔｔｐ：／／', 'ｉｙａｎａｉ', '．', 'ｃｏｍ', '／', '※', '全て', 'の', 'イベント', 'に', 'おい', 'て', '他', 'の', '割引', '・', 'イベント', 'と', 'の', '併用', 'は', '不', '可能', 'です', '。']","['不', '可能']",YES,不可能,NO,NO
3,不可能,切符を買う場合も、幹線などではおそらく二、三日駅に寝転んでいなければ不可能であって、それでも結局はムダ足を踏むことがあるのだろう。汽車の切符に関して言え,"['切符', 'を', '買う', '場合', 'も', '、', '幹線', 'など', 'で', 'は', 'おそらく', '二', '、', '三', '日', '駅', 'に', '寝転ん', 'で', 'い', 'なけれ', 'ば', '不', '可能', 'で', 'あっ', 'て', '、', 'それ', 'で', 'も', '結局', 'は', 'ムダ足', 'を', '踏む', 'こと', 'が', 'ある', 'の', 'だろう', '。', '汽車', 'の', '切符', 'に', '関し', 'て', '言え']","['不', '可能']",YES,不可能,NO,NO
4,不可能,ます。今の時点で防衛庁が直ちに出動するようなことは、私は法律上非常に不可能だと考えております。○西村（眞）委員これから議院の国政調査権についてちょっと触れ,"['ます', '。', '今', 'の', '時点', 'で', '防衛', '庁', 'が', '直ちに', '出動', 'する', 'よう', 'な', 'こと', 'は', '、', '私', 'は', '法律', '上', '非常', 'に', '不', '可能', 'だ', 'と', '考え', 'て', 'おり', 'ます', '。', '○', '西村', '（', '眞', '）', '委員', 'これ', 'から', '議院', 'の', '国政', '調査', '権', 'に', 'つい', 'て', 'ちょっと', '触れ']","['不', '可能']",YES,不可能,NO,NO
5,不可能,たわけではないとしても、かなり衰退してきた。とくに第二次世界大戦後のドイツにおいては、戦没者祭祀は事実上不可能になったといっています。ナチス・ドイツの戦争における戦没者の祭祀は、戦後に,"['た', 'わけ', 'で', 'は', 'ない', 'と', 'し', 'て', 'も', '、', 'かなり', '衰退', 'し', 'て', 'き', 'た', '。', 'とくに', '第', '二', '次', '世界', '大戦', '後', 'の', 'ドイツ', 'に', 'おい', 'て', 'は', '、', '戦没', '者', '祭祀', 'は', '事実', '上', '不', '可能', 'に', 'なっ', 'た', 'と', 'いっ', 'て', 'い', 'ます', '。', 'ナチス', '・', 'ドイツ', 'の', '戦争', 'に', 'おけ', 'る', '戦没', '者', 'の', '祭祀', 'は', '、', '戦後', 'に']","['不', '可能']",YES,不可能,NO,NO
6,不可能,物を書くには誰が手掛けるにせよ、島で数十年の歳月を過ごさねば不可能じゃと…。精瑞そうか、なるほど。ご老体の著述を役立てようとする人が,"['物', 'を', '書く', 'に', 'は', '誰', 'が', '手掛ける', 'に', 'せよ', '、', '島', 'で', '数十', '年', 'の', '歳月', 'を', '過ごさ', 'ね', 'ば', '不', '可能', 'じゃ', 'と', '…', '。', '精瑞', 'そう', 'か', '、', 'なるほど', '。', 'ご', '老体', 'の', '著述', 'を', '役立てよう', 'と', 'する', '人', 'が']","['不', '可能']",YES,不可能,NO,NO
7,不可能,はたらいているすべての多元的要因をわれわれはまだ十分に知っていないし、おそらく知りつくすことは不可能なのだという寛容の態度をもって、あらゆるものが相互に作用している錯綜のなか,"['はたらい', 'て', 'いる', 'すべて', 'の', '多元', '的', '要因', 'を', 'われわれ', 'は', 'まだ', '十分', 'に', '知っ', 'て', 'い', 'ない', 'し', '、', 'おそらく', '知り', 'つくす', 'こと', 'は', '不', '可能', 'な', 'の', 'だ', 'と', 'いう', '寛容', 'の', '態度', 'を', 'もっ', 'て', '、', 'あらゆる', 'もの', 'が', '相互', 'に', '作用', 'し', 'て', 'いる', '錯綜', 'の', 'なか']","['不', '可能']",YES,不可能,NO,NO
8,不可能,た性格で，どういう方でした？弟がそう診断され，仕事も継続ほぼ不可能となり，家族はどう接していいのかさえわかりません，どういう風に,"['た', '性格', 'で', '，', 'どう', 'いう', '方', 'でし', 'た', '？', '弟', 'が', 'そう', '診断', 'さ', 'れ', '，', '仕事', 'も', '継続', 'ほぼ', '不', '可能', 'と', 'なり', '，', '家族', 'は', 'どう', '接し', 'て', 'いい', 'の', 'か', 'さえ', 'わかり', 'ませ', 'ん', '，', 'どう', 'いう', '風', 'に']","['不', '可能']",YES,不可能,NO,NO
9,不可能,にあったラインを形成していく。同時にでたらめな各翼も、上面の厚み増しは不可能としても、可能な限り飛行機らしい形状に削り出した。さらに肉厚のある主翼フラップ部や、胴体の,"['に', 'あっ', 'た', 'ライン', 'を', '形成', 'し', 'て', 'いく', '。', '同時', 'に', 'でたらめ', 'な', '各', '翼', 'も', '、', '上面', 'の', '厚み', '増し', 'は', '不', '可能', 'と', 'し', 'て', 'も', '、', '可能', 'な', '限り', '飛行', '機', 'らしい', '形状', 'に', '削り出し', 'た', '。', 'さらに', '肉厚', 'の', 'ある', '主翼', 'フラップ', '部', 'や', '、', '胴体', 'の']","['不', '可能']",YES,不可能,NO,NO
